D a t e , P r o d u c t i o n
2006-01-31,579.655
2006-02-28,492.994
2006-03-31,500.596
2006-04-30,535.401
2006-05-31,666.004
2006-06-30,972.382
2006-07-31,1019.322
2006-08-31,1019.566
2006-09-30,1188.277
2006-10-31,1193.742
2006-11-30,890.027
2006-12-31,673.698
2007-01-31,568.024
2007-02-28,446.343
2007-03-31,404.491
2007-04-30,503.353
2007-05-31,619.134
2007-06-30,780.585
2007-07-31,832.762
2007-08-31,801.049
2007-09-30,825.968
2007-10-31,875.733
2007-11-30,808.53
2007-12-31,673.602
2008-01-31,578.576
2008-02-29,375.412
2008-03-31,360.234
2008-04-30,409.287
2008-05-31,509.938
2008-06-30,1007.978
2008-07-31,1014.09
2008-08-31,988.744
2008-09-30,877.377
2008-10-31,1089.694
2008-11-30,656.853
2008-12-31,524.982
2009-01-31,458.089
2009-02-28,427.451
2009-03-31,388.772
2009-04-30,416.934
2009-05-31,718.696
2009-06-30,780.044
2009-07-31,662.295
2009-08-31,688.545
2009-09-30,936.032
2009-10-31,895.666
2009-11-30,754.777
2009-12-31,619.114
2010-01-31,609.092
2010-02-28,487.79
2010-03-31,376.983
2010-04-30,432.638
2010-05-31,649.429
2010-06-30,777.091
2010-07-31,1370.4
2010-08-31,1345.561
2010-09-30,1344.876
2010-10-31,1355.86
2010-11-30,998.294
2010-12-31,791.695
2011-01-31,696.443
2011-02-28,400.725
2011-03-31,432.203
2011-04-30,408.661
2011-05-31,422.252
2011-06-30,766.108
2011-07-31,1197.043
2011-08-31,1149.433
2011-09-30,1282.759
2011-10-31,1408.003
2011-11-30,1025.736
2011-12-31,728.287
2012-01-31,607.069
2012-02-29,499.593
2012-03-31,421.94
2012-04-30,444.481
2012-05-31,731.104
2012-06-30,1034.111
2012-07-31,862.049
2012-08-31,1153.42
2012-09-30,1254.381
2012-10-31,1174.296
2012-11-30,824.146
2012-12-31,543.399
2013-01-31,497.238
2013-02-28,354.667
2013-03-31,380.53
2013-04-30,362.133
2013-05-31,616.05
2013-06-30,888.184
2013-07-31,1126.579
2013-08-31,972.625
2013-09-30,1302.678
2013-10-31,1347.172
2013-11-30,1234.438
2013-12-31,876.433
2014-01-31,665.077
2014-02-28,505.942
2014-03-31,525.251
2014-04-30,412.214
2014-05-31,568.008
2014-06-30,1212.464
2014-07-31,917.651
2014-08-31,658.531
2014-09-30,1175.674
2014-10-31,1248.001
2014-11-30,956.101
2014-12-31,678.784
2015-01-31,639.97
2015-02-28,515.514
2015-03-31,445.879
2015-04-30,432.1
2015-05-31,385.657
2015-06-30,645.698
2015-07-31,600.049
2015-08-31,444.081
2015-09-30,805.899
2015-10-31,851.186
2015-11-30,673.019
2015-12-31,463.975
