D a t e , P r o d u c t i o n
2006-01-31,2310.999
2006-02-28,2012
2006-03-31,2215
2006-04-30,2084
2006-05-31,2222
2006-06-30,2483.999
2006-07-31,2908.999
2006-08-31,3526
2006-09-30,4550
2006-10-31,4751
2006-11-30,3559.001
2006-12-31,3037
2007-01-31,2804
2007-02-28,2377.002
2007-03-31,2477
2007-04-30,2355
2007-05-31,2455.001
2007-06-30,2498
2007-07-31,2797.002
2007-08-31,3722
2007-09-30,4658
2007-10-31,3560
2007-11-30,2872.001
2007-12-31,2773
2008-01-31,2602.999
2008-02-29,2387.001
2008-03-31,2428.999
2008-04-30,2217
2008-05-31,2413
2008-06-30,1347
2008-07-31,3186.001
2008-08-31,2982
2008-09-30,4624.999
2008-10-31,4454
2008-11-30,3135
2008-12-31,2907
2009-01-31,2712.001
2009-02-28,2342.999
2009-03-31,2487
2009-04-30,2440.002
2009-05-31,2539.999
2009-06-30,2584.001
2009-07-31,2720.999
2009-08-31,2741.999
2009-09-30,2914
2009-10-31,2750.001
2009-11-30,2498
2009-12-31,2320
2010-01-31,2382.001
2010-02-28,2702
2010-03-31,2380
2010-04-30,2196
2010-05-31,2238.999
2010-06-30,2301.001
2010-07-31,3512.999
2010-08-31,4740.001
2010-09-30,4963.999
2010-10-31,4046.999
2010-11-30,3114.999
2010-12-31,2850.999
2011-01-31,2685
2011-02-28,2326.001
2011-03-31,2478.001
2011-04-30,2340
2011-05-31,2410
2011-06-30,495.001
2011-07-31,2797
2011-08-31,4024.001
2011-09-30,3237.001
2011-10-31,2727
2011-11-30,2738.999
2011-12-31,0
2012-01-31,2542
2012-02-29,2394
2012-03-31,2475
2012-04-30,2414.001
2012-05-31,1743.999
2012-06-30,2144.001
2012-07-31,2921
2012-08-31,3441
2012-09-30,3115.001
2012-10-31,2931.201
2012-11-30,2390.8
2012-12-31,2370.999
2013-01-31,2267.001
2013-02-28,2039
2013-03-31,2284
2013-04-30,2236
2013-05-31,2293
2013-06-30,2481.001
2013-07-31,2911
2013-08-31,3151
2013-09-30,1585
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,2844
2014-02-28,2541.56
2014-03-31,0
2014-04-30,0
2014-05-31,0
2014-06-30,0
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,2905.012
2015-02-28,2588.402
2015-03-31,2652.081
2015-04-30,2634.642
2015-05-31,2253.219
2015-06-30,2832.799
2015-07-31,2974.803
2015-08-31,2839.76
2015-09-30,3027.82
2015-10-31,3031.448
2015-11-30,2651.275
2015-12-31,2632.12
