D a t e , P r o d u c t i o n
2006-01-31,28794.401
2006-02-28,29670.117
2006-03-31,34097.076
2006-04-30,24341.167
2006-05-31,21883.264
2006-06-30,66478.201
2006-07-31,58363.045
2006-08-31,171817.32
2006-09-30,160188.363
2006-10-31,102726.435
2006-11-30,51796.078
2006-12-31,50641.209
2007-01-31,39478.407
2007-02-28,32196.17
2007-03-31,41017.408
2007-04-30,24055.706
2007-05-31,30744.077
2007-06-30,59803.849
2007-07-31,105403.842
2007-08-31,203944.175
2007-09-30,292607.024
2007-10-31,81406.779
2007-11-30,77484.425
2007-12-31,51667.563
2008-01-31,28835.283
2008-02-29,27336.221
2008-03-31,27023.583
2008-04-30,14647.263
2008-05-31,15984.275
2008-06-30,60501.583
2008-07-31,276902.979
2008-08-31,230542.231
2008-09-30,290015.022
2008-10-31,121479.395
2008-11-30,58173.732
2008-12-31,34261.759
2009-01-31,31764.323
2009-02-28,45060.4
2009-03-31,36135.19
2009-04-30,36696.131
2009-05-31,32048.011
2009-06-30,55155.427
2009-07-31,105749.671
2009-08-31,51639.078
2009-09-30,230302.948
2009-10-31,68094.568
2009-11-30,84381.851
2009-12-31,43004.174
2010-01-31,33080.257
2010-02-28,64486.866
2010-03-31,52177.889
2010-04-30,26963.007
2010-05-31,23263.089
2010-06-30,50151.409
2010-07-31,259880.576
2010-08-31,324834.448
2010-09-30,415604.806
2010-10-31,134103.464
2010-11-30,53019.53
2010-12-31,37627.652
2011-01-31,41145.845
2011-02-28,33176.785
2011-03-31,34485.71
2011-04-30,34639.175
2011-05-31,68198.91
2011-06-30,46604.287
2011-07-31,274985.626
2011-08-31,230546.939
2011-09-30,277886.313
2011-10-31,109642.298
2011-11-30,48885.55
2011-12-31,49139.984
2012-01-31,42715.118
2012-02-29,31328.489
2012-03-31,36349.551
2012-04-30,37566.72
2012-05-31,55624.708
2012-06-30,88856.312
2012-07-31,203475.282
2012-08-31,252083.098
2012-09-30,181511.731
2012-10-31,123914.612
2012-11-30,33988.685
2012-12-31,60490.369
2013-01-31,19902.886
2013-02-28,22457.343
2013-03-31,28874.369
2013-04-30,40677.758
2013-05-31,32015.73
2013-06-30,118062.486
2013-07-31,158825.256
2013-08-31,133971.6
2013-09-30,330515.493
2013-10-31,239271.412
2013-11-30,117156.453
2013-12-31,65288.057
2014-01-31,51498.31
2014-02-28,39641.892
2014-03-31,47962.963
2014-04-30,28281.278
2014-05-31,68973.952
2014-06-30,253844.79
2014-07-31,351064.053
2014-08-31,124088.448
2014-09-30,192293.655
2014-10-31,296795.174
2014-11-30,85834.259
2014-12-31,64087
2015-01-31,47371.898
2015-02-28,30595.513
2015-03-31,48077.029
2015-04-30,56641.01
2015-05-31,80959.299
2015-06-30,113867.989
2015-07-31,105060.537
2015-08-31,64825.476
2015-09-30,183804.945
2015-10-31,83529.879
2015-11-30,88565.978
2015-12-31,46866.016
