D a t e , P r o d u c t i o n
2006-01-31,68591.371
2006-02-28,83746.664
2006-03-31,63001.249
2006-04-30,59239.045
2006-05-31,96900.305
2006-06-30,105662.96
2006-07-31,92827.871
2006-08-31,166516.904
2006-09-30,192703.884
2006-10-31,142050.334
2006-11-30,64218.196
2006-12-31,76253.178
2007-01-31,108887.099
2007-02-28,89603.348
2007-03-31,119469.418
2007-04-30,117441.253
2007-05-31,114466.179
2007-06-30,85443.273
2007-07-31,176637.079
2007-08-31,203578.274
2007-09-30,199244.63
2007-10-31,205763.994
2007-11-30,194296.545
2007-12-31,177111.645
2008-01-31,104964.131
2008-02-29,96409.314
2008-03-31,105611.303
2008-04-30,57043.868
2008-05-31,89305.716
2008-06-30,119801.625
2008-07-31,178320.15
2008-08-31,200200.162
2008-09-30,198727.342
2008-10-31,205389.58
2008-11-30,173259.713
2008-12-31,167978.752
2009-01-31,45501.15
2009-02-28,30152.544
2009-03-31,119165.137
2009-04-30,86680.687
2009-05-31,128320.721
2009-06-30,133042.083
2009-07-31,135611.301
2009-08-31,118131.105
2009-09-30,57890.841
2009-10-31,96590.708
2009-11-30,92567.87
2009-12-31,107166.463
2010-01-31,116836.668
2010-02-28,81417.994
2010-03-31,113522.614
2010-04-30,153989.3
2010-05-31,146847.857
2010-06-30,151410.919
2010-07-31,137760.579
2010-08-31,186059.907
2010-09-30,140559.885
2010-10-31,27495.2
2010-11-30,12993.403
2010-12-31,12897.069
2011-01-31,63494.528
2011-02-28,53919.098
2011-03-31,110364.715
2011-04-30,97462.86
2011-05-31,120139.957
2011-06-30,123655.029
2011-07-31,122827.939
2011-08-31,177363.406
2011-09-30,141630.861
2011-10-31,121698.68
2011-11-30,115687.836
2011-12-31,108246.243
2012-01-31,66153.259
2012-02-29,12006.837
2012-03-31,82796.674
2012-04-30,126216.796
2012-05-31,148260.507
2012-06-30,157781.544
2012-07-31,107298.952
2012-08-31,164184.465
2012-09-30,147600.035
2012-10-31,147016.876
2012-11-30,76084.285
2012-12-31,106499.803
2013-01-31,50576.287
2013-02-28,20181.601
2013-03-31,68331.647
2013-04-30,102816.267
2013-05-31,66978.948
2013-06-30,101837.204
2013-07-31,79405.725
2013-08-31,102813.138
2013-09-30,74159.037
2013-10-31,182838.156
2013-11-30,173412.433
2013-12-31,146258.602
2014-01-31,86297.542
2014-02-28,101282.278
2014-03-31,107078.731
2014-04-30,133123.287
2014-05-31,123030.481
2014-06-30,147369.808
2014-07-31,205113.506
2014-08-31,206189.79
2014-09-30,196324.433
2014-10-31,204013.166
2014-11-30,170882.873
2014-12-31,137223.525
2015-01-31,86038.107
2015-02-28,92403.474
2015-03-31,111975.067
2015-04-30,196426.538
2015-05-31,199969.54
2015-06-30,198284.673
2015-07-31,202767.61
2015-08-31,201928.236
2015-09-30,199469.285
2015-10-31,203351.136
2015-11-30,191397.743
2015-12-31,130131.925
