D a t e , P r o d u c t i o n
2006-01-31,136.957
2006-02-28,81.263
2006-03-31,56.765
2006-04-30,72.095
2006-05-31,84.301
2006-06-30,92.808
2006-07-31,125.827
2006-08-31,234.334
2006-09-30,163.773
2006-10-31,193.067
2006-11-30,0
2006-12-31,0
2007-01-31,108.792
2007-02-28,185.973
2007-03-31,110.92
2007-04-30,93.157
2007-05-31,78.532
2007-06-30,250.909
2007-07-31,326.749
2007-08-31,292.823
2007-09-30,354.89
2007-10-31,339.695
2007-11-30,274.785
2007-12-31,240.384
2008-01-31,183.128
2008-02-29,106.849
2008-03-31,93.621
2008-04-30,81.269
2008-05-31,69.325
2008-06-30,211.694
2008-07-31,283.244
2008-08-31,63.087
2008-09-30,248.649
2008-10-31,384.888
2008-11-30,234.616
2008-12-31,212.037
2009-01-31,179.661
2009-02-28,129.914
2009-03-31,103.167
2009-04-30,88.417
2009-05-31,107.828
2009-06-30,224.218
2009-07-31,214.715
2009-08-31,302.349997
2009-09-30,185.487
2009-10-31,171.05
2009-11-30,208.431
2009-12-31,161.979
2010-01-31,241.054
2010-02-28,285.442
2010-03-31,197.458
2010-04-30,112.603
2010-05-31,91.748
2010-06-30,221.491
2010-07-31,213.038
2010-08-31,312.198
2010-09-30,274.341
2010-10-31,366.063
2010-11-30,267.018
2010-12-31,304.07
2011-01-31,159.973
2011-02-28,160.07
2011-03-31,131.058
2011-04-30,110.214
2011-05-31,91.869
2011-06-30,114.929
2011-07-31,176.282
2011-08-31,106.995
2011-09-30,339.907
2011-10-31,376.901
2011-11-30,280.487
2011-12-31,186.355
2012-01-31,204.642
2012-02-29,221.056
2012-03-31,137.785
2012-04-30,107.736
2012-05-31,98.46
2012-06-30,166.927
2012-07-31,289.306
2012-08-31,179.42
2012-09-30,238.564
2012-10-31,252.666
2012-11-30,245.843
2012-12-31,181.716
2013-01-31,144.946
2013-02-28,91.864
2013-03-31,98.119
2013-04-30,73.897
2013-05-31,60.246
2013-06-30,154.305
2013-07-31,133.426
2013-08-31,245.486
2013-09-30,95.141
2013-10-31,293.433
2013-11-30,303.218
2013-12-31,365.949
2014-01-31,292.36
2014-02-28,175.683
2014-03-31,131.096
2014-04-30,104.534
2014-05-31,168.63
2014-06-30,196.429
2014-07-31,178.98
2014-08-31,319.878
2014-09-30,270.411
2014-10-31,334.529
2014-11-30,145.928
2014-12-31,163.123
2015-01-31,151.64
2015-02-28,137.472
2015-03-31,111.448
2015-04-30,15.417
2015-05-31,51.286
2015-06-30,183.151
2015-07-31,269.471
2015-08-31,329.429
2015-09-30,316.029
2015-10-31,234.895
2015-11-30,248.457
2015-12-31,329.125
