D a t e , P r o d u c t i o n
2006-01-31,17429.301
2006-02-28,14652.945
2006-03-31,15965.992
2006-04-30,15066.303
2006-05-31,15242.841
2006-06-30,18488.038
2006-07-31,19953.897
2006-08-31,19957.618
2006-09-30,12169.837
2006-10-31,28075.384
2006-11-30,24216.948
2006-12-31,19962.397
2007-01-31,19754.557
2007-02-28,17230.018
2007-03-31,19114.484
2007-04-30,13621.779
2007-05-31,16693.299
2007-06-30,20114.978
2007-07-31,24130.842
2007-08-31,24235.381
2007-09-30,9042.701
2007-10-31,24522.395
2007-11-30,19706.403
2007-12-31,19656.065
2008-01-31,18427.488
2008-02-29,16083.574
2008-03-31,17890.012
2008-04-30,16996.98
2008-05-31,16221.121
2008-06-30,19286.39
2008-07-31,27806.966
2008-08-31,25608.999
2008-09-30,26407.3
2008-10-31,22556.161
2008-11-30,17426.616
2008-12-31,18014.653
2009-01-31,19253.704
2009-02-28,10785.291
2009-03-31,19392.718
2009-04-30,18332.889
2009-05-31,18525.887
2009-06-30,16701.888
2009-07-31,20232.748
2009-08-31,24454.761
2009-09-30,26475.748
2009-10-31,25366.698
2009-11-30,19191.95
2009-12-31,19043.177
2010-01-31,20246.933
2010-02-28,21626.274
2010-03-31,19455.456
2010-04-30,18292.74
2010-05-31,18007.978
2010-06-30,16056.525
2010-07-31,18910.862
2010-08-31,19187.375
2010-09-30,18506.649
2010-10-31,24982.244
2010-11-30,25593.661
2010-12-31,22943.925
2011-01-31,21040.533
2011-02-28,15925.221
2011-03-31,17257.332
2011-04-30,18845.396
2011-05-31,18086.84
2011-06-30,16420.414
2011-07-31,19671.24
2011-08-31,15170.287
2011-09-30,17206.745
2011-10-31,17500.94
2011-11-30,0
2011-12-31,0
2012-01-31,2353.25
2012-02-29,18662.358
2012-03-31,16449.737
2012-04-30,17825.014
2012-05-31,17646.09
2012-06-30,21310.543
2012-07-31,11954.378
2012-08-31,21139.339
2012-09-30,22358.218
2012-10-31,21004.921
2012-11-30,19933.876
2012-12-31,0
2013-01-31,19375.335
2013-02-28,15979.154
2013-03-31,17150.495
2013-04-30,15446.375
2013-05-31,15893.67
2013-06-30,10081.811
2013-07-31,26911.635
2013-08-31,24754.975
2013-09-30,28844.494
2013-10-31,31276.198
2013-11-30,27208.486
2013-12-31,24785.532
2014-01-31,23084.905
2014-02-28,19572.371
2014-03-31,20919.985
2014-04-30,19541.3
2014-05-31,21187.931
2014-06-30,23750.933
2014-07-31,28015.998
2014-08-31,27518.749
2014-09-30,28134.843
2014-10-31,30293.401
2014-11-30,12656.386
2014-12-31,22541.732
2015-01-31,22114.168
2015-02-28,20171.25
2015-03-31,24764.708
2015-04-30,20933.997
2015-05-31,21168.327
2015-06-30,21613.67
2015-07-31,19633.138
2015-08-31,22486.508
2015-09-30,24154.07
2015-10-31,23305.6
2015-11-30,17987.835
2015-12-31,24203.62
