D a t e , P r o d u c t i o n
2006-01-31,3838
2006-02-28,3291
2006-03-31,3365
2006-04-30,3158
2006-05-31,3084
2006-06-30,3953
2006-07-31,4237
2006-08-31,5539
2006-09-30,5712
2006-10-31,5141
2006-11-30,2526
2006-12-31,3865
2007-01-31,3705
2007-02-28,3210
2007-03-31,3361
2007-04-30,3176
2007-05-31,2949
2007-06-30,4084
2007-07-31,6025
2007-08-31,6240
2007-09-30,5406
2007-10-31,4535
2007-11-30,2567
2007-12-31,3199
2008-01-31,3538
2008-02-29,3133
2008-03-31,3235
2008-04-30,3113
2008-05-31,3001
2008-06-30,3578
2008-07-31,5422
2008-08-31,6155
2008-09-30,5785
2008-10-31,4699
2008-11-30,1976
2008-12-31,3767
2009-01-31,3715
2009-02-28,3141
2009-03-31,3377
2009-04-30,3161
2009-05-31,3067
2009-06-30,3737
2009-07-31,4836
2009-08-31,4238
2009-09-30,4952
2009-10-31,4306
2009-11-30,2321
2009-12-31,3546
2010-01-31,3602
2010-02-28,3725
2010-03-31,3235
2010-04-30,2972
2010-05-31,2818
2010-06-30,3408
2010-07-31,5347
2010-08-31,5837
2010-09-30,5216
2010-10-31,4108
2010-11-30,2920
2010-12-31,3486
2011-01-31,3428
2011-02-28,2953
2011-03-31,2871
2011-04-30,2889
2011-05-31,3104
2011-06-30,1201
2011-07-31,3076
2011-08-31,927
2011-09-30,1373
2011-10-31,3276
2011-11-30,3277
2011-12-31,0
2012-01-31,2630
2012-02-29,2679
2012-03-31,2937
2012-04-30,2417
2012-05-31,2906
2012-06-30,3270
2012-07-31,4607
2012-08-31,5280
2012-09-30,4835.001
2012-10-31,3804
2012-11-30,3175.999
2012-12-31,3305
2013-01-31,3288
2013-02-28,2487
2013-03-31,2682
2013-04-30,2404
2013-05-31,2651
2013-06-30,3244
2013-07-31,4736.999
2013-08-31,5088
2013-09-30,5249.999
2013-10-31,4415
2013-11-30,2258
2013-12-31,3445
2014-01-31,3288
2014-02-28,2585
2014-03-31,2278
2014-04-30,2588.999
2014-05-31,3503
2014-06-30,3926.001
2014-07-31,5596
2014-08-31,6466
2014-09-30,5426
2014-10-31,3673
2014-11-30,3525
2014-12-31,3390
2015-01-31,3182
2015-02-28,2766
2015-03-31,3701.001
2015-04-30,2288
2015-05-31,3027
2015-06-30,3479
2015-07-31,5608.999
2015-08-31,4713.001
2015-09-30,3784
2015-10-31,3951
2015-11-30,3498
2015-12-31,2700
