D a t e , P r o d u c t i o n
2006-01-31,51319.526
2006-02-28,50142.268
2006-03-31,52705.212
2006-04-30,55948.073
2006-05-31,56945.646
2006-06-30,65096.597
2006-07-31,63073.268
2006-08-31,62760.251
2006-09-30,54186.272
2006-10-31,54743.381
2006-11-30,52349.086
2006-12-31,55125.913
2007-01-31,64655.266
2007-02-28,49215.714
2007-03-31,59217.171
2007-04-30,62210.893
2007-05-31,72154.305
2007-06-30,112910.831
2007-07-31,248359.538
2007-08-31,492398.563
2007-09-30,117343.22
2007-10-31,66277.543
2007-11-30,97420.685
2007-12-31,178260.559
2008-01-31,92145.962
2008-02-29,74574.141
2008-03-31,105777.092
2008-04-30,92404.07
2008-05-31,166867.274
2008-06-30,135307.083
2008-07-31,268825.015
2008-08-31,468972.05
2008-09-30,684602.517
2008-10-31,238411.103
2008-11-30,73952.677
2008-12-31,103360.035
2009-01-31,102614.15
2009-02-28,173178
2009-03-31,193528
2009-04-30,176610
2009-05-31,170626.999
2009-06-30,124502
2009-07-31,87723
2009-08-31,93312.999
2009-09-30,55874
2009-10-31,65446
2009-11-30,54219.001
2009-12-31,54847.999
2010-01-31,56648
2010-02-28,49846.998
2010-03-31,128652.001
2010-04-30,130878.999
2010-05-31,290159.001
2010-06-30,193527
2010-07-31,340146.001
2010-08-31,480549
2010-09-30,172644
2010-10-31,148978
2010-11-30,63732
2010-12-31,54788.999
2011-01-31,68534.001
2011-02-28,114111
2011-03-31,64340
2011-04-30,63354.001
2011-05-31,141517
2011-06-30,221884.999
2011-07-31,127560.999
2011-08-31,109514
2011-09-30,77621
2011-10-31,64099.001
2011-11-30,56971.999
2011-12-31,56868
2012-01-31,46930.999
2012-02-29,37815.998
2012-03-31,42559.999
2012-04-30,51273.001
2012-05-31,63031.999
2012-06-30,80406.999
2012-07-31,51499.998
2012-08-31,87692
2012-09-30,76293
2012-10-31,87263.001
2012-11-30,50886
2012-12-31,59485.001
2013-01-31,42273.999
2013-02-28,37874.001
2013-03-31,42372.999
2013-04-30,54209.998
2013-05-31,45120
2013-06-30,58195.999
2013-07-31,47743
2013-08-31,52953
2013-09-30,41879
2013-10-31,49265.152
2013-11-30,43988.089
2013-12-31,44724.966
2014-01-31,79516.801
2014-02-28,138749.218
2014-03-31,137480.679
2014-04-30,145831.249
2014-05-31,154082.145
2014-06-30,165796.252
2014-07-31,246799.732
2014-08-31,174257.664
2014-09-30,97557.934
2014-10-31,54392.832
2014-11-30,51250.706
2014-12-31,52322.473
2015-01-31,52842.188
2015-02-28,93111.364
2015-03-31,194575.49
2015-04-30,173013.025
2015-05-31,257658.012
2015-06-30,330805.153
2015-07-31,380883.874
2015-08-31,224460.619
2015-09-30,93657.808
2015-10-31,74128.394
2015-11-30,50693.432
2015-12-31,53673.599
