D a t e , P r o d u c t i o n
2006-01-31,32992.844
2006-02-28,40986.813
2006-03-31,52609.328
2006-04-30,52677.602
2006-05-31,26175.823
2006-06-30,10538.929
2006-07-31,2997.963
2006-08-31,1657.65
2006-09-30,9418.868
2006-10-31,13638.318
2006-11-30,7197.188
2006-12-31,23454.401
2007-01-31,28613.786
2007-02-28,30032.551
2007-03-31,39193.964
2007-04-30,35591.119
2007-05-31,16783.812
2007-06-30,8158.075
2007-07-31,3188.227
2007-08-31,865.749
2007-09-30,1307.037
2007-10-31,23581.92
2007-11-30,36795.047
2007-12-31,13712.595
2008-01-31,24577.712
2008-02-29,38538.986
2008-03-31,49543.877
2008-04-30,46489.657
2008-05-31,33962.75
2008-06-30,6960.879
2008-07-31,2972.748
2008-08-31,1648.58
2008-09-30,10057.248
2008-10-31,26978.735
2008-11-30,37919.644
2008-12-31,26804.074
2009-01-31,38264.415
2009-02-28,37283.526
2009-03-31,55382.041
2009-04-30,44014.014
2009-05-31,21825.933
2009-06-30,10161.534
2009-07-31,3602.864
2009-08-31,1932.345
2009-09-30,14026.871
2009-10-31,27514.468
2009-11-30,33618.604
2009-12-31,27199.86
2010-01-31,36870.732
2010-02-28,35199.167
2010-03-31,42944.786
2010-04-30,39714.383
2010-05-31,23788.073
2010-06-30,11763.028
2010-07-31,5494.964
2010-08-31,2514.288
2010-09-30,2630.902
2010-10-31,29677.299
2010-11-30,42285.745
2010-12-31,19614.199
2011-01-31,31728.621
2011-02-28,29287.988
2011-03-31,28293.141
2011-04-30,33173.595
2011-05-31,35457.617
2011-06-30,23198.932
2011-07-31,571.521
2011-08-31,1677.521
2011-09-30,3705.539
2011-10-31,22564.989
2011-11-30,15989.164
2011-12-31,11506.946
2012-01-31,7031.871
2012-02-29,7339.264
2012-03-31,3387.475
2012-04-30,3.363
2012-05-31,635.737
2012-06-30,2392.854
2012-07-31,9539.091
2012-08-31,14159.73
2012-09-30,15121.635
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,12478.592
2013-02-28,14725.846
2013-03-31,19941.172
2013-04-30,11471.635
2013-05-31,121.418
2013-06-30,1192.122
2013-07-31,579.696
2013-08-31,11640.636
2013-09-30,9104.592
2013-10-31,17657.446
2013-11-30,0
2013-12-31,0
2014-01-31,21569.795
2014-02-28,28470.304
2014-03-31,40419.032
2014-04-30,26153.726
2014-05-31,9419.796
2014-06-30,2308.429
2014-07-31,449.271
2014-08-31,755.848
2014-09-30,1397.397
2014-10-31,13669.174
2014-11-30,32166.119
2014-12-31,19522.917
2015-01-31,25826.463
2015-02-28,26776.263
2015-03-31,38075.999
2015-04-30,32598.37
2015-05-31,9356.276
2015-06-30,651.578
2015-07-31,278.15
2015-08-31,505.27
2015-09-30,529.277
2015-10-31,12989.129
2015-11-30,31769.19
2015-12-31,17231.869
