D a t e , P r o d u c t i o n
2006-01-31,56.169
2006-02-28,1565.822
2006-03-31,1648.243
2006-04-30,1584.218
2006-05-31,1502.687
2006-06-30,1084.039
2006-07-31,206.553
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,456.944
2007-02-28,1284.401
2007-03-31,1569.898
2007-04-30,1573.557
2007-05-31,1293.58
2007-06-30,1168.422
2007-07-31,984.598
2007-08-31,1384.493
2007-09-30,174.456
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,507.573
2008-02-29,1495.216
2008-03-31,1468.889
2008-04-30,1423.762
2008-05-31,1355.274
2008-06-30,1084.513
2008-07-31,790.286
2008-08-31,0
2008-09-30,0
2008-10-31,0
2008-11-30,0
2008-12-31,0
2009-01-31,618.403
2009-02-28,1166.902
2009-03-31,1242.787
2009-04-30,1426.177
2009-05-31,1536.092
2009-06-30,1607.297
2009-07-31,1221.54
2009-08-31,1223.525
2009-09-30,0
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,159.107
2010-02-28,1146.841
2010-03-31,1105.631
2010-04-30,1450.315
2010-05-31,1529.83
2010-06-30,868.514
2010-07-31,1201.164
2010-08-31,1177.065
2010-09-30,207.786
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,402.074
2011-02-28,1407.802
2011-03-31,1451.517
2011-04-30,1500.667
2011-05-31,1475.153
2011-06-30,1504.699
2011-07-31,1493.76
2011-08-31,908.878
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,65.198
2012-02-29,1271.615
2012-03-31,1486.575
2012-04-30,1518.513
2012-05-31,1453.789
2012-06-30,1506.923
2012-07-31,1510.224
2012-08-31,1416.104
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,661.282
2013-02-28,965.321
2013-03-31,1119.529
2013-04-30,1103.935
2013-05-31,642.934
2013-06-30,738.857
2013-07-31,356.435
2013-08-31,0
2013-09-30,0
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,1097.381
2014-02-28,1333.619
2014-03-31,1503.305
2014-04-30,1508.717
2014-05-31,1610.438
2014-06-30,760.193
2014-07-31,421.043
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,898.499
2015-02-28,1487.217
2015-03-31,1561.487
2015-04-30,1531.295
2015-05-31,1593.158
2015-06-30,1555.035
2015-07-31,1487.481
2015-08-31,13.217
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
