D a t e , P r o d u c t i o n
2006-01-31,5433.512
2006-02-28,4366.08
2006-03-31,4345.494
2006-04-30,2581.147
2006-05-31,1405.837
2006-06-30,5347.077
2006-07-31,6118.674
2006-08-31,6719.031
2006-09-30,8396.975
2006-10-31,9542.946
2006-11-30,7152.778
2006-12-31,6972.23
2007-01-31,6040.743
2007-02-28,5153.908
2007-03-31,5387.21
2007-04-30,3948.543
2007-05-31,4997.864
2007-06-30,7038.163
2007-07-31,7428.78
2007-08-31,9017.006
2007-09-30,9002.087
2007-10-31,8776.356
2007-11-30,8268.021
2007-12-31,6628.615
2008-01-31,5390.526
2008-02-29,3907.112
2008-03-31,5409.901
2008-04-30,4981.67
2008-05-31,3532.739
2008-06-30,5589.65096
2008-07-31,6816.336
2008-08-31,7674.121
2008-09-30,7313.636
2008-10-31,7047.128
2008-11-30,7001.987
2008-12-31,5521.402
2009-01-31,5391.337
2009-02-28,3730.012
2009-03-31,5146.984
2009-04-30,4062.549
2009-05-31,2002.469
2009-06-30,3480.963
2009-07-31,5192.699
2009-08-31,4679.955
2009-09-30,5556.91393
2009-10-31,5766.795
2009-11-30,6392.493
2009-12-31,5492.992
2010-01-31,4697.777
2010-02-28,5992.712
2010-03-31,5317.121
2010-04-30,3656.128
2010-05-31,2955.392
2010-06-30,3631.636
2010-07-31,7784.954
2010-08-31,9083.669
2010-09-30,8893.486
2010-10-31,7897.691
2010-11-30,7651.27
2010-12-31,5357.273
2011-01-31,5147.177
2011-02-28,2558.545
2011-03-31,5053.096
2011-04-30,4902.496
2011-05-31,4880.086
2011-06-30,4617.774
2011-07-31,2310.944
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,3713.353
2012-02-29,3604.105
2012-03-31,4783.433
2012-04-30,4291.722
2012-05-31,4173.535
2012-06-30,3742.618
2012-07-31,6374.192
2012-08-31,7641.659
2012-09-30,9581.138
2012-10-31,8127.137
2012-11-30,8662.729
2012-12-31,4891.827
2013-01-31,4571.124
2013-02-28,3490.841
2013-03-31,2890.666
2013-04-30,4410.156
2013-05-31,3717.542
2013-06-30,4164.403
2013-07-31,6031.362
2013-08-31,6545.26
2013-09-30,9251.817
2013-10-31,9069.179
2013-11-30,9757.339
2013-12-31,6175.121
2014-01-31,5536.54
2014-02-28,4148.412
2014-03-31,3364.474
2014-04-30,5113.142
2014-05-31,4379.079
2014-06-30,5630.601
2014-07-31,8046.491
2014-08-31,9969.484
2014-09-30,10846.624
2014-10-31,10600.008
2014-11-30,8914.292
2014-12-31,5504.635
2015-01-31,5226.366
2015-02-28,4060.907
2015-03-31,8243.132
2015-04-30,3913.227
2015-05-31,5457.977
2015-06-30,7856.288
2015-07-31,8283.604
2015-08-31,7388.991
2015-09-30,8058.352
2015-10-31,7609.482
2015-11-30,8758.444
2015-12-31,5851.779
