D a t e , P r o d u c t i o n
2006-01-31,1551.259
2006-02-28,1420.761
2006-03-31,1577.2
2006-04-30,1456.579
2006-05-31,1486.959
2006-06-30,937.071
2006-07-31,1409.401
2006-08-31,1488.619
2006-09-30,1373.44
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,1273.055
2007-02-28,1132.181
2007-03-31,1260.248
2007-04-30,1200.85
2007-05-31,1257.952
2007-06-30,1139.326
2007-07-31,1244.091
2007-08-31,220.409
2007-09-30,948.502
2007-10-31,1285.263
2007-11-30,0
2007-12-31,0
2008-01-31,1312.655
2008-02-29,871.711
2008-03-31,1211.11
2008-04-30,1123.41
2008-05-31,1175.041
2008-06-30,1007.833
2008-07-31,1096.467
2008-08-31,54.761
2008-09-30,426.722
2008-10-31,1192.25
2008-11-30,1207.123
2008-12-31,0
2009-01-31,1249.095
2009-02-28,1115.114
2009-03-31,1220.328
2009-04-30,1139.84
2009-05-31,1211.103
2009-06-30,1184.951
2009-07-31,1254.941
2009-08-31,1283.378
2009-09-30,264.76
2009-10-31,879.821
2009-11-30,1258.61
2009-12-31,1291.091
2010-01-31,420.05
2010-02-28,358.856
2010-03-31,290.959
2010-04-30,141.175
2010-05-31,385.417
2010-06-30,387.174
2010-07-31,290.131
2010-08-31,135.928
2010-09-30,397.467
2010-10-31,415.587
2010-11-30,0
2010-12-31,0
2011-01-31,431.821
2011-02-28,378.546
2011-03-31,419.67
2011-04-30,420.358
2011-05-31,216.987
2011-06-30,416.468
2011-07-31,411.663
2011-08-31,282.778
2011-09-30,17.195
2011-10-31,332.284
2011-11-30,146.232
2011-12-31,0
2012-01-31,423.639
2012-02-29,410.247
2012-03-31,437.722
2012-04-30,284.137
2012-05-31,429.193
2012-06-30,381.072
2012-07-31,320.271
2012-08-31,77.268
2012-09-30,292.169
2012-10-31,199.539
2012-11-30,321.039
2012-12-31,306.412
2013-01-31,338.682
2013-02-28,281.403
2013-03-31,317.161
2013-04-30,319.621
2013-05-31,310.298
2013-06-30,309.189
2013-07-31,291.971
2013-08-31,48.24
2013-09-30,335.686
2013-10-31,334.868
2013-11-30,371.901
2013-12-31,370.668
2014-01-31,373.009
2014-02-28,324.123
2014-03-31,380.466
2014-04-30,351.962
2014-05-31,378.989
2014-06-30,321.065
2014-07-31,243.317
2014-08-31,353.111
2014-09-30,316.659
2014-10-31,385.16
2014-11-30,282.812
2014-12-31,386.666
2015-01-31,404.128
2015-02-28,388.558
2015-03-31,432.119
2015-04-30,420.508
2015-05-31,379.119
2015-06-30,413.862
2015-07-31,271.298
2015-08-31,379.655
2015-09-30,414.438
2015-10-31,427.892
2015-11-30,66.856
2015-12-31,439.296
