D a t e , P r o d u c t i o n
2006-01-31,918.315
2006-02-28,794.698
2006-03-31,825.07
2006-04-30,661.314
2006-05-31,538.235
2006-06-30,413.355
2006-07-31,898.636
2006-08-31,875.164
2006-09-30,828.258
2006-10-31,737.61
2006-11-30,830.804
2006-12-31,877.286
2007-01-31,842.926
2007-02-28,542.404
2007-03-31,803.772
2007-04-30,645.623
2007-05-31,697.473
2007-06-30,743.472
2007-07-31,791.204
2007-08-31,839.349
2007-09-30,808.375
2007-10-31,876.47
2007-11-30,852.057
2007-12-31,876.033
2008-01-31,873.889
2008-02-29,783.64
2008-03-31,807.899
2008-04-30,805.483
2008-05-31,743.991
2008-06-30,285.603
2008-07-31,677.527
2008-08-31,760.144
2008-09-30,822.958
2008-10-31,817.643
2008-11-30,754.42
2008-12-31,826.409
2009-01-31,878.67
2009-02-28,736.388
2009-03-31,814.998
2009-04-30,787.811
2009-05-31,562.991
2009-06-30,768.078
2009-07-31,774.845
2009-08-31,772.739
2009-09-30,773.587
2009-10-31,793.318
2009-11-30,738.857
2009-12-31,715.268
2010-01-31,796.024
2010-02-28,767.867
2010-03-31,853.354
2010-04-30,822.612
2010-05-31,859.315
2010-06-30,801
2010-07-31,902.808
2010-08-31,906.37
2010-09-30,867.09
2010-10-31,905.767
2010-11-30,880.288
2010-12-31,867.986
2011-01-31,867.151
2011-02-28,776.46
2011-03-31,838.636
2011-04-30,803.309
2011-05-31,805.87
2011-06-30,779.765
2011-07-31,823.667
2011-08-31,821.083
2011-09-30,742.759
2011-10-31,820.301
2011-11-30,759.49
2011-12-31,0
2012-01-31,8.721
2012-02-29,667.382
2012-03-31,743.281
2012-04-30,725.271
2012-05-31,765.512
2012-06-30,733.112
2012-07-31,768.008
2012-08-31,759.756
2012-09-30,768.757
2012-10-31,868.652
2012-11-30,799.752
2012-12-31,646.127
2013-01-31,803.34
2013-02-28,724.398
2013-03-31,802.792
2013-04-30,678.712
2013-05-31,723.88
2013-06-30,740.77
2013-07-31,743.576
2013-08-31,791.803
2013-09-30,781.622
2013-10-31,801.788
2013-11-30,210.375
2013-12-31,110.475
2014-01-31,836.723
2014-02-28,828.207
2014-03-31,907.662
2014-04-30,41.743
2014-05-31,307.462
2014-06-30,1013.28
2014-07-31,1029.28
2014-08-31,995.912
2014-09-30,1022.343
2014-10-31,995.093
2014-11-30,1026.179
2014-12-31,0
2015-01-31,1020.875
2015-02-28,921.569
2015-03-31,740.662
2015-04-30,710.17
2015-05-31,982.989
2015-06-30,888.996
2015-07-31,940.058
2015-08-31,954.602
2015-09-30,1007.129
2015-10-31,968.818
2015-11-30,975.367
2015-12-31,0
