D a t e , P r o d u c t i o n
2006-01-31,9203.451
2006-02-28,7674.887
2006-03-31,7249.847
2006-04-30,2761.186
2006-05-31,1897.398
2006-06-30,1137.718
2006-07-31,10.607
2006-08-31,37.716
2006-09-30,4534.388
2006-10-31,4793.893
2006-11-30,3044.083
2006-12-31,7950.165
2007-01-31,10285.165
2007-02-28,8914.743
2007-03-31,9545.4
2007-04-30,6975.012
2007-05-31,4170.167
2007-06-30,3573.228
2007-07-31,2448.263
2007-08-31,1429.844
2007-09-30,1302.209
2007-10-31,8938.097
2007-11-30,9112.182
2007-12-31,1937.734
2008-01-31,6276.273
2008-02-29,8682.922
2008-03-31,8782.452
2008-04-30,7662.998
2008-05-31,4883.242
2008-06-30,1337.33
2008-07-31,1535.402
2008-08-31,2231.313
2008-09-30,9952.522
2008-10-31,9380.628
2008-11-30,6521.478
2008-12-31,3400.011
2009-01-31,9427.111
2009-02-28,8384.644
2009-03-31,7326.994
2009-04-30,4809.16
2009-05-31,1095.441
2009-06-30,189.787
2009-07-31,3.655
2009-08-31,3014.154
2009-09-30,5270.568
2009-10-31,3621.976
2009-11-30,0
2009-12-31,0
2010-01-31,4936.606
2010-02-28,4342.195
2010-03-31,6722.314
2010-04-30,3746.38
2010-05-31,1335.809
2010-06-30,128
2010-07-31,239.832
2010-08-31,652.606
2010-09-30,1181.187
2010-10-31,7432.194
2010-11-30,7574.802
2010-12-31,1933.296
2011-01-31,4971.698
2011-02-28,2837.142
2011-03-31,2638.065
2011-04-30,4747.507
2011-05-31,5216.558
2011-06-30,2068.395
2011-07-31,50.432
2011-08-31,5.502
2011-09-30,974.454
2011-10-31,4804.336
2011-11-30,5373.069
2011-12-31,1409.846
2012-01-31,1920.053
2012-02-29,3206.961
2012-03-31,3894.934
2012-04-30,2506.962
2012-05-31,91.304
2012-06-30,108.713
2012-07-31,1025.409
2012-08-31,2685.817
2012-09-30,5798.976
2012-10-31,6517.401
2012-11-30,0
2012-12-31,0
2013-01-31,8488.117
2013-02-28,7129.463
2013-03-31,6064.579
2013-04-30,2898.912
2013-05-31,1094.135
2013-06-30,119.381
2013-07-31,30.06
2013-08-31,157.858
2013-09-30,1704.559
2013-10-31,5211.018
2013-11-30,1915.013
2013-12-31,4163.45
2014-01-31,10161.18
2014-02-28,9704.612
2014-03-31,9839.168
2014-04-30,6493.117
2014-05-31,2697.51
2014-06-30,58.843
2014-07-31,112.401
2014-08-31,13.129
2014-09-30,104.179
2014-10-31,5808.279
2014-11-30,9690.76
2014-12-31,5921.13
2015-01-31,9841.605
2015-02-28,6948.151
2015-03-31,8557.277
2015-04-30,3864.779
2015-05-31,892.59
2015-06-30,440.751
2015-07-31,172.73
2015-08-31,1911.41
2015-09-30,10351.051
2015-10-31,9852.751
2015-11-30,9335.623
2015-12-31,5366.567
