D a t e , P r o d u c t i o n
2006-01-31,10070.41
2006-02-28,12363.849
2006-03-31,12204.496
2006-04-30,4256.85
2006-05-31,1577.334
2006-06-30,1432.11
2006-07-31,965.765
2006-08-31,753.287
2006-09-30,1953.134
2006-10-31,2882.904
2006-11-30,12654.003
2006-12-31,9059.779
2007-01-31,9780.267
2007-02-28,12091.07
2007-03-31,12893.234
2007-04-30,5021.233
2007-05-31,1825.837
2007-06-30,1700.465
2007-07-31,1292.696
2007-08-31,1966.323
2007-09-30,1551.692
2007-10-31,4229.946
2007-11-30,14392.463
2007-12-31,5860.315
2008-01-31,8679.514
2008-02-29,13668.804
2008-03-31,14037.629
2008-04-30,8627.4
2008-05-31,1979.651
2008-06-30,2253.36
2008-07-31,1534.023
2008-08-31,1425.885
2008-09-30,6761.106
2008-10-31,6743.586
2008-11-30,15726.673
2008-12-31,8982.414
2009-01-31,14507.798
2009-02-28,13801.316
2009-03-31,14443.075
2009-04-30,3711.067
2009-05-31,2511.503
2009-06-30,2693.41
2009-07-31,2039.086
2009-08-31,2200.745
2009-09-30,1814.675
2009-10-31,1686.147
2009-11-30,14669.961
2009-12-31,8102.102
2010-01-31,11877.205
2010-02-28,13851.781
2010-03-31,15282.017
2010-04-30,8467.919
2010-05-31,2984.535
2010-06-30,4642.689
2010-07-31,3728.362
2010-08-31,11671.318
2010-09-30,15146.423
2010-10-31,8116.191
2010-11-30,15573.044
2010-12-31,10242.222
2011-01-31,14371.542
2011-02-28,13460.861
2011-03-31,14532.956
2011-04-30,7738.21
2011-05-31,3150.247
2011-06-30,4253.398
2011-07-31,3449.072
2011-08-31,2731.803
2011-09-30,4142.046
2011-10-31,5333.252
2011-11-30,13312.021
2011-12-31,7193.016
2012-01-31,11775.953
2012-02-29,14176.557
2012-03-31,14136.486
2012-04-30,7643.413
2012-05-31,2666.394
2012-06-30,3604.201
2012-07-31,1964.546
2012-08-31,2285.477
2012-09-30,1799.222
2012-10-31,5229.407
2012-11-30,15244.663
2012-12-31,8011.901
2013-01-31,13246.539
2013-02-28,12967.584
2013-03-31,12912.154
2013-04-30,5940.21
2013-05-31,1076.474
2013-06-30,1133.572
2013-07-31,510.193
2013-08-31,1147.158
2013-09-30,634.203
2013-10-31,2437.751
2013-11-30,12651.78
2013-12-31,7577.911
2014-01-31,11349.316
2014-02-28,11846.307
2014-03-31,13473.952
2014-04-30,5290.462
2014-05-31,3019.672
2014-06-30,4293.657
2014-07-31,3321.789
2014-08-31,2684.316
2014-09-30,2552.144
2014-10-31,5536.374
2014-11-30,12307.011
2014-12-31,8675.693
2015-01-31,14338.76
2015-02-28,13106.419
2015-03-31,14235.739
2015-04-30,3993.829
2015-05-31,5409.73
2015-06-30,5783.263
2015-07-31,6366.16
2015-08-31,7591.507
2015-09-30,5787.403
2015-10-31,5829.182
2015-11-30,14537.295
2015-12-31,10793.509
