D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,435001.486
2006-02-28,0,299979.202
2006-03-31,0,660799.241
2006-04-30,0,521847.961
2006-05-31,0,664238.62
2006-06-30,0,663024.185
2006-07-31,0,592365.142
2006-08-31,0,632933.35
2006-09-30,0,763984.078
2006-10-31,0,502036.099
2006-11-30,0,501850.843
2006-12-31,0,365873.767
2007-01-31,0,267235.765
2007-02-28,0,197814.814
2007-03-31,0,443556.449
2007-04-30,1,356425.407
2007-05-31,1,209194.67
2007-06-30,1,196061.284
2007-07-31,1,243180.183
2007-08-31,0,216404.714
2007-09-30,1,490033.222
2007-10-31,0,515471.288
2007-11-30,0,116897.598
2007-12-31,0,72598.623
2008-01-31,0,84888.181
2008-02-29,0,102876.177
2008-03-31,0,274479.526
2008-04-30,0,934996.566
2008-05-31,0,1021432.579
2008-06-30,0,841938.209
2008-07-31,0,705314.075
2008-08-31,0,772070.269
2008-09-30,0,1050453.548
2008-10-31,0,778328.976
2008-11-30,0,611463.497
2008-12-31,1,416133.141
2009-01-31,1,398682.134
2009-02-28,1,450348.336
2009-03-31,1,508301.492
2009-04-30,1,529684.658
2009-05-31,0,299134.749
2009-06-30,0,408818.294
2009-07-31,1,482636.574
2009-08-31,1,497890.922
2009-09-30,2,420857.634
2009-10-31,2,385576.256
2009-11-30,2,153441.668
2009-12-31,2,147093.062
2010-01-31,3,121669.854
2010-02-28,3,83397.314
2010-03-31,2,202713.339
2010-04-30,3,184906.93
2010-05-31,2,199501.04
2010-06-30,2,440793.865
2010-07-31,0,804629.664
2010-08-31,0,936474.978
2010-09-30,0,1634548.611
2010-10-31,0,1324867.243
2010-11-30,0,754317.769
2010-12-31,0,514261.726
2011-01-31,0,581912.092
2011-02-28,0,553337.854
2011-03-31,0,591827.079
2011-04-30,1,535499.797
2011-05-31,0,554370.62
2011-06-30,0,529760.793
2011-07-31,0,598673.366
2011-08-31,0,741708.565
2011-09-30,0,1010764.681
2011-10-31,0,973459.419
2011-11-30,0,755225.273
2011-12-31,0,657936.76
2012-01-31,0,655953.79
2012-02-29,0,614490.283
2012-03-31,0,582809.041
2012-04-30,0,614133.203
2012-05-31,0,792234.414
2012-06-30,0,678834.805
2012-07-31,0,515828.323
2012-08-31,0,847127.452
2012-09-30,0,438452.283
2012-10-31,0,417128.996
2012-11-30,0,251611.989
2012-12-31,0,357648.52
2013-01-31,0,130652.013
2013-02-28,0,155183.06
2013-03-31,0,222747.767
2013-04-30,0,417367.036
2013-05-31,0,326142.918
2013-06-30,0,466486.918
2013-07-31,0,586283.476
2013-08-31,0,536006.886
2013-09-30,0,746770.385
2013-10-31,0,644955.243
2013-11-30,0,528559.241
2013-12-31,0,392547.107
2014-01-31,0,451406.372
2014-02-28,0,650718.617
2014-03-31,0,736573.127
2014-04-30,0,694364.142
2014-05-31,0,632703.74
2014-06-30,0,772923.428
2014-07-31,0,807422.945
2014-08-31,0,638038.771
2014-09-30,0,582903.036
2014-10-31,0,461389.454
2014-11-30,0,402943.076
2014-12-31,0,344135.108
2015-01-31,0,336810.194
2015-02-28,0,280712.26
2015-03-31,0,430588.368
2015-04-30,0,673017.527
2015-05-31,0,796229.47
2015-06-30,0,459860.977
2015-07-31,1,156611.986
2015-08-31,1,179365.773
2015-09-30,1,379327.8
2015-10-31,1,251892.942
2015-11-30,0,158717.504
2015-12-31,0,174195.559
