D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,1984.5
2006-02-28,2,8846.8
2006-03-31,3,14874.5
2006-04-30,3,10148.9
2006-05-31,2,8920.7
2006-06-30,2,10693.7
2006-07-31,1,13706.5
2006-08-31,0,39410.7
2006-09-30,0,35037.2
2006-10-31,0,42312.7
2006-11-30,0,29095.3
2006-12-31,0,7890.6
2007-01-31,0,7845.1
2007-02-28,0,7422.1
2007-03-31,1,7443.0
2007-04-30,2,12115.0
2007-05-31,2,10906.4
2007-06-30,2,11792.6
2007-07-31,1,44219.4
2007-08-31,0,45392.1
2007-09-30,0,43396.6
2007-10-31,1,23317.0
2007-11-30,1,7232.8
2007-12-31,1,9351.1
2008-01-31,2,9237.5
2008-02-29,2,12016.5
2008-03-31,2,3049.7
2008-04-30,2,6537.3
2008-05-31,2,11410.1
2008-06-30,2,21054.7
2008-07-31,1,42327.2
2008-08-31,1,45100.2
2008-09-30,0,43669.5
2008-10-31,0,36198.42
2008-11-30,0,13432.3
2008-12-31,0,5242.2
2009-01-31,0,8133.0
2009-02-28,0,9263.7
2009-03-31,1,16105.0
2009-04-30,1,14894.3
2009-05-31,1,10400.9
2009-06-30,1,8778.4
2009-07-31,1,15972.6
2009-08-31,2,10404.1
2009-09-30,2,42118.3
2009-10-31,2,22843.2
2009-11-30,2,6554.2
2009-12-31,2,4671.3
2010-01-31,2,6705.1
2010-02-28,0,32094.2
2010-03-31,0,14144.7
2010-04-30,0,15026.3
2010-05-31,0,8812.1
2010-06-30,0,12689.0
2010-07-31,0,36559.1
2010-08-31,0,44719.9
2010-09-30,0,43142.1
2010-10-31,0,21631.2
2010-11-30,0,7325.2
2010-12-31,0,5747.6
2011-01-31,0,14413.6
2011-02-28,0,12596.5
2011-03-31,1,6445.6
2011-04-30,2,10956.6
2011-05-31,2,11870.4
2011-06-30,3,7475.5
2011-07-31,2,18696.4
2011-08-31,2,22074.8
2011-09-30,1,20409.9
2011-10-31,2,1732.5
2011-11-30,2,1658.8
2011-12-31,2,6956.4
2012-01-31,2,11520.7
2012-02-29,0,18821.4
2012-03-31,0,16337.9
2012-04-30,0,2996.1
2012-05-31,0,11129.2
2012-06-30,0,23884.8
2012-07-31,0,47062.1
2012-08-31,0,41789.1
2012-09-30,0,7636.9
2012-10-31,0,3184.4
2012-11-30,0,3151.0
2012-12-31,0,0
2013-01-31,0,9269.7
2013-02-28,0,8996.0
2013-03-31,0,8441.5
2013-04-30,0,14924.3
2013-05-31,0,10224.9
2013-06-30,0,10832.0
2013-07-31,0,32222.3
2013-08-31,0,41761.9
2013-09-30,0,42916.0
2013-10-31,0,42211.1
2013-11-30,0,13982.3
2013-12-31,0,10546.0
2014-01-31,0,22495.1
2014-02-28,0,8664.9
2014-03-31,0,10531.5
2014-04-30,0,13493.1
2014-05-31,0,13520.7
2014-06-30,0,20330.96
2014-07-31,0,43462.35
2014-08-31,0,32216.905
2014-09-30,0,24406.498
2014-10-31,0,37798.521
2014-11-30,0,9718.027
2014-12-31,0,7366.559
2015-01-31,0,5999.042
2015-02-28,0,11588.603
2015-03-31,0,16674.317
2015-04-30,0,17181.268
2015-05-31,0,12778.752
2015-06-30,0,22801.94
2015-07-31,0,48180.2
2015-08-31,0,49691.569
2015-09-30,0,49267.297
2015-10-31,0,29587.814
2015-11-30,0,21950.588
2015-12-31,0,13441.812
