D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,5433.512
2006-02-28,2,4366.08
2006-03-31,3,4345.494
2006-04-30,3,2581.147
2006-05-31,1,1405.837
2006-06-30,2,5347.077
2006-07-31,0,6118.674
2006-08-31,0,6719.031
2006-09-30,0,8396.975
2006-10-31,0,9542.946
2006-11-30,0,7152.778
2006-12-31,0,6972.23
2007-01-31,0,6040.743
2007-02-28,0,5153.908
2007-03-31,0,5387.21
2007-04-30,1,3948.543
2007-05-31,1,4997.864
2007-06-30,1,7038.163
2007-07-31,2,7428.78
2007-08-31,0,9017.006
2007-09-30,0,9002.087
2007-10-31,1,8776.356
2007-11-30,1,8268.021
2007-12-31,1,6628.615
2008-01-31,1,5390.526
2008-02-29,2,3907.112
2008-03-31,2,5409.901
2008-04-30,2,4981.67
2008-05-31,3,3532.739
2008-06-30,3,5589.65096
2008-07-31,2,6816.336
2008-08-31,2,7674.121
2008-09-30,1,7313.636
2008-10-31,1,7047.128
2008-11-30,1,7001.987
2008-12-31,1,5521.402
2009-01-31,1,5391.337
2009-02-28,1,3730.012
2009-03-31,1,5146.984
2009-04-30,1,4062.549
2009-05-31,1,2002.469
2009-06-30,1,3480.963
2009-07-31,2,5192.699
2009-08-31,3,4679.955
2009-09-30,2,5556.91393
2009-10-31,2,5766.795
2009-11-30,2,6392.493
2009-12-31,2,5492.992
2010-01-31,2,4697.777
2010-02-28,0,5992.712
2010-03-31,0,5317.121
2010-04-30,0,3656.128
2010-05-31,0,2955.392
2010-06-30,0,3631.636
2010-07-31,0,7784.954
2010-08-31,0,9083.669
2010-09-30,0,8893.486
2010-10-31,0,7897.691
2010-11-30,0,7651.27
2010-12-31,0,5357.273
2011-01-31,0,5147.177
2011-02-28,0,2558.545
2011-03-31,1,5053.096
2011-04-30,2,4902.496
2011-05-31,1,4880.086
2011-06-30,3,4617.774
2011-07-31,2,2310.944
2011-08-31,2,0
2011-09-30,1,0
2011-10-31,1,0
2011-11-30,1,0
2011-12-31,1,0
2012-01-31,1,3713.353
2012-02-29,0,3604.105
2012-03-31,0,4783.433
2012-04-30,0,4291.722
2012-05-31,0,4173.535
2012-06-30,0,3742.618
2012-07-31,0,6374.192
2012-08-31,0,7641.659
2012-09-30,0,9581.138
2012-10-31,0,8127.137
2012-11-30,0,8662.729
2012-12-31,0,4891.827
2013-01-31,0,4571.124
2013-02-28,0,3490.841
2013-03-31,0,2890.666
2013-04-30,0,4410.156
2013-05-31,0,3717.542
2013-06-30,0,4164.403
2013-07-31,0,6031.362
2013-08-31,0,6545.26
2013-09-30,0,9251.817
2013-10-31,0,9069.179
2013-11-30,0,9757.339
2013-12-31,0,6175.121
2014-01-31,0,5536.54
2014-02-28,0,4148.412
2014-03-31,0,3364.474
2014-04-30,0,5113.142
2014-05-31,0,4379.079
2014-06-30,0,5630.601
2014-07-31,0,8046.491
2014-08-31,0,9969.484
2014-09-30,0,10846.624
2014-10-31,0,10600.008
2014-11-30,0,8914.292
2014-12-31,0,5504.635
2015-01-31,1,5226.366
2015-02-28,0,4060.907
2015-03-31,0,8243.132
2015-04-30,0,3913.227
2015-05-31,0,5457.977
2015-06-30,0,7856.288
2015-07-31,0,8283.604
2015-08-31,1,7388.991
2015-09-30,1,8058.352
2015-10-31,1,7609.482
2015-11-30,1,8758.444
2015-12-31,0,5851.779
