D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,499.198
2006-02-28,0,408.782
2006-03-31,0,402.357
2006-04-30,0,348.43
2006-05-31,0,529.705
2006-06-30,0,609.393
2006-07-31,0,429.647
2006-08-31,0,543.072
2006-09-30,0,592.902
2006-10-31,0,358.484
2006-11-30,0,369.003
2006-12-31,0,427.982
2007-01-31,0,402.381
2007-02-28,0,358.608
2007-03-31,0,195.581
2007-04-30,0,331.086
2007-05-31,0,372.516
2007-06-30,0,538.542
2007-07-31,0,598.346
2007-08-31,0,525.621
2007-09-30,0,590.143
2007-10-31,0,500.774
2007-11-30,0,295.645
2007-12-31,0,383.179
2008-01-31,0,344.183
2008-02-29,0,288.506
2008-03-31,0,253.242
2008-04-30,0,256.212
2008-05-31,0,333.63
2008-06-30,0,444.249
2008-07-31,0,563.654
2008-08-31,0,586.277
2008-09-30,0,570.421
2008-10-31,0,392.517
2008-11-30,0,387.833
2008-12-31,0,434.173
2009-01-31,0,385.828
2009-02-28,0,342.592
2009-03-31,0,306.862
2009-04-30,0,292.773
2009-05-31,0,480.503
2009-06-30,0,468.422
2009-07-31,0,508.863
2009-08-31,1,250.589
2009-09-30,0,838.17
2009-10-31,0,639.84
2009-11-30,0,399.194
2009-12-31,0,479.219
2010-01-31,0,496.0
2010-02-28,0,397.12
2010-03-31,0,284.035
2010-04-30,0,275.068
2010-05-31,0,286.14
2010-06-30,0,357.534
2010-07-31,0,853.84
2010-08-31,0,788.384
2010-09-30,0,804.939
2010-10-31,0,836.627
2010-11-30,0,855.864
2010-12-31,0,849.319
2011-01-31,0,844.373
2011-02-28,0,724.467
2011-03-31,1,656.293
2011-04-30,0,644.485
2011-05-31,0,670.509
2011-06-30,0,683.965
2011-07-31,0,772.811
2011-08-31,0,770.155
2011-09-30,0,890.281
2011-10-31,0,737.229
2011-11-30,0,707.063
2011-12-31,0,635.709
2012-01-31,0,684.72
2012-02-29,0,618.594
2012-03-31,0,616.681
2012-04-30,0,634.947
2012-05-31,0,621.982
2012-06-30,0,525.4
2012-07-31,0,743.831
2012-08-31,0,747.927
2012-09-30,0,692.704
2012-10-31,0,775.942
2012-11-30,0,696.2
2012-12-31,0,736.842
2013-01-31,0,734.854
2013-02-28,0,616.049
2013-03-31,0,691.942
2013-04-30,0,521.563
2013-05-31,0,491.863
2013-06-30,0,825.557
2013-07-31,0,784.098
2013-08-31,0,514.816
2013-09-30,0,902.293
2013-10-31,0,906.218
2013-11-30,0,739.27
2013-12-31,0,571.343
2014-01-31,0,586.01
2014-02-28,0,526.537
2014-03-31,0,276.0
2014-04-30,0,643.025
2014-05-31,0,998.293
2014-06-30,0,994.349
2014-07-31,0,894.626
2014-08-31,0,875.049
2014-09-30,0,906.582
2014-10-31,0,792.911
2014-11-30,0,810.031
2014-12-31,0,0
2015-01-31,0,751.896
2015-02-28,0,641.465
2015-03-31,0,727.23
2015-04-30,0,724.394
2015-05-31,0,827.236
2015-06-30,0,692.167
2015-07-31,0,723.015
2015-08-31,0,610.635
2015-09-30,0,896.637
2015-10-31,0,767.254
2015-11-30,0,639.587
2015-12-31,0,660.81
