D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,0
2006-02-28,1,0
2006-03-31,1,0
2006-04-30,1,0
2006-05-31,0,0
2006-06-30,0,0
2006-07-31,0,0
2006-08-31,1,0
2006-09-30,0,0
2006-10-31,0,0
2006-11-30,0,0
2006-12-31,0,0
2007-01-31,0,475.554
2007-02-28,0,433.129
2007-03-31,0,484.643
2007-04-30,1,462.839
2007-05-31,0,476.678
2007-06-30,0,461.475
2007-07-31,1,473.879
2007-08-31,0,82.82
2007-09-30,0,74.52
2007-10-31,0,449.918
2007-11-30,0,401.607
2007-12-31,0,0
2008-01-31,0,335.565
2008-02-29,0,441.32
2008-03-31,0,439.129
2008-04-30,0,451.85
2008-05-31,1,468.138
2008-06-30,1,370.056
2008-07-31,0,408.753
2008-08-31,0,16.408
2008-09-30,0,399.129
2008-10-31,0,467.517
2008-11-30,0,0
2008-12-31,0,0
2009-01-31,0,483.135
2009-02-28,0,448.536
2009-03-31,0,488.633
2009-04-30,1,432.891
2009-05-31,1,409.547
2009-06-30,1,459.81
2009-07-31,1,198.37
2009-08-31,1,0
2009-09-30,0,0
2009-10-31,0,0
2009-11-30,0,0
2009-12-31,0,0
2010-01-31,0,0
2010-02-28,0,0
2010-03-31,0,0
2010-04-30,0,0
2010-05-31,0,0
2010-06-30,0,0
2010-07-31,0,0
2010-08-31,0,0
2010-09-30,0,0
2010-10-31,0,0
2010-11-30,0,0
2010-12-31,0,0
2011-01-31,0,0
2011-02-28,0,0
2011-03-31,0,0
2011-04-30,2,0
2011-05-31,2,0
2011-06-30,2,0
2011-07-31,2,0
2011-08-31,1,0
2011-09-30,0,0
2011-10-31,0,0
2011-11-30,0,0
2011-12-31,0,0
2012-01-31,0,0
2012-02-29,0,0
2012-03-31,0,0
2012-04-30,0,0
2012-05-31,0,0
2012-06-30,0,0
2012-07-31,0,0
2012-08-31,0,0
2012-09-30,0,0
2012-10-31,0,0
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,0
2013-02-28,0,0
2013-03-31,0,0
2013-04-30,0,0
2013-05-31,0,0
2013-06-30,0,0
2013-07-31,0,0
2013-08-31,0,0
2013-09-30,0,0
2013-10-31,0,0
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,0
2014-02-28,0,0
2014-03-31,0,0
2014-04-30,0,0
2014-05-31,0,0
2014-06-30,0,0
2014-07-31,0,0
2014-08-31,0,0
2014-09-30,0,0
2014-10-31,0,0
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,0
2015-02-28,0,0
2015-03-31,0,0
2015-04-30,0,0
2015-05-31,0,0
2015-06-30,0,0
2015-07-31,0,0
2015-08-31,0,0
2015-09-30,0,0
2015-10-31,0,0
2015-11-30,0,0
2015-12-31,0,0
