AGUASCALIENTES,0,46.7,6.6,0,6.5,35.5,158.7,166.7,73.8,14,0.1,0.7,509.3
BAJACALIFORNIA,49.6,90.3,21.8,4.7,1.1,0.2,1.6,5.8,1,7.6,0.3,0.6,184.6
BAJACALIFORNIASUR,2.7,0.2,0,0,0,0,11.9,88,44.4,37.4,4.8,0.5,189.9
CAMPECHE,3.9,3.5,7.9,55,81.8,405.5,222.5,271.3,303.6,319.9,81.4,34.1,1790.4
COAHUILA,25.5,38.7,20.1,2.3,57.8,7.4,108.1,53.9,13.2,140.8,2.4,0.9,471.1
COLIMA,23,10.4,3.1,0,0.2,55.5,179.3,200.6,192.8,59.7,0.7,0.8,726.1
CHIAPAS,8.5,19.7,33.8,47.4,158.4,413.4,350.8,338.9,362.7,315,56.8,85.3,2190.7
CHIHUAHUA,47.1,50.7,5.2,0.3,35.3,11.7,108.8,107.9,41.5,42.9,2,9.1,462.5
DISTRITOFEDERAL,5.9,4.5,3.9,21.9,23.1,90.5,158.8,175.4,64.1,90,6.2,1,645.3
DURANGO,16.8,20.5,2.2,0.3,3.8,4.7,145.1,108.3,38.6,30.5,2.5,0.5,373.8
GUANAJUATO,7.5,12.8,21,3.9,3.7,23.4,170.7,187.8,50.8,27.9,0.4,0.1,510
GUERRERO,18,0.3,2.8,1.4,14.6,167.9,295,260.8,219.8,126.7,0.6,0.2,1108.1
HIDALGO,15.6,14.5,11.3,9.3,44.4,58.4,102.9,137.8,72.6,209.6,12.7,5.8,694.9
JALISCO,6.1,16.7,3.4,0,2.1,48.2,245.2,182.3,105.7,50.1,3.3,0.9,664
ESTADODEMEXICO,9.4,3.4,4.5,8.9,16.3,58.2,145.5,149.8,71.6,72.4,8,1.1,549.1
MICHOACAN,11.9,10.4,20.5,1,5.6,67.9,208.7,204.2,98.3,56.7,3.1,0.9,689.2
MORELOS,1.6,0.1,5.3,6.3,14.7,76.6,228.3,210.6,111.4,56.8,2.3,0.2,714.2
NAYARIT,3.1,48.2,2.4,0.1,0,28.1,342.4,423,210.5,157.4,0.1,0.2,1215.5
NUEVOLEÓN,18.1,83.7,30.6,12.8,78.9,4.5,329.9,31.9,67.5,235.8,16.1,9.4,919.2
OAXACA,17.9,17.4,11.2,8.1,86.9,271.7,336.8,369.3,239,219.8,27.7,12.5,1618.3
PUEBLA,13.6,20.8,22.2,28.6,65.2,168.6,193.5,306.9,129.7,257.9,33,13.9,1253.9
QUERETARO,4.8,5.5,15.2,5.5,6,11.8,134.5,137.2,50.9,60.6,2.4,0.6,435
QUINTANAROO,16.8,19.1,12.7,18.7,121.3,223.7,127.7,103.5,113.1,649.2,35.9,14.8,1456.5
SANLUISPOTOSI,10.5,38.8,21,1.8,66,64,221.2,87.6,115.7,163.1,10.5,8.2,808.4
SINALOA,16.6,78.9,4.2,0,1,0.8,164,144.7,73.4,44.4,6.7,0.9,535.6
SONORA,63.9,29,2.5,1.1,5,2.6,71.7,86.3,24.5,9.9,0.4,1.8,298.7
TABASCO,32.4,48.1,30.6,19.7,80.1,412.7,249.1,261.2,383.4,160.9,158.8,199,2036
TAMAULIPAS,14.4,58.4,28.7,6.7,63.7,33.4,271.7,38.6,70.8,118.2,13.9,20.3,738.8
TLAXCALA,1,4.3,8,51.1,57.1,48.8,165.8,161.7,46.3,124.3,6,3,677.4
VERACRUZ,38.5,48.9,28.6,14.8,79.4,316.4,242.2,300.8,243.4,365.2,103.5,48.4,1830.1
YUCATÁN,3,6.1,40.8,26.9,112.1,222.1,134.4,134.1,149.9,201.2,44.9,32,1107.5
ZACATECAS,1.6,46.2,3.2,0,6.4,21.8,120.8,138,38,32.8,1.6,4.1,414.5
NACIONAL,25,35.8,13,7.8,41.5,88.9,172.1,148,101.5,124.2,16.8,13.5,788.1
