D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,234678.518
2006-02-28,0,162849.254
2006-03-31,0,368570.132
2006-04-30,0,279753.471
2006-05-31,0,346712.933
2006-06-30,0,303218.04
2006-07-31,0,251754.019
2006-08-31,0,295592.996
2006-09-30,0,320670.467
2006-10-31,0,235948.636
2006-11-30,0,269373.65
2006-12-31,0,184186.228
2007-01-31,0,133630.176
2007-02-28,0,99304.035
2007-03-31,0,231259.512
2007-04-30,1,186576.01
2007-05-31,1,103089.985
2007-06-30,1,74827.855
2007-07-31,1,92817.623
2007-08-31,0,59447.649
2007-09-30,1,172752.422
2007-10-31,0,193584.507
2007-11-30,0,33.339
2007-12-31,0,27996.18
2008-01-31,0,39539.757
2008-02-29,0,51962.093
2008-03-31,0,156050.667
2008-04-30,0,534672.435
2008-05-31,0,559981.895
2008-06-30,0,384419.82
2008-07-31,0,225932.518
2008-08-31,0,293094.67
2008-09-30,0,479266.868
2008-10-31,0,370703.321
2008-11-30,0,324999.976
2008-12-31,1,215784.78
2009-01-31,1,215977.92
2009-02-28,1,242436.599
2009-03-31,1,272343.64
2009-04-30,1,289317.486
2009-05-31,0,140736.353
2009-06-30,0,179686.498
2009-07-31,1,221320.442
2009-08-31,1,234175.698
2009-09-30,2,189593.524
2009-10-31,2,175598.55
2009-11-30,2,56776.384
2009-12-31,2,62662.234
2010-01-31,3,56851.733
2010-02-28,3,36899.323
2010-03-31,2,104587.583
2010-04-30,3,93993.828
2010-05-31,2,102663.006
2010-06-30,2,169513.142
2010-07-31,0,246871.877
2010-08-31,0,199330.675
2010-09-30,0,607112.2
2010-10-31,0,523316.976
2010-11-30,0,406751.269
2010-12-31,0,279943.328
2011-01-31,0,316236.561
2011-02-28,0,298963.781
2011-03-31,0,319092.991
2011-04-30,1,277589.782
2011-05-31,0,286189.088
2011-06-30,0,241720.489
2011-07-31,0,206460.333
2011-08-31,0,238526.087
2011-09-30,0,313886.812
2011-10-31,0,324907.584
2011-11-30,0,402873.143
2011-12-31,0,336190.794
2012-01-31,0,352519.157
2012-02-29,0,329477.986
2012-03-31,0,304879.936
2012-04-30,0,313149.963
2012-05-31,0,410142.347
2012-06-30,0,309403.658
2012-07-31,0,207107.801
2012-08-31,0,288062.742
2012-09-30,0,113964.571
2012-10-31,0,171754.078
2012-11-30,0,119068.907
2012-12-31,0,175321.865
2013-01-31,0,53343.659
2013-02-28,0,78178.581
2013-03-31,0,110466.157
2013-04-30,0,212226.043
2013-05-31,0,148400.01
2013-06-30,0,126834.485
2013-07-31,0,192544.284
2013-08-31,0,193506.454
2013-09-30,0,158540.418
2013-10-31,0,260854.32
2013-11-30,0,229056.904
2013-12-31,0,200627.906
2014-01-31,0,247669.49
2014-02-28,0,361826.02
2014-03-31,0,393498.809
2014-04-30,0,366224.057
2014-05-31,0,317886.624
2014-06-30,0,266793.817
2014-07-31,0,377472.233
2014-08-31,0,302470.594
2014-09-30,0,152490.143
2014-10-31,0,135817.63
2014-11-30,0,180271.922
2014-12-31,0,162861.037
2015-01-31,0,171911.131
2015-02-28,0,145908.365
2015-03-31,0,233278.706
2015-04-30,0,342415.714
2015-05-31,0,430898.881
2015-06-30,0,221442.014
2015-07-31,1,50400.406
2015-08-31,1,82376.677
2015-09-30,1,143825.501
2015-10-31,1,107115.795
2015-11-30,0,67378.527
2015-12-31,0,79514.929
