D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,28794.401
2006-02-28,1,29670.117
2006-03-31,1,34097.076
2006-04-30,1,24341.167
2006-05-31,0,21883.264
2006-06-30,0,66478.201
2006-07-31,0,58363.045
2006-08-31,0,171817.32
2006-09-30,0,160188.363
2006-10-31,0,102726.435
2006-11-30,0,51796.078
2006-12-31,0,50641.209
2007-01-31,0,39478.407
2007-02-28,0,32196.17
2007-03-31,1,41017.408
2007-04-30,0,24055.706
2007-05-31,0,30744.077
2007-06-30,0,59803.849
2007-07-31,0,105403.842
2007-08-31,0,203944.175
2007-09-30,0,292607.024
2007-10-31,0,81406.779
2007-11-30,0,77484.425
2007-12-31,0,51667.563
2008-01-31,0,28835.283
2008-02-29,1,27336.221
2008-03-31,1,27023.583
2008-04-30,1,14647.263
2008-05-31,1,15984.275
2008-06-30,1,60501.583
2008-07-31,0,276902.979
2008-08-31,0,230542.231
2008-09-30,0,290015.022
2008-10-31,0,121479.395
2008-11-30,0,58173.732
2008-12-31,0,34261.759
2009-01-31,0,31764.323
2009-02-28,0,45060.4
2009-03-31,0,36135.19
2009-04-30,0,36696.131
2009-05-31,0,32048.011
2009-06-30,0,55155.427
2009-07-31,0,105749.671
2009-08-31,1,51639.078
2009-09-30,0,230302.948
2009-10-31,0,68094.568
2009-11-30,0,84381.851
2009-12-31,0,43004.174
2010-01-31,0,33080.257
2010-02-28,0,64486.866
2010-03-31,0,52177.889
2010-04-30,0,26963.007
2010-05-31,0,23263.089
2010-06-30,0,50151.409
2010-07-31,0,259880.576
2010-08-31,0,324834.448
2010-09-30,0,415604.806
2010-10-31,0,134103.464
2010-11-30,0,53019.53
2010-12-31,0,37627.652
2011-01-31,0,41145.845
2011-02-28,0,33176.785
2011-03-31,1,34485.71
2011-04-30,1,34639.175
2011-05-31,1,68198.91
2011-06-30,0,46604.287
2011-07-31,0,274985.626
2011-08-31,0,230546.939
2011-09-30,0,277886.313
2011-10-31,0,109642.298
2011-11-30,0,48885.55
2011-12-31,0,49139.984
2012-01-31,0,42715.118
2012-02-29,0,31328.489
2012-03-31,0,36349.551
2012-04-30,0,37566.72
2012-05-31,0,55624.708
2012-06-30,0,88856.312
2012-07-31,0,203475.282
2012-08-31,0,252083.098
2012-09-30,0,181511.731
2012-10-31,0,123914.612
2012-11-30,0,33988.685
2012-12-31,0,60490.369
2013-01-31,0,19902.886
2013-02-28,0,22457.343
2013-03-31,0,28874.369
2013-04-30,0,40677.758
2013-05-31,0,32015.73
2013-06-30,0,118062.486
2013-07-31,0,158825.256
2013-08-31,0,133971.6
2013-09-30,0,330515.493
2013-10-31,0,239271.412
2013-11-30,0,117156.453
2013-12-31,0,65288.057
2014-01-31,0,51498.31
2014-02-28,0,39641.892
2014-03-31,0,47962.963
2014-04-30,0,28281.278
2014-05-31,0,68973.952
2014-06-30,0,253844.79
2014-07-31,0,351064.053
2014-08-31,0,124088.448
2014-09-30,0,192293.655
2014-10-31,0,296795.174
2014-11-30,0,85834.259
2014-12-31,0,64087.0
2015-01-31,0,47371.898
2015-02-28,0,30595.513
2015-03-31,0,48077.029
2015-04-30,0,56641.01
2015-05-31,0,80959.299
2015-06-30,0,113867.989
2015-07-31,1,105060.537
2015-08-31,1,64825.476
2015-09-30,1,183804.945
2015-10-31,1,83529.879
2015-11-30,0,88565.978
2015-12-31,0,46866.016
