D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,8574.0
2006-02-28,1,6167.0
2006-03-31,1,5167.0
2006-04-30,1,3768.0
2006-05-31,0,5265.0
2006-06-30,0,13543.0
2006-07-31,0,15479.0
2006-08-31,0,18362.0
2006-09-30,0,15608.0
2006-10-31,0,15213.0
2006-11-30,0,19716.0
2006-12-31,0,19309.0
2007-01-31,0,12897.0
2007-02-28,0,8374.0
2007-03-31,1,7156.0
2007-04-30,0,5527.0
2007-05-31,0,5710.0
2007-06-30,0,12633.0
2007-07-31,0,13593.0
2007-08-31,0,18704.0
2007-09-30,0,18305.0
2007-10-31,0,20412.0
2007-11-30,0,19140.0
2007-12-31,0,13536.999
2008-01-31,0,9645.0
2008-02-29,1,7155.0
2008-03-31,1,5884.0
2008-04-30,1,4355.0
2008-05-31,1,2800.0
2008-06-30,1,6308.0
2008-07-31,0,17679.0
2008-08-31,0,20029.0
2008-09-30,0,13412.0
2008-10-31,0,19184.0
2008-11-30,0,22210.0
2008-12-31,0,16224.0
2009-01-31,0,11310.0
2009-02-28,0,7739.0
2009-03-31,0,6111.0
2009-04-30,0,4576.0
2009-05-31,0,7051.0
2009-06-30,0,10187.0
2009-07-31,0,15025.0
2009-08-31,1,17240.0
2009-09-30,0,17071.999
2009-10-31,0,18829.0
2009-11-30,0,17402.0
2009-12-31,0,12358.0
2010-01-31,0,9673.0
2010-02-28,0,11571.0
2010-03-31,0,8206.0
2010-04-30,0,5496.0
2010-05-31,0,3080.0
2010-06-30,0,9218.0
2010-07-31,0,17931.0
2010-08-31,0,14905.0
2010-09-30,0,12903.0
2010-10-31,0,22222.0
2010-11-30,0,19288.0
2010-12-31,0,13511.0
2011-01-31,0,9767.0
2011-02-28,0,6808.0
2011-03-31,1,5553.0
2011-04-30,1,4704.0
2011-05-31,1,802.0
2011-06-30,0,6002.0
2011-07-31,0,18199.0
2011-08-31,0,18287.0
2011-09-30,0,17884.0
2011-10-31,0,20570.0
2011-11-30,0,19821.0
2011-12-31,0,14625.0
2012-01-31,0,10073.0
2012-02-29,0,7556.0
2012-03-31,0,1303.0
2012-04-30,0,4377.0
2012-05-31,0,5599.0
2012-06-30,0,10590.0
2012-07-31,0,17645.0
2012-08-31,0,18793.0
2012-09-30,0,16046.0
2012-10-31,0,20718.0
2012-11-30,0,14959.0
2012-12-31,0,10704.0
2013-01-31,0,7278.0
2013-02-28,0,4550.0
2013-03-31,0,4908.0
2013-04-30,0,1627.0
2013-05-31,0,1934.0
2013-06-30,0,12732.0
2013-07-31,0,18432.0
2013-08-31,0,17344.0
2013-09-30,0,7840.0
2013-10-31,0,0
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,0
2014-02-28,0,0
2014-03-31,0,0
2014-04-30,0,0
2014-05-31,0,0
2014-06-30,0,0
2014-07-31,0,0
2014-08-31,0,0
2014-09-30,0,0
2014-10-31,0,0
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,0
2015-02-28,0,0
2015-03-31,0,0
2015-04-30,0,0
2015-05-31,0,0
2015-06-30,0,0
2015-07-31,1,0
2015-08-31,1,0
2015-09-30,1,0
2015-10-31,1,0
2015-11-30,0,0
2015-12-31,0,0
