D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,136.957
2006-02-28,2,81.263
2006-03-31,3,56.765
2006-04-30,3,72.095
2006-05-31,1,84.301
2006-06-30,2,92.808
2006-07-31,0,125.827
2006-08-31,0,234.334
2006-09-30,0,163.773
2006-10-31,0,193.067
2006-11-30,0,0
2006-12-31,0,0
2007-01-31,0,108.792
2007-02-28,0,185.973
2007-03-31,0,110.92
2007-04-30,1,93.157
2007-05-31,1,78.532
2007-06-30,1,250.909
2007-07-31,2,326.749
2007-08-31,0,292.823
2007-09-30,0,354.89
2007-10-31,1,339.695
2007-11-30,1,274.785
2007-12-31,1,240.384
2008-01-31,1,183.128
2008-02-29,2,106.849
2008-03-31,2,93.621
2008-04-30,2,81.269
2008-05-31,3,69.325
2008-06-30,3,211.694
2008-07-31,2,283.244
2008-08-31,2,63.087
2008-09-30,1,248.649
2008-10-31,1,384.888
2008-11-30,1,234.616
2008-12-31,1,212.037
2009-01-31,1,179.661
2009-02-28,1,129.914
2009-03-31,1,103.167
2009-04-30,1,88.417
2009-05-31,1,107.828
2009-06-30,1,224.218
2009-07-31,2,214.715
2009-08-31,3,302.349997
2009-09-30,2,185.487
2009-10-31,2,171.05
2009-11-30,2,208.431
2009-12-31,2,161.979
2010-01-31,2,241.054
2010-02-28,0,285.442
2010-03-31,0,197.458
2010-04-30,0,112.603
2010-05-31,0,91.748
2010-06-30,0,221.491
2010-07-31,0,213.038
2010-08-31,0,312.198
2010-09-30,0,274.341
2010-10-31,0,366.063
2010-11-30,0,267.018
2010-12-31,0,304.07
2011-01-31,0,159.973
2011-02-28,0,160.07
2011-03-31,1,131.058
2011-04-30,2,110.214
2011-05-31,1,91.869
2011-06-30,3,114.929
2011-07-31,2,176.282
2011-08-31,2,106.995
2011-09-30,1,339.907
2011-10-31,1,376.901
2011-11-30,1,280.487
2011-12-31,1,186.355
2012-01-31,1,204.642
2012-02-29,0,221.056
2012-03-31,0,137.785
2012-04-30,0,107.736
2012-05-31,0,98.46
2012-06-30,0,166.927
2012-07-31,0,289.306
2012-08-31,0,179.42
2012-09-30,0,238.564
2012-10-31,0,252.666
2012-11-30,0,245.843
2012-12-31,0,181.716
2013-01-31,0,144.946
2013-02-28,0,91.864
2013-03-31,0,98.119
2013-04-30,0,73.897
2013-05-31,0,60.246
2013-06-30,0,154.305
2013-07-31,0,133.426
2013-08-31,0,245.486
2013-09-30,0,95.141
2013-10-31,0,293.433
2013-11-30,0,303.218
2013-12-31,0,365.949
2014-01-31,0,292.36
2014-02-28,0,175.683
2014-03-31,0,131.096
2014-04-30,0,104.534
2014-05-31,0,168.63
2014-06-30,0,196.429
2014-07-31,0,178.98
2014-08-31,0,319.878
2014-09-30,0,270.411
2014-10-31,0,334.529
2014-11-30,0,145.928
2014-12-31,0,163.123
2015-01-31,1,151.64
2015-02-28,0,137.472
2015-03-31,0,111.448
2015-04-30,0,15.417
2015-05-31,0,51.286
2015-06-30,0,183.151
2015-07-31,0,269.471
2015-08-31,1,329.429
2015-09-30,1,316.029
2015-10-31,1,234.895
2015-11-30,1,248.457
2015-12-31,0,329.125
