D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,3838.0
2006-02-28,2,3291.0
2006-03-31,3,3365.0
2006-04-30,3,3158.0
2006-05-31,1,3084.0
2006-06-30,2,3953.0
2006-07-31,0,4237.0
2006-08-31,0,5539.0
2006-09-30,0,5712.0
2006-10-31,0,5141.0
2006-11-30,0,2526.0
2006-12-31,0,3865.0
2007-01-31,0,3705.0
2007-02-28,0,3210.0
2007-03-31,0,3361.0
2007-04-30,1,3176.0
2007-05-31,1,2949.0
2007-06-30,1,4084.0
2007-07-31,2,6025.0
2007-08-31,0,6240.0
2007-09-30,0,5406.0
2007-10-31,1,4535.0
2007-11-30,1,2567.0
2007-12-31,1,3199.0
2008-01-31,1,3538.0
2008-02-29,2,3133.0
2008-03-31,2,3235.0
2008-04-30,2,3113.0
2008-05-31,3,3001.0
2008-06-30,3,3578.0
2008-07-31,2,5422.0
2008-08-31,2,6155.0
2008-09-30,1,5785.0
2008-10-31,1,4699.0
2008-11-30,1,1976.0
2008-12-31,1,3767.0
2009-01-31,1,3715.0
2009-02-28,1,3141.0
2009-03-31,1,3377.0
2009-04-30,1,3161.0
2009-05-31,1,3067.0
2009-06-30,1,3737.0
2009-07-31,2,4836.0
2009-08-31,3,4238.0
2009-09-30,2,4952.0
2009-10-31,2,4306.0
2009-11-30,2,2321.0
2009-12-31,2,3546.0
2010-01-31,2,3602.0
2010-02-28,0,3725.0
2010-03-31,0,3235.0
2010-04-30,0,2972.0
2010-05-31,0,2818.0
2010-06-30,0,3408.0
2010-07-31,0,5347.0
2010-08-31,0,5837.0
2010-09-30,0,5216.0
2010-10-31,0,4108.0
2010-11-30,0,2920.0
2010-12-31,0,3486.0
2011-01-31,0,3428.0
2011-02-28,0,2953.0
2011-03-31,1,2871.0
2011-04-30,2,2889.0
2011-05-31,1,3104.0
2011-06-30,3,1201.0
2011-07-31,2,3076.0
2011-08-31,2,927.0
2011-09-30,1,1373.0
2011-10-31,1,3276.0
2011-11-30,1,3277.0
2011-12-31,1,0
2012-01-31,1,2630.0
2012-02-29,0,2679.0
2012-03-31,0,2937.0
2012-04-30,0,2417.0
2012-05-31,0,2906.0
2012-06-30,0,3270.0
2012-07-31,0,4607.0
2012-08-31,0,5280.0
2012-09-30,0,4835.001
2012-10-31,0,3804.0
2012-11-30,0,3175.999
2012-12-31,0,3305.0
2013-01-31,0,3288.0
2013-02-28,0,2487.0
2013-03-31,0,2682.0
2013-04-30,0,2404.0
2013-05-31,0,2651.0
2013-06-30,0,3244.0
2013-07-31,0,4736.999
2013-08-31,0,5088.0
2013-09-30,0,5249.999
2013-10-31,0,4415.0
2013-11-30,0,2258.0
2013-12-31,0,3445.0
2014-01-31,0,3288.0
2014-02-28,0,2585.0
2014-03-31,0,2278.0
2014-04-30,0,2588.999
2014-05-31,0,3503.0
2014-06-30,0,3926.001
2014-07-31,0,5596.0
2014-08-31,0,6466.0
2014-09-30,0,5426.0
2014-10-31,0,3673.0
2014-11-30,0,3525.0
2014-12-31,0,3390.0
2015-01-31,1,3182.0
2015-02-28,0,2766.0
2015-03-31,0,3701.001
2015-04-30,0,2288.0
2015-05-31,0,3027.0
2015-06-30,0,3479.0
2015-07-31,0,5608.999
2015-08-31,1,4713.001
2015-09-30,1,3784.0
2015-10-31,1,3951.0
2015-11-30,1,3498.0
2015-12-31,0,2700.0
