D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,10070.41
2006-02-28,3,12363.849
2006-03-31,3,12204.496
2006-04-30,3,4256.85
2006-05-31,4,1577.334
2006-06-30,4,1432.11
2006-07-31,3,965.765
2006-08-31,2,753.287
2006-09-30,0,1953.134
2006-10-31,0,2882.904
2006-11-30,0,12654.003
2006-12-31,0,9059.779
2007-01-31,0,9780.267
2007-02-28,1,12091.07
2007-03-31,1,12893.234
2007-04-30,2,5021.233
2007-05-31,2,1825.837
2007-06-30,2,1700.465
2007-07-31,2,1292.696
2007-08-31,1,1966.323
2007-09-30,0,1551.692
2007-10-31,0,4229.946
2007-11-30,0,14392.463
2007-12-31,0,5860.315
2008-01-31,0,8679.514
2008-02-29,0,13668.804
2008-03-31,0,14037.629
2008-04-30,1,8627.4
2008-05-31,1,1979.651
2008-06-30,1,2253.36
2008-07-31,0,1534.023
2008-08-31,0,1425.885
2008-09-30,0,6761.106
2008-10-31,0,6743.586
2008-11-30,0,15726.673
2008-12-31,0,8982.414
2009-01-31,0,14507.798
2009-02-28,1,13801.316
2009-03-31,1,14443.075
2009-04-30,1,3711.067
2009-05-31,1,2511.503
2009-06-30,1,2693.41
2009-07-31,0,2039.086
2009-08-31,0,2200.745
2009-09-30,1,1814.675
2009-10-31,0,1686.147
2009-11-30,1,14669.961
2009-12-31,0,8102.102
2010-01-31,0,11877.205
2010-02-28,0,13851.781
2010-03-31,0,15282.017
2010-04-30,0,8467.919
2010-05-31,0,2984.535
2010-06-30,0,4642.689
2010-07-31,0,3728.362
2010-08-31,0,11671.318
2010-09-30,0,15146.423
2010-10-31,0,8116.191
2010-11-30,0,15573.044
2010-12-31,1,10242.222
2011-01-31,1,14371.542
2011-02-28,2,13460.861
2011-03-31,3,14532.956
2011-04-30,3,7738.21
2011-05-31,3,3150.247
2011-06-30,4,4253.398
2011-07-31,3,3449.072
2011-08-31,2,2731.803
2011-09-30,2,4142.046
2011-10-31,3,5333.252
2011-11-30,2,13312.021
2011-12-31,1,7193.016
2012-01-31,1,11775.953
2012-02-29,1,14176.557
2012-03-31,2,14136.486
2012-04-30,2,7643.413
2012-05-31,2,2666.394
2012-06-30,1,3604.201
2012-07-31,1,1964.546
2012-08-31,1,2285.477
2012-09-30,1,1799.222
2012-10-31,0,5229.407
2012-11-30,1,15244.663
2012-12-31,1,8011.901
2013-01-31,1,13246.539
2013-02-28,1,12967.584
2013-03-31,1,12912.154
2013-04-30,1,5940.21
2013-05-31,1,1076.474
2013-06-30,1,1133.572
2013-07-31,1,510.193
2013-08-31,0,1147.158
2013-09-30,0,634.203
2013-10-31,0,2437.751
2013-11-30,0,12651.78
2013-12-31,0,7577.911
2014-01-31,1,11349.316
2014-02-28,1,11846.307
2014-03-31,1,13473.952
2014-04-30,1,5290.462
2014-05-31,1,3019.672
2014-06-30,2,4293.657
2014-07-31,1,3321.789
2014-08-31,1,2684.316
2014-09-30,0,2552.144
2014-10-31,0,5536.374
2014-11-30,0,12307.011
2014-12-31,0,8675.693
2015-01-31,0,14338.76
2015-02-28,0,13106.419
2015-03-31,0,14235.739
2015-04-30,0,3993.829
2015-05-31,0,5409.73
2015-06-30,0,5783.263
2015-07-31,0,6366.16
2015-08-31,0,7591.507
2015-09-30,0,5787.403
2015-10-31,0,5829.182
2015-11-30,0,14537.295
2015-12-31,0,10793.509
