D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,14992.069
2006-02-28,0,11461.089
2006-03-31,0,11147.388
2006-04-30,0,9536.714
2006-05-31,0,10261.694
2006-06-30,0,11031.438
2006-07-31,0,20907.557
2006-08-31,1,22668.192
2006-09-30,0,22945.291
2006-10-31,0,23549.879
2006-11-30,0,22398.366
2006-12-31,0,21104.007
2007-01-31,0,16020.051
2007-02-28,0,13023.95
2007-03-31,0,11805.019
2007-04-30,0,463.068
2007-05-31,0,5752.632
2007-06-30,1,10241.345
2007-07-31,1,12133.521
2007-08-31,0,20597.568
2007-09-30,0,22646.176
2007-10-31,0,23674.851
2007-11-30,0,19116.97
2007-12-31,0,19517.354
2008-01-31,0,11441.676
2008-02-29,0,11167.523
2008-03-31,0,10508.755
2008-04-30,1,9405.789
2008-05-31,1,10173.626
2008-06-30,1,16669.884
2008-07-31,0,22140.806
2008-08-31,1,23283.448
2008-09-30,0,23343.145
2008-10-31,0,23958.013
2008-11-30,0,22192.93
2008-12-31,0,17611.853
2009-01-31,0,15275.002
2009-02-28,0,12892.442
2009-03-31,0,11031.921
2009-04-30,0,9768.789
2009-05-31,0,3712.924
2009-06-30,0,11051.99
2009-07-31,0,19159.571
2009-08-31,1,18008.73
2009-09-30,0,18695.169
2009-10-31,0,22464.004
2009-11-30,0,21362.971
2009-12-31,0,15555.241
2010-01-31,0,14660.912
2010-02-28,0,11447.217
2010-03-31,1,11349.907
2010-04-30,1,10060.336
2010-05-31,1,8558.269
2010-06-30,1,11865.494
2010-07-31,0,22669.3
2010-08-31,0,23919.266
2010-09-30,0,20886.448
2010-10-31,0,22747.287
2010-11-30,0,20879.407
2010-12-31,0,16706.353
2011-01-31,0,13480.966
2011-02-28,0,9132.002
2011-03-31,0,9457.926
2011-04-30,2,7762.346
2011-05-31,2,6480.114
2011-06-30,3,8061.987
2011-07-31,2,19828.573
2011-08-31,1,23860.352
2011-09-30,0,22350.648
2011-10-31,0,23408.696
2011-11-30,0,21941.099
2011-12-31,0,17772.978
2012-01-31,0,15496.333
2012-02-29,0,12212.952
2012-03-31,0,10850.893
2012-04-30,0,9655.634
2012-05-31,0,7690.642
2012-06-30,0,11304.506
2012-07-31,0,19864.981
2012-08-31,0,14175.293
2012-09-30,0,9680.019
2012-10-31,0,23298.685
2012-11-30,0,20696.915
2012-12-31,0,19853.186
2013-01-31,0,14376.95
2013-02-28,0,10378.381
2013-03-31,0,9603.928
2013-04-30,0,9831.605
2013-05-31,0,8266.918
2013-06-30,0,16109.114
2013-07-31,0,22037.668
2013-08-31,0,22100.316
2013-09-30,0,19304.87
2013-10-31,0,22511.68
2013-11-30,0,22074.358
2013-12-31,0,18330.152
2014-01-31,0,14896.707
2014-02-28,0,11682.799
2014-03-31,0,10527.899
2014-04-30,0,9050.887
2014-05-31,0,9310.712
2014-06-30,0,11447.762
2014-07-31,0,19795.154
2014-08-31,0,15920.635
2014-09-30,0,14868.305
2014-10-31,0,9214.25
2014-11-30,0,6738.744
2014-12-31,0,7036.295
2015-01-31,0,6885.804
2015-02-28,0,5773.433
2015-03-31,0,6825.425
2015-04-30,0,61.428
2015-05-31,0,3714.658
2015-06-30,0,6786.183
2015-07-31,0,6843.069
2015-08-31,1,6894.197
2015-09-30,1,6679.903
2015-10-31,0,6814.689
2015-11-30,0,6812.065
2015-12-31,0,6490.454
