D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,7171.373
2006-02-28,1,9548.698
2006-03-31,1,10621.559
2006-04-30,2,10354.855
2006-05-31,2,13506.904
2006-06-30,3,8161.896
2006-07-31,3,6632.506
2006-08-31,3,5650.707
2006-09-30,0,3399.236
2006-10-31,2,4128.385
2006-11-30,1,4115.968
2006-12-31,1,6129.444
2007-01-31,1,6056.854
2007-02-28,1,2986.39
2007-03-31,0,3325.365
2007-04-30,1,9766.188
2007-05-31,0,39413.648
2007-06-30,0,8106.684
2007-07-31,0,19172.763
2007-08-31,0,25505.738
2007-09-30,0,15800.443
2007-10-31,0,6261.3
2007-11-30,0,6763.092
2007-12-31,1,3982.691
2008-01-31,1,5126.692
2008-02-29,1,5371.0
2008-03-31,2,8199.18
2008-04-30,2,42429.811
2008-05-31,1,13993.307
2008-06-30,2,8057.921
2008-07-31,1,6596.551
2008-08-31,0,5975.817
2008-09-30,0,30603.369
2008-10-31,0,33512.047
2008-11-30,0,3909.4
2008-12-31,0,2031.787
2009-01-31,1,1171.61
2009-02-28,1,8564.008
2009-03-31,0,5985.747
2009-04-30,1,22804.189
2009-05-31,1,12494.467
2009-06-30,1,11701.199
2009-07-31,1,10263.932
2009-08-31,2,6057.004
2009-09-30,1,498.187
2009-10-31,0,3670.114
2009-11-30,1,0
2009-12-31,1,0
2010-01-31,0,1898.73
2010-02-28,0,7053.798
2010-03-31,0,12696.963
2010-04-30,0,6349.689
2010-05-31,0,6744.201
2010-06-30,0,13658.316
2010-07-31,0,34845.886
2010-08-31,0,30177.007
2010-09-30,0,10425.967
2010-10-31,0,19320.476
2010-11-30,1,1270.048
2010-12-31,1,0
2011-01-31,1,3287.141
2011-02-28,0,345.936
2011-03-31,3,7557.142
2011-04-30,4,12154.524
2011-05-31,4,12146.286
2011-06-30,4,8814.91
2011-07-31,3,7410.691
2011-08-31,3,7400.509
2011-09-30,4,7423.169
2011-10-31,4,6948.44
2011-11-30,4,7091.194
2011-12-31,4,0
2012-01-31,3,23486.91
2012-02-29,3,24901.723
2012-03-31,2,14449.839
2012-04-30,2,6857.821
2012-05-31,2,20993.976
2012-06-30,2,6796.831
2012-07-31,2,7011.712
2012-08-31,1,16339.664
2012-09-30,1,17413.925
2012-10-31,1,9220.272
2012-11-30,1,6090.139
2012-12-31,1,14024.236
2013-01-31,1,23160.84
2013-02-28,1,16220.635
2013-03-31,2,5138.732
2013-04-30,2,17134.784
2013-05-31,1,3912.027
2013-06-30,0,1465.707
2013-07-31,0,5932.943
2013-08-31,0,5656.495
2013-09-30,0,3705.847
2013-10-31,0,3833.716
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,3817.241
2014-02-28,0,3460.108
2014-03-31,0,3843.087
2014-04-30,0,20044.005
2014-05-31,0,14024.867
2014-06-30,0,5571.961
2014-07-31,0,3676.999
2014-08-31,0,3979.834
2014-09-30,0,3846.755
2014-10-31,0,3944.021
2014-11-30,0,3835.57
2014-12-31,0,3972.53
2015-01-31,0,3981.35
2015-02-28,0,4233.646
2015-03-31,0,3689.782
2015-04-30,0,4081.799
2015-05-31,0,4565.385
2015-06-30,0,3840.482
2015-07-31,0,3591.063
2015-08-31,0,4282.544
2015-09-30,0,4164.958
2015-10-31,0,4518.514
2015-11-30,0,3496.969
2015-12-31,0,3845.074
