D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,230.01
2006-02-28,2,150.53
2006-03-31,2,465.62
2006-04-30,2,380.43
2006-05-31,1,749.73
2006-06-30,1,804.75
2006-07-31,1,804.15
2006-08-31,0,2394.74
2006-09-30,0,3109.14
2006-10-31,0,511.45
2006-11-30,0,990.43
2006-12-31,0,0
2007-01-31,0,167.26
2007-02-28,0,526.93
2007-03-31,0,155.39
2007-04-30,0,414.09
2007-05-31,0,352.36
2007-06-30,1,648.94
2007-07-31,0,524.59
2007-08-31,0,3162.58
2007-09-30,0,7930.42
2007-10-31,0,2958.28
2007-11-30,0,3272.23
2007-12-31,0,0
2008-01-31,0,738.062
2008-02-29,0,1068.23
2008-03-31,1,74.21
2008-04-30,1,42.68
2008-05-31,1,0
2008-06-30,1,0
2008-07-31,1,0
2008-08-31,1,0
2008-09-30,1,0
2008-10-31,1,0
2008-11-30,2,0
2008-12-31,2,0
2009-01-31,2,412.68
2009-02-28,2,869.67
2009-03-31,2,604.33
2009-04-30,2,172.48
2009-05-31,2,1572.161
2009-06-30,2,52.15
2009-07-31,2,0
2009-08-31,2,0
2009-09-30,1,0
2009-10-31,1,0
2009-11-30,1,0
2009-12-31,1,0
2010-01-31,1,344.24
2010-02-28,0,184.7
2010-03-31,0,77.25
2010-04-30,0,1565.16
2010-05-31,0,2284.21
2010-06-30,0,5998.11
2010-07-31,0,1319.81
2010-08-31,0,0
2010-09-30,0,0
2010-10-31,0,0
2010-11-30,0,0
2010-12-31,0,0
2011-01-31,0,47.22
2011-02-28,0,422.38
2011-03-31,1,0
2011-04-30,2,0
2011-05-31,2,0
2011-06-30,3,0
2011-07-31,2,0
2011-08-31,2,0
2011-09-30,0,0
2011-10-31,0,0
2011-11-30,0,0
2011-12-31,0,0
2012-01-31,0,281.13
2012-02-29,0,35.85
2012-03-31,0,0
2012-04-30,0,0
2012-05-31,0,0
2012-06-30,0,0
2012-07-31,0,0
2012-08-31,0,0
2012-09-30,0,0
2012-10-31,0,0
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,390.741
2013-02-28,0,434.341
2013-03-31,0,0
2013-04-30,1,0
2013-05-31,0,0
2013-06-30,0,0
2013-07-31,0,0
2013-08-31,0,0
2013-09-30,0,0
2013-10-31,0,0
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,420.811
2014-02-28,0,138.958
2014-03-31,0,112.981
2014-04-30,0,12473.293
2014-05-31,0,7481.854
2014-06-30,0,1388.829
2014-07-31,0,0
2014-08-31,0,0
2014-09-30,0,0
2014-10-31,0,0
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,9488.038
2015-02-28,0,10890.512
2015-03-31,0,3098.786
2015-04-30,0,9124.514
2015-05-31,0,10028.063
2015-06-30,0,3668.81
2015-07-31,0,110.353
2015-08-31,0,0
2015-09-30,0,0
2015-10-31,0,0
2015-11-30,0,0
2015-12-31,0,0
