D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,2310.999
2006-02-28,1,2012.0
2006-03-31,1,2215.0
2006-04-30,1,2084.0
2006-05-31,0,2222.0
2006-06-30,0,2483.999
2006-07-31,0,2908.999
2006-08-31,0,3526.0
2006-09-30,0,4550.0
2006-10-31,0,4751.0
2006-11-30,0,3559.001
2006-12-31,0,3037.0
2007-01-31,0,2804.0
2007-02-28,0,2377.002
2007-03-31,1,2477.0
2007-04-30,0,2355.0
2007-05-31,0,2455.001
2007-06-30,0,2498.0
2007-07-31,0,2797.002
2007-08-31,0,3722.0
2007-09-30,0,4658.0
2007-10-31,0,3560.0
2007-11-30,0,2872.001
2007-12-31,0,2773.0
2008-01-31,0,2602.999
2008-02-29,1,2387.001
2008-03-31,1,2428.999
2008-04-30,1,2217.0
2008-05-31,1,2413.0
2008-06-30,1,1347.0
2008-07-31,0,3186.001
2008-08-31,0,2982.0
2008-09-30,0,4624.999
2008-10-31,0,4454.0
2008-11-30,0,3135.0
2008-12-31,0,2907.0
2009-01-31,0,2712.001
2009-02-28,0,2342.999
2009-03-31,0,2487.0
2009-04-30,0,2440.002
2009-05-31,0,2539.999
2009-06-30,0,2584.001
2009-07-31,0,2720.999
2009-08-31,1,2741.999
2009-09-30,0,2914.0
2009-10-31,0,2750.001
2009-11-30,0,2498.0
2009-12-31,0,2320.0
2010-01-31,0,2382.001
2010-02-28,0,2702.0
2010-03-31,0,2380.0
2010-04-30,0,2196.0
2010-05-31,0,2238.999
2010-06-30,0,2301.001
2010-07-31,0,3512.999
2010-08-31,0,4740.001
2010-09-30,0,4963.999
2010-10-31,0,4046.999
2010-11-30,0,3114.999
2010-12-31,0,2850.999
2011-01-31,0,2685.0
2011-02-28,0,2326.001
2011-03-31,1,2478.001
2011-04-30,1,2340.0
2011-05-31,1,2410.0
2011-06-30,0,495.001
2011-07-31,0,2797.0
2011-08-31,0,4024.001
2011-09-30,0,3237.001
2011-10-31,0,2727.0
2011-11-30,0,2738.999
2011-12-31,0,0
2012-01-31,0,2542.0
2012-02-29,0,2394.0
2012-03-31,0,2475.0
2012-04-30,0,2414.001
2012-05-31,0,1743.999
2012-06-30,0,2144.001
2012-07-31,0,2921.0
2012-08-31,0,3441.0
2012-09-30,0,3115.001
2012-10-31,0,2931.201
2012-11-30,0,2390.8
2012-12-31,0,2370.999
2013-01-31,0,2267.001
2013-02-28,0,2039.0
2013-03-31,0,2284.0
2013-04-30,0,2236.0
2013-05-31,0,2293.0
2013-06-30,0,2481.001
2013-07-31,0,2911.0
2013-08-31,0,3151.0
2013-09-30,0,1585.0
2013-10-31,0,0
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,2844.0
2014-02-28,0,2541.56
2014-03-31,0,0
2014-04-30,0,0
2014-05-31,0,0
2014-06-30,0,0
2014-07-31,0,0
2014-08-31,0,0
2014-09-30,0,0
2014-10-31,0,0
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,2905.012
2015-02-28,0,2588.402
2015-03-31,0,2652.081
2015-04-30,0,2634.642
2015-05-31,0,2253.219
2015-06-30,0,2832.799
2015-07-31,1,2974.803
2015-08-31,1,2839.76
2015-09-30,1,3027.82
2015-10-31,1,3031.448
2015-11-30,0,2651.275
2015-12-31,0,2632.12
