D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,68591.371
2006-02-28,1,83746.664
2006-03-31,1,63001.249
2006-04-30,1,59239.045
2006-05-31,0,96900.305
2006-06-30,1,105662.96
2006-07-31,1,92827.871
2006-08-31,0,166516.904
2006-09-30,0,192703.884
2006-10-31,0,142050.334
2006-11-30,1,64218.196
2006-12-31,0,76253.178
2007-01-31,1,108887.099
2007-02-28,0,89603.348
2007-03-31,0,119469.418
2007-04-30,0,117441.253
2007-05-31,0,114466.179
2007-06-30,0,85443.273
2007-07-31,0,176637.079
2007-08-31,0,203578.274
2007-09-30,0,199244.63
2007-10-31,0,205763.994
2007-11-30,0,194296.545
2007-12-31,0,177111.645
2008-01-31,0,104964.131
2008-02-29,0,96409.314
2008-03-31,0,105611.303
2008-04-30,0,57043.868
2008-05-31,0,89305.716
2008-06-30,0,119801.625
2008-07-31,0,178320.15
2008-08-31,0,200200.162
2008-09-30,0,198727.342
2008-10-31,0,205389.58
2008-11-30,0,173259.713
2008-12-31,0,167978.752
2009-01-31,0,45501.15
2009-02-28,0,30152.544
2009-03-31,0,119165.137
2009-04-30,0,86680.687
2009-05-31,0,128320.721
2009-06-30,0,133042.083
2009-07-31,0,135611.301
2009-08-31,2,118131.105
2009-09-30,0,57890.841
2009-10-31,0,96590.708
2009-11-30,0,92567.87
2009-12-31,0,107166.463
2010-01-31,0,116836.668
2010-02-28,0,81417.994
2010-03-31,0,113522.614
2010-04-30,0,153989.3
2010-05-31,0,146847.857
2010-06-30,0,151410.919
2010-07-31,0,137760.579
2010-08-31,0,186059.907
2010-09-30,0,140559.885
2010-10-31,0,27495.2
2010-11-30,0,12993.403
2010-12-31,0,12897.069
2011-01-31,0,63494.528
2011-02-28,0,53919.098
2011-03-31,0,110364.715
2011-04-30,2,97462.86
2011-05-31,3,120139.957
2011-06-30,3,123655.029
2011-07-31,2,122827.939
2011-08-31,2,177363.406
2011-09-30,0,141630.861
2011-10-31,1,121698.68
2011-11-30,1,115687.836
2011-12-31,1,108246.243
2012-01-31,0,66153.259
2012-02-29,0,12006.837
2012-03-31,0,82796.674
2012-04-30,0,126216.796
2012-05-31,0,148260.507
2012-06-30,0,157781.544
2012-07-31,0,107298.952
2012-08-31,0,164184.465
2012-09-30,0,147600.035
2012-10-31,0,147016.876
2012-11-30,0,76084.285
2012-12-31,0,106499.803
2013-01-31,0,50576.287
2013-02-28,0,20181.601
2013-03-31,0,68331.647
2013-04-30,1,102816.267
2013-05-31,1,66978.948
2013-06-30,0,101837.204
2013-07-31,0,79405.725
2013-08-31,0,102813.138
2013-09-30,0,74159.037
2013-10-31,0,182838.156
2013-11-30,0,173412.433
2013-12-31,0,146258.602
2014-01-31,0,86297.542
2014-02-28,0,101282.278
2014-03-31,0,107078.731
2014-04-30,0,133123.287
2014-05-31,0,123030.481
2014-06-30,0,147369.808
2014-07-31,0,205113.506
2014-08-31,0,206189.79
2014-09-30,0,196324.433
2014-10-31,0,204013.166
2014-11-30,0,170882.873
2014-12-31,0,137223.525
2015-01-31,0,86038.107
2015-02-28,0,92403.474
2015-03-31,0,111975.067
2015-04-30,0,196426.538
2015-05-31,0,199969.54
2015-06-30,0,198284.673
2015-07-31,0,202767.61
2015-08-31,0,201928.236
2015-09-30,0,199469.285
2015-10-31,0,203351.136
2015-11-30,0,191397.743
2015-12-31,0,130131.925
