D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,16088.0
2006-02-28,2,12178.9
2006-03-31,3,15799.3
2006-04-30,3,14422.7
2006-05-31,2,15313.0
2006-06-30,2,21267.1
2006-07-31,1,24099.8
2006-08-31,0,31243.6
2006-09-30,0,24252.2
2006-10-31,0,22066.1
2006-11-30,0,17202.0
2006-12-31,0,17183.3
2007-01-31,0,16201.0
2007-02-28,0,14227.4
2007-03-31,1,15039.2
2007-04-30,2,14661.3
2007-05-31,2,15101.8
2007-06-30,2,21238.8
2007-07-31,1,25661.0
2007-08-31,0,26133.9
2007-09-30,0,24235.2
2007-10-31,1,19675.6
2007-11-30,1,14678.8
2007-12-31,1,16984.7
2008-01-31,2,15852.2
2008-02-29,2,14811.3
2008-03-31,2,15025.3
2008-04-30,2,14305.4
2008-05-31,2,15460.6
2008-06-30,2,27830.958
2008-07-31,1,30048.8
2008-08-31,1,28307.7
2008-09-30,0,28316.0
2008-10-31,0,20392.0
2008-11-30,0,15116.9
2008-12-31,0,16812.0
2009-01-31,0,16369.5
2009-02-28,0,14702.1
2009-03-31,1,15844.945
2009-04-30,1,14168.0
2009-05-31,1,16450.2
2009-06-30,1,20304.9
2009-07-31,1,24031.1
2009-08-31,2,2709.3
2009-09-30,2,23147.866
2009-10-31,2,17836.0
2009-11-30,2,14786.7
2009-12-31,2,16190.2
2010-01-31,2,17288.4
2010-02-28,0,20232.2
2010-03-31,0,15063.6
2010-04-30,0,14771.5
2010-05-31,0,15136.5
2010-06-30,0,23435.9
2010-07-31,0,32903.0
2010-08-31,0,24979.1
2010-09-30,0,25619.5
2010-10-31,0,16639.4
2010-11-30,0,16974.0
2010-12-31,0,17251.5
2011-01-31,0,17266.3
2011-02-28,0,15833.5
2011-03-31,1,15937.0
2011-04-30,2,14370.2
2011-05-31,2,15107.0
2011-06-30,3,19771.9
2011-07-31,2,27576.2
2011-08-31,2,24811.954
2011-09-30,1,19018.094
2011-10-31,2,20519.401
2011-11-30,2,15716.47
2011-12-31,2,16018.253
2012-01-31,2,9234.764
2012-02-29,0,17834.892
2012-03-31,0,15471.267
2012-04-30,0,14629.794
2012-05-31,0,14567.146
2012-06-30,0,20459.197
2012-07-31,0,27100.033
2012-08-31,0,27308.583
2012-09-30,0,20050.223
2012-10-31,0,17416.772
2012-11-30,0,14557.152
2012-12-31,0,15027.882
2013-01-31,0,17728.253
2013-02-28,0,13705.599
2013-03-31,0,14550.587
2013-04-30,0,13139.997
2013-05-31,0,15991.609
2013-06-30,0,19142.823
2013-07-31,0,25861.904
2013-08-31,0,24061.994
2013-09-30,0,28466.562
2013-10-31,0,19918.311
2013-11-30,0,15669.143
2013-12-31,0,18807.545
2014-01-31,0,16639.391
2014-02-28,0,13759.992
2014-03-31,0,15967.081
2014-04-30,0,13456.733
2014-05-31,0,16448.393
2014-06-30,0,22862.95
2014-07-31,0,24710.485
2014-08-31,0,23157.537
2014-09-30,0,24070.205
2014-10-31,0,20482.381
2014-11-30,0,16198.578
2014-12-31,0,16423.341
2015-01-31,0,16015.269
2015-02-28,0,15681.208
2015-03-31,0,17896.248
2015-04-30,0,14788.512
2015-05-31,0,16442.643
2015-06-30,0,23794.498
2015-07-31,0,28316.525
2015-08-31,0,24913.067
2015-09-30,0,25786.996
2015-10-31,0,20826.7
2015-11-30,0,15914.702
2015-12-31,0,17664.5
