D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,17429.301
2006-02-28,2,14652.945
2006-03-31,3,15965.992
2006-04-30,3,15066.303
2006-05-31,1,15242.841
2006-06-30,2,18488.038
2006-07-31,0,19953.897
2006-08-31,0,19957.618
2006-09-30,0,12169.837
2006-10-31,0,28075.384
2006-11-30,0,24216.948
2006-12-31,0,19962.397
2007-01-31,0,19754.557
2007-02-28,0,17230.018
2007-03-31,0,19114.484
2007-04-30,1,13621.779
2007-05-31,1,16693.299
2007-06-30,1,20114.978
2007-07-31,2,24130.842
2007-08-31,0,24235.381
2007-09-30,0,9042.701
2007-10-31,1,24522.395
2007-11-30,1,19706.403
2007-12-31,1,19656.065
2008-01-31,1,18427.488
2008-02-29,2,16083.574
2008-03-31,2,17890.012
2008-04-30,2,16996.98
2008-05-31,3,16221.121
2008-06-30,3,19286.39
2008-07-31,2,27806.966
2008-08-31,2,25608.999
2008-09-30,1,26407.3
2008-10-31,1,22556.161
2008-11-30,1,17426.616
2008-12-31,1,18014.653
2009-01-31,1,19253.704
2009-02-28,1,10785.291
2009-03-31,1,19392.718
2009-04-30,1,18332.889
2009-05-31,1,18525.887
2009-06-30,1,16701.888
2009-07-31,2,20232.748
2009-08-31,3,24454.761
2009-09-30,2,26475.748
2009-10-31,2,25366.698
2009-11-30,2,19191.95
2009-12-31,2,19043.177
2010-01-31,2,20246.933
2010-02-28,0,21626.274
2010-03-31,0,19455.456
2010-04-30,0,18292.74
2010-05-31,0,18007.978
2010-06-30,0,16056.525
2010-07-31,0,18910.862
2010-08-31,0,19187.375
2010-09-30,0,18506.649
2010-10-31,0,24982.244
2010-11-30,0,25593.661
2010-12-31,0,22943.925
2011-01-31,0,21040.533
2011-02-28,0,15925.221
2011-03-31,1,17257.332
2011-04-30,2,18845.396
2011-05-31,1,18086.84
2011-06-30,3,16420.414
2011-07-31,2,19671.24
2011-08-31,2,15170.287
2011-09-30,1,17206.745
2011-10-31,1,17500.94
2011-11-30,1,0
2011-12-31,1,0
2012-01-31,1,2353.25
2012-02-29,0,18662.358
2012-03-31,0,16449.737
2012-04-30,0,17825.014
2012-05-31,0,17646.09
2012-06-30,0,21310.543
2012-07-31,0,11954.378
2012-08-31,0,21139.339
2012-09-30,0,22358.218
2012-10-31,0,21004.921
2012-11-30,0,19933.876
2012-12-31,0,0
2013-01-31,0,19375.335
2013-02-28,0,15979.154
2013-03-31,0,17150.495
2013-04-30,0,15446.375
2013-05-31,0,15893.67
2013-06-30,0,10081.811
2013-07-31,0,26911.635
2013-08-31,0,24754.975
2013-09-30,0,28844.494
2013-10-31,0,31276.198
2013-11-30,0,27208.486
2013-12-31,0,24785.532
2014-01-31,0,23084.905
2014-02-28,0,19572.371
2014-03-31,0,20919.985
2014-04-30,0,19541.3
2014-05-31,0,21187.931
2014-06-30,0,23750.933
2014-07-31,0,28015.998
2014-08-31,0,27518.749
2014-09-30,0,28134.843
2014-10-31,0,30293.401
2014-11-30,0,12656.386
2014-12-31,0,22541.732
2015-01-31,1,22114.168
2015-02-28,0,20171.25
2015-03-31,0,24764.708
2015-04-30,0,20933.997
2015-05-31,0,21168.327
2015-06-30,0,21613.67
2015-07-31,0,19633.138
2015-08-31,1,22486.508
2015-09-30,1,24154.07
2015-10-31,1,23305.6
2015-11-30,1,17987.835
2015-12-31,0,24203.62
