D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,0
2006-02-28,2,0
2006-03-31,3,0
2006-04-30,3,0
2006-05-31,3,0
2006-06-30,3,0
2006-07-31,2,0
2006-08-31,1,0
2006-09-30,1,0
2006-10-31,0,0
2006-11-30,0,0
2006-12-31,1,0
2007-01-31,1,32003.181
2007-02-28,1,32883.451
2007-03-31,1,18116.329
2007-04-30,3,558.16
2007-05-31,2,191440.53
2007-06-30,2,352028.9
2007-07-31,2,112712.2
2007-08-31,0,55924.6
2007-09-30,1,42713.2
2007-10-31,1,13469.1
2007-11-30,2,0
2007-12-31,2,0
2008-01-31,3,74822.6
2008-02-29,3,110019.1
2008-03-31,3,96017.4
2008-04-30,3,52637.2
2008-05-31,4,61494.0
2008-06-30,4,38945.1
2008-07-31,3,290894.2
2008-08-31,2,397958.8
2008-09-30,0,520281.5
2008-10-31,0,118267.8
2008-11-30,0,44563.0
2008-12-31,0,21948.0
2009-01-31,0,35929.0
2009-02-28,0,85621.0
2009-03-31,1,83769.0
2009-04-30,1,85973.0
2009-05-31,0,87623.0
2009-06-30,0,37856.0
2009-07-31,1,129287.0
2009-08-31,1,19710.86
2009-09-30,1,1688.65
2009-10-31,1,1346.0
2009-11-30,1,0
2009-12-31,0,0
2010-01-31,0,6773.18
2010-02-28,0,183455.83
2010-03-31,0,105109.5
2010-04-30,0,53587.498
2010-05-31,0,173310.67
2010-06-30,0,96052.892
2010-07-31,0,152852.382
2010-08-31,0,278350.273
2010-09-30,0,110824.008
2010-10-31,0,59471.449
2010-11-30,0,9843.385
2010-12-31,0,641.3
2011-01-31,0,56620.6
2011-02-28,0,74904.8
2011-03-31,1,38794.9
2011-04-30,3,21168.2
2011-05-31,3,91886.1
2011-06-30,3,155829.1
2011-07-31,2,64823.8
2011-08-31,1,61029.0
2011-09-30,0,27435.0
2011-10-31,1,8048.0
2011-11-30,1,2330.0
2011-12-31,1,428.0
2012-01-31,1,170.0
2012-02-29,1,116.0
2012-03-31,1,3644.0
2012-04-30,1,34789.0
2012-05-31,1,105264.0
2012-06-30,0,124778.0
2012-07-31,0,5593.0
2012-08-31,0,48261.0
2012-09-30,0,7709.0
2012-10-31,0,2390.0
2012-11-30,0,19.0
2012-12-31,0,2389.0
2013-01-31,0,675.698
2013-02-28,1,31590.1
2013-03-31,0,83365.452
2013-04-30,0,117322.128
2013-05-31,1,25757.2
2013-06-30,0,55287.1
2013-07-31,1,2464.9
2013-08-31,1,3051.9
2013-09-30,0,3706.8
2013-10-31,1,1878.5
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,74706.0
2014-02-28,0,14971.7
2014-03-31,0,9942.4
2014-04-30,0,115098.1
2014-05-31,0,144266.4
2014-06-30,0,237966.4
2014-07-31,0,275916.6
2014-08-31,0,81219.3
2014-09-30,0,41624.4
2014-10-31,0,27389.9
2014-11-30,0,0
2014-12-31,0,0
2015-01-31,0,58999.0
2015-02-28,0,141987.3
2015-03-31,0,188502.7
2015-04-30,0,140750.2
2015-05-31,0,109463.3
2015-06-30,0,168793.1
2015-07-31,0,278478.386
2015-08-31,1,183077.789
2015-09-30,0,25970.036
2015-10-31,0,2509.88
2015-11-30,0,0
2015-12-31,0,0
