D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,624.066
2006-02-28,2,377.481
2006-03-31,3,225.847
2006-04-30,3,159.159
2006-05-31,3,43.763
2006-06-30,3,325.747
2006-07-31,2,1089.629
2006-08-31,1,1097.272
2006-09-30,1,1063.38
2006-10-31,0,1321.577
2006-11-30,0,1143.049
2006-12-31,1,664.754
2007-01-31,1,769.222
2007-02-28,1,511.702
2007-03-31,1,306.905
2007-04-30,3,85.085
2007-05-31,2,5.874
2007-06-30,2,764.583
2007-07-31,2,1098.016
2007-08-31,0,1119.532
2007-09-30,1,1235.692
2007-10-31,1,1138.458
2007-11-30,2,1237.785
2007-12-31,2,0
2008-01-31,3,372.82
2008-02-29,3,413.002
2008-03-31,3,289.893
2008-04-30,3,225.752
2008-05-31,4,248.566
2008-06-30,4,394.479
2008-07-31,3,1032.468
2008-08-31,2,1174.89
2008-09-30,0,1201.105
2008-10-31,0,1164.303
2008-11-30,0,717.303
2008-12-31,0,921.438
2009-01-31,0,864.765
2009-02-28,0,557.874
2009-03-31,1,560.317
2009-04-30,1,216.905
2009-05-31,0,73.962
2009-06-30,0,879.538
2009-07-31,1,1170.917
2009-08-31,1,1080.917
2009-09-30,1,1221.815
2009-10-31,1,1113.901
2009-11-30,1,1219.765
2009-12-31,0,0
2010-01-31,0,1118.707
2010-02-28,0,1034.225
2010-03-31,0,681.333
2010-04-30,0,421.735
2010-05-31,0,251.345
2010-06-30,0,499.738
2010-07-31,0,959.166
2010-08-31,0,1042.792
2010-09-30,0,899.368
2010-10-31,0,1155.521
2010-11-30,0,1138.357
2010-12-31,0,1109.933
2011-01-31,0,965.905
2011-02-28,0,736.655
2011-03-31,1,498.323
2011-04-30,3,180.249
2011-05-31,3,128.649
2011-06-30,3,863.627
2011-07-31,2,1123.964
2011-08-31,1,1165.535
2011-09-30,0,1258.151
2011-10-31,1,866.703
2011-11-30,1,715.215
2011-12-31,1,0
2012-01-31,1,652.07
2012-02-29,1,734.145
2012-03-31,1,435.924
2012-04-30,1,183.667
2012-05-31,1,449.944
2012-06-30,0,1145.251
2012-07-31,0,1054.319
2012-08-31,0,1270.877
2012-09-30,0,813.693
2012-10-31,0,328.344
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,363.955
2013-02-28,1,228.012
2013-03-31,0,225.279
2013-04-30,0,145.728
2013-05-31,1,44.897
2013-06-30,0,144.624
2013-07-31,1,1117.522
2013-08-31,1,1251.271
2013-09-30,0,1094.825
2013-10-31,1,1341.944
2013-11-30,0,1274.826
2013-12-31,0,1311.778
2014-01-31,0,1284.447
2014-02-28,0,603.2
2014-03-31,0,587.279
2014-04-30,0,258.811
2014-05-31,0,642.19
2014-06-30,0,1329.173
2014-07-31,0,1270.368
2014-08-31,0,753.29
2014-09-30,0,929.852
2014-10-31,0,1328.588
2014-11-30,0,1319.404
2014-12-31,0,0
2015-01-31,0,1034.259
2015-02-28,0,1162.482
2015-03-31,0,1171.675
2015-04-30,0,845.53
2015-05-31,0,44.497
2015-06-30,0,849.472
2015-07-31,0,1284.842
2015-08-31,1,1350.857
2015-09-30,0,1287.799
2015-10-31,0,1198.676
2015-11-30,0,1227.435
2015-12-31,0,1353.856
