D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,51319.526
2006-02-28,2,50142.268
2006-03-31,3,52705.212
2006-04-30,3,55948.073
2006-05-31,3,56945.646
2006-06-30,3,65096.597
2006-07-31,2,63073.268
2006-08-31,1,62760.251
2006-09-30,1,54186.272
2006-10-31,0,54743.381
2006-11-30,0,52349.086
2006-12-31,1,55125.913
2007-01-31,1,64655.266
2007-02-28,1,49215.714
2007-03-31,1,59217.171
2007-04-30,3,62210.893
2007-05-31,2,72154.305
2007-06-30,2,112910.831
2007-07-31,2,248359.538
2007-08-31,0,492398.563
2007-09-30,1,117343.22
2007-10-31,1,66277.543
2007-11-30,2,97420.685
2007-12-31,2,178260.559
2008-01-31,3,92145.962
2008-02-29,3,74574.141
2008-03-31,3,105777.092
2008-04-30,3,92404.07
2008-05-31,4,166867.274
2008-06-30,4,135307.083
2008-07-31,3,268825.015
2008-08-31,2,468972.05
2008-09-30,0,684602.517
2008-10-31,0,238411.103
2008-11-30,0,73952.677
2008-12-31,0,103360.035
2009-01-31,0,102614.15
2009-02-28,0,173178.0
2009-03-31,1,193528.0
2009-04-30,1,176610.0
2009-05-31,0,170626.999
2009-06-30,0,124502.0
2009-07-31,1,87723.0
2009-08-31,1,93312.999
2009-09-30,1,55874.0
2009-10-31,1,65446.0
2009-11-30,1,54219.001
2009-12-31,0,54847.999
2010-01-31,0,56648.0
2010-02-28,0,49846.998
2010-03-31,0,128652.001
2010-04-30,0,130878.999
2010-05-31,0,290159.001
2010-06-30,0,193527.0
2010-07-31,0,340146.001
2010-08-31,0,480549.0
2010-09-30,0,172644.0
2010-10-31,0,148978.0
2010-11-30,0,63732.0
2010-12-31,0,54788.999
2011-01-31,0,68534.001
2011-02-28,0,114111.0
2011-03-31,1,64340.0
2011-04-30,3,63354.001
2011-05-31,3,141517.0
2011-06-30,3,221884.999
2011-07-31,2,127560.999
2011-08-31,1,109514.0
2011-09-30,0,77621.0
2011-10-31,1,64099.001
2011-11-30,1,56971.999
2011-12-31,1,56868.0
2012-01-31,1,46930.999
2012-02-29,1,37815.998
2012-03-31,1,42559.999
2012-04-30,1,51273.001
2012-05-31,1,63031.999
2012-06-30,0,80406.999
2012-07-31,0,51499.998
2012-08-31,0,87692.0
2012-09-30,0,76293.0
2012-10-31,0,87263.001
2012-11-30,0,50886.0
2012-12-31,0,59485.001
2013-01-31,0,42273.999
2013-02-28,1,37874.001
2013-03-31,0,42372.999
2013-04-30,0,54209.998
2013-05-31,1,45120.0
2013-06-30,0,58195.999
2013-07-31,1,47743.0
2013-08-31,1,52953.0
2013-09-30,0,41879.0
2013-10-31,1,49265.152
2013-11-30,0,43988.089
2013-12-31,0,44724.966
2014-01-31,0,79516.801
2014-02-28,0,138749.218
2014-03-31,0,137480.679
2014-04-30,0,145831.249
2014-05-31,0,154082.145
2014-06-30,0,165796.252
2014-07-31,0,246799.732
2014-08-31,0,174257.664
2014-09-30,0,97557.934
2014-10-31,0,54392.832
2014-11-30,0,51250.706
2014-12-31,0,52322.473
2015-01-31,0,52842.188
2015-02-28,0,93111.364
2015-03-31,0,194575.49
2015-04-30,0,173013.025
2015-05-31,0,257658.012
2015-06-30,0,330805.153
2015-07-31,0,380883.874
2015-08-31,1,224460.619
2015-09-30,0,93657.808
2015-10-31,0,74128.394
2015-11-30,0,50693.432
2015-12-31,0,53673.599
