D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,22521.59
2006-02-28,1,17112.113
2006-03-31,1,33859.202
2006-04-30,1,24307.477
2006-05-31,0,26638.476
2006-06-30,0,6312.095
2006-07-31,0,71896.596
2006-08-31,1,75761.823
2006-09-30,0,51656.659
2006-10-31,0,72075.664
2006-11-30,0,0
2006-12-31,0,0
2007-01-31,0,29568.91
2007-02-28,0,27043.246
2007-03-31,0,22438.246
2007-04-30,1,19060.488
2007-05-31,0,5684.951
2007-06-30,0,31575.054
2007-07-31,1,68330.815
2007-08-31,0,96047.159
2007-09-30,0,106723.953
2007-10-31,0,35985.5
2007-11-30,0,55456.885
2007-12-31,0,0
2008-01-31,0,57526.572
2008-02-29,0,25367.427
2008-03-31,0,28699.519
2008-04-30,0,32735.55
2008-05-31,1,28462.902
2008-06-30,1,50235.81
2008-07-31,0,72279.663
2008-08-31,0,57237.082
2008-09-30,0,109028.545
2008-10-31,0,106847.831
2008-11-30,0,57072.63
2008-12-31,0,28471.952
2009-01-31,0,28928.315
2009-02-28,0,35783.678
2009-03-31,0,36105.071
2009-04-30,1,22976.988
2009-05-31,1,26345.07
2009-06-30,1,27461.309
2009-07-31,1,44603.366
2009-08-31,1,38588.088
2009-09-30,0,100305.59
2009-10-31,0,95877.738
2009-11-30,0,41213.326
2009-12-31,0,45522.514
2010-01-31,0,39996.816
2010-02-28,0,31400.119
2010-03-31,0,25954.036
2010-04-30,0,10870.501
2010-05-31,0,17095.137
2010-06-30,0,103046.858
2010-07-31,0,96724.679
2010-08-31,0,143642.949
2010-09-30,0,90015.322
2010-10-31,0,81883.241
2010-11-30,0,34135.802
2010-12-31,0,0
2011-01-31,0,37552.864
2011-02-28,0,25057.367
2011-03-31,0,35773.933
2011-04-30,2,30984.839
2011-05-31,2,29364.239
2011-06-30,2,35147.088
2011-07-31,2,119564.842
2011-08-31,1,94700.058
2011-09-30,0,96416.523
2011-10-31,0,70159.142
2011-11-30,0,50628.924
2011-12-31,0,46663.992
2012-01-31,0,53935.245
2012-02-29,0,37997.598
2012-03-31,0,32151.384
2012-04-30,0,29164.525
2012-05-31,0,23476.69
2012-06-30,0,49027.098
2012-07-31,0,80126.691
2012-08-31,0,114648.867
2012-09-30,0,62882.618
2012-10-31,0,32443.797
2012-11-30,0,20681.668
2012-12-31,0,25147.338
2013-01-31,0,30950.911
2013-02-28,0,22241.208
2013-03-31,0,23857.217
2013-04-30,0,19598.026
2013-05-31,0,32473.055
2013-06-30,0,49875.263
2013-07-31,0,49266.097
2013-08-31,0,58864.838
2013-09-30,0,150834.802
2013-10-31,0,116524.317
2013-11-30,0,102872.171
2013-12-31,0,42260.753
2014-01-31,0,40025.071
2014-02-28,0,33541.566
2014-03-31,0,38265.833
2014-04-30,0,32796.621
2014-05-31,0,28197.262
2014-06-30,0,43328.292
2014-07-31,0,85917.152
2014-08-31,0,55924.595
2014-09-30,0,74144.023
2014-10-31,0,125524.11
2014-11-30,0,61977.945
2014-12-31,0,45191.361
2015-01-31,0,46804.082
2015-02-28,0,29385.041
2015-03-31,0,32901.423
2015-04-30,0,11138.6
2015-05-31,0,6112.896
2015-06-30,0,37440.58
2015-07-31,0,62014.371
2015-08-31,0,23381.742
2015-09-30,0,0
2015-10-31,0,0
2015-11-30,0,0
2015-12-31,0,0
