D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,3398.2
2006-02-28,0,3847.83
2006-03-31,1,3854.31
2006-04-30,1,3481.07
2006-05-31,0,3285.66
2006-06-30,1,3188.38
2006-07-31,1,6099.44
2006-08-31,0,10113.26
2006-09-30,0,11605.17
2006-10-31,0,11007.18
2006-11-30,0,10394.37
2006-12-31,0,7845.82
2007-01-31,0,4123.54
2007-02-28,0,2629.01
2007-03-31,0,4396.69
2007-04-30,0,3339.69
2007-05-31,0,3740.48
2007-06-30,0,6619.65
2007-07-31,0,13244.25
2007-08-31,0,13165.44
2007-09-30,0,13052.77
2007-10-31,0,13161.04
2007-11-30,0,11371.72
2007-12-31,0,8627.506
2008-01-31,0,5690.78
2008-02-29,0,4305.26
2008-03-31,0,4534.61
2008-04-30,0,4024.84
2008-05-31,0,3684.42
2008-06-30,0,9846.28
2008-07-31,0,12237.29
2008-08-31,0,12294.1
2008-09-30,0,12511.862
2008-10-31,0,13287.74
2008-11-30,0,11347.746
2008-12-31,0,9390.636
2009-01-31,0,7488.727
2009-02-28,0,5613.972
2009-03-31,0,5389.14
2009-04-30,0,3906.42
2009-05-31,0,4251.22
2009-06-30,0,5042.93
2009-07-31,0,7085.26
2009-08-31,0,5547.79
2009-09-30,0,12588.9
2009-10-31,0,10602.53
2009-11-30,0,6580.19
2009-12-31,0,5702.22
2010-01-31,0,5112.2
2010-02-28,0,4327.98
2010-03-31,0,4187.72
2010-04-30,0,4081.03
2010-05-31,0,2677.59
2010-06-30,0,3925.14
2010-07-31,0,13064.37
2010-08-31,0,13610.03
2010-09-30,0,13174.26
2010-10-31,0,13644.17
2010-11-30,0,12026.62
2010-12-31,0,9567.04
2011-01-31,0,7659.64
2011-02-28,0,6080.64
2011-03-31,1,5885.53
2011-04-30,3,4255.79
2011-05-31,3,2829.39
2011-06-30,3,4140.17
2011-07-31,2,13474.89
2011-08-31,2,12998.59
2011-09-30,2,10430.87
2011-10-31,2,7804.38
2011-11-30,2,6192.43
2011-12-31,1,5592.66
2012-01-31,1,4913.27
2012-02-29,0,5453.98
2012-03-31,0,4704.26
2012-04-30,0,4206.6
2012-05-31,0,3559.6
2012-06-30,0,2752.6
2012-07-31,0,6141.3
2012-08-31,0,9109.6
2012-09-30,0,11833.9
2012-10-31,0,8454.3
2012-11-30,0,6953.2
2012-12-31,0,6188.6
2013-01-31,0,4987.5
2013-02-28,0,3924.826
2013-03-31,0,3790.511
2013-04-30,0,2848.282
2013-05-31,1,2538.761
2013-06-30,1,4166.843
2013-07-31,1,10487.149
2013-08-31,1,9691.477
2013-09-30,0,13163.63
2013-10-31,0,12890.02
2013-11-30,0,11190.42
2013-12-31,0,8385.087
2014-01-31,0,8689.587
2014-02-28,0,5445.468
2014-03-31,0,5089.042
2014-04-30,0,3675.568
2014-05-31,0,2926.69
2014-06-30,0,5974.395
2014-07-31,0,7062.31
2014-08-31,0,10934.932
2014-09-30,0,12760.535
2014-10-31,0,12940.426
2014-11-30,0,10320.006
2014-12-31,0,7806.779
2015-01-31,0,7266.694
2015-02-28,0,5039.862
2015-03-31,0,6105.498
2015-04-30,0,4757.99
2015-05-31,0,6372.428
2015-06-30,0,10666.595
2015-07-31,0,13012.463
2015-08-31,0,9478.881
2015-09-30,0,11199.875
2015-10-31,0,9488.892
2015-11-30,0,6581.655
2015-12-31,0,5614.96
