D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,32992.844
2006-02-28,3,40986.813
2006-03-31,4,52609.328
2006-04-30,4,52677.602
2006-05-31,4,26175.823
2006-06-30,4,10538.929
2006-07-31,3,2997.963
2006-08-31,1,1657.65
2006-09-30,0,9418.868
2006-10-31,0,13638.318
2006-11-30,0,7197.188
2006-12-31,0,23454.401
2007-01-31,1,28613.786
2007-02-28,1,30032.551
2007-03-31,2,39193.964
2007-04-30,3,35591.119
2007-05-31,2,16783.812
2007-06-30,2,8158.075
2007-07-31,2,3188.227
2007-08-31,0,865.749
2007-09-30,0,1307.037
2007-10-31,0,23581.92
2007-11-30,1,36795.047
2007-12-31,1,13712.595
2008-01-31,1,24577.712
2008-02-29,2,38538.986
2008-03-31,2,49543.877
2008-04-30,2,46489.657
2008-05-31,2,33962.75
2008-06-30,1,6960.879
2008-07-31,0,2972.748
2008-08-31,0,1648.58
2008-09-30,0,10057.248
2008-10-31,0,26978.735
2008-11-30,0,37919.644
2008-12-31,0,26804.074
2009-01-31,0,38264.415
2009-02-28,0,37283.526
2009-03-31,1,55382.041
2009-04-30,1,44014.014
2009-05-31,1,21825.933
2009-06-30,0,10161.534
2009-07-31,0,3602.864
2009-08-31,0,1932.345
2009-09-30,0,14026.871
2009-10-31,0,27514.468
2009-11-30,0,33618.604
2009-12-31,0,27199.86
2010-01-31,1,36870.732
2010-02-28,1,35199.167
2010-03-31,1,42944.786
2010-04-30,1,39714.383
2010-05-31,1,23788.073
2010-06-30,1,11763.028
2010-07-31,1,5494.964
2010-08-31,0,2514.288
2010-09-30,1,2630.902
2010-10-31,1,29677.299
2010-11-30,1,42285.745
2010-12-31,1,19614.199
2011-01-31,1,31728.621
2011-02-28,1,29287.988
2011-03-31,2,28293.141
2011-04-30,3,33173.595
2011-05-31,3,35457.617
2011-06-30,3,23198.932
2011-07-31,2,571.521
2011-08-31,1,1677.521
2011-09-30,0,3705.539
2011-10-31,2,22564.989
2011-11-30,2,15989.164
2011-12-31,2,11506.946
2012-01-31,2,7031.871
2012-02-29,2,7339.264
2012-03-31,2,3387.475
2012-04-30,2,3.363
2012-05-31,2,635.737
2012-06-30,0,2392.854
2012-07-31,0,9539.091
2012-08-31,0,14159.73
2012-09-30,0,15121.635
2012-10-31,0,0
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,12478.592
2013-02-28,0,14725.846
2013-03-31,0,19941.172
2013-04-30,0,11471.635
2013-05-31,0,121.418
2013-06-30,1,1192.122
2013-07-31,1,579.696
2013-08-31,1,11640.636
2013-09-30,0,9104.592
2013-10-31,0,17657.446
2013-11-30,0,0
2013-12-31,0,0
2014-01-31,0,21569.795
2014-02-28,0,28470.304
2014-03-31,0,40419.032
2014-04-30,0,26153.726
2014-05-31,0,9419.796
2014-06-30,0,2308.429
2014-07-31,0,449.271
2014-08-31,0,755.848
2014-09-30,0,1397.397
2014-10-31,0,13669.174
2014-11-30,0,32166.119
2014-12-31,0,19522.917
2015-01-31,0,25826.463
2015-02-28,0,26776.263
2015-03-31,0,38075.999
2015-04-30,0,32598.37
2015-05-31,0,9356.276
2015-06-30,0,651.578
2015-07-31,0,278.15
2015-08-31,0,505.27
2015-09-30,0,529.277
2015-10-31,0,12989.129
2015-11-30,0,31769.19
2015-12-31,0,17231.869
