D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,34074.959
2006-02-28,3,25101.444
2006-03-31,3,30385.365
2006-04-30,3,11970.434
2006-05-31,4,1710.926
2006-06-30,4,1119.674
2006-07-31,3,26088.427
2006-08-31,2,52060.238
2006-09-30,0,54435.061
2006-10-31,0,33348.724
2006-11-30,0,14384.438
2006-12-31,0,39269.614
2007-01-31,0,49027.757
2007-02-28,1,43057.624
2007-03-31,1,67756.252
2007-04-30,2,2244.346
2007-05-31,2,1057.707
2007-06-30,2,24644.896
2007-07-31,2,35254.397
2007-08-31,1,55285.127
2007-09-30,0,75904.498
2007-10-31,0,40089.654
2007-11-30,0,25302.493
2007-12-31,0,36790.095
2008-01-31,0,38528.088
2008-02-29,0,33603.052
2008-03-31,0,32367.025
2008-04-30,1,10357.514
2008-05-31,1,7251.385
2008-06-30,1,21428.303
2008-07-31,0,37888.079
2008-08-31,0,99706.529
2008-09-30,0,96798.229
2008-10-31,0,41623.427
2008-11-30,0,15210.269
2008-12-31,0,8936.137
2009-01-31,0,33954.839
2009-02-28,1,39439.136
2009-03-31,1,14643.348
2009-04-30,1,29659.46
2009-05-31,1,37981.916
2009-06-30,1,33328.695
2009-07-31,0,59926.604
2009-08-31,0,56191.503
2009-09-30,1,52664.007
2009-10-31,0,40486.811
2009-11-30,1,17503.942
2009-12-31,0,14440.001
2010-01-31,0,32147.372
2010-02-28,0,90148.177
2010-03-31,0,25848.565
2010-04-30,0,29897.367
2010-05-31,0,61507.067
2010-06-30,0,64592.462
2010-07-31,0,89699.686
2010-08-31,0,82055.061
2010-09-30,0,87979.962
2010-10-31,0,47739.48
2010-11-30,0,19241.011
2010-12-31,1,10433.243
2011-01-31,1,36964.221
2011-02-28,2,43512.26
2011-03-31,3,17120.905
2011-04-30,3,17095.707
2011-05-31,3,23348.362
2011-06-30,4,50834.28
2011-07-31,3,61293.061
2011-08-31,2,78105.712
2011-09-30,2,52028.669
2011-10-31,3,15162.777
2011-11-30,2,6454.053
2011-12-31,1,27950.68
2012-01-31,1,6707.731
2012-02-29,1,7021.679
2012-03-31,2,14846.507
2012-04-30,2,20247.14
2012-05-31,2,35039.76
2012-06-30,1,52110.273
2012-07-31,1,47088.153
2012-08-31,1,71387.92
2012-09-30,1,85574.971
2012-10-31,0,21591.209
2012-11-30,1,4172.437
2012-12-31,1,191.569
2013-01-31,1,2401.105
2013-02-28,1,7709.517
2013-03-31,1,7518.258
2013-04-30,1,5345.425
2013-05-31,1,28926.185
2013-06-30,1,93408.423
2013-07-31,1,70864.769
2013-08-31,0,73960.303
2013-09-30,0,73186.364
2013-10-31,0,47319.347
2013-11-30,0,22337.975
2013-12-31,0,0
2014-01-31,1,36199.619
2014-02-28,1,39674.755
2014-03-31,1,11909.831
2014-04-30,1,31645.65
2014-05-31,1,19485.989
2014-06-30,2,21195.63
2014-07-31,1,32086.971
2014-08-31,1,80594.436
2014-09-30,0,91822.081
2014-10-31,0,93658.285
2014-11-30,0,30361.508
2014-12-31,0,18992.247
2015-01-31,0,10736.424
2015-02-28,0,12229.367
2015-03-31,0,10966.124
2015-04-30,0,31846.044
2015-05-31,0,68329.762
2015-06-30,0,82852.066
2015-07-31,0,81407.076
2015-08-31,0,55378.371
2015-09-30,0,92036.92
2015-10-31,0,29865.537
2015-11-30,0,33167.497
2015-12-31,0,34509.279
