D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,5797.197
2006-02-28,1,4012.046
2006-03-31,1,6841.742
2006-04-30,1,15025.906
2006-05-31,1,10094.095
2006-06-30,2,5300.649
2006-07-31,1,3163.007
2006-08-31,1,3747.018
2006-09-30,1,1939.041
2006-10-31,0,1701.586
2006-11-30,0,2127.369
2006-12-31,0,2304.937
2007-01-31,0,1334.76
2007-02-28,0,1612.223
2007-03-31,0,3881.521
2007-04-30,0,12898.215
2007-05-31,0,13575.408
2007-06-30,0,4219.29
2007-07-31,0,767.669
2007-08-31,0,3065.587
2007-09-30,0,2037.906
2007-10-31,0,3140.213
2007-11-30,0,1027.794
2007-12-31,0,8443.858
2008-01-31,0,12706.04
2008-02-29,0,3727.779
2008-03-31,0,8360.61
2008-04-30,1,17948.796
2008-05-31,1,11225.154
2008-06-30,1,6614.118
2008-07-31,0,1798.12
2008-08-31,0,1388.891
2008-09-30,0,978.985
2008-10-31,0,704.178
2008-11-30,0,2285.896
2008-12-31,0,3734.087
2009-01-31,0,11539.134
2009-02-28,0,4989.121
2009-03-31,0,13426.219
2009-04-30,0,22462.284
2009-05-31,0,16663.793
2009-06-30,0,5420.09
2009-07-31,1,6884.7
2009-08-31,2,7902.468
2009-09-30,1,2828.932
2009-10-31,1,2905.222
2009-11-30,1,2594.035
2009-12-31,0,680.403
2010-01-31,0,1483.194
2010-02-28,0,552.649
2010-03-31,0,3488.936
2010-04-30,0,5682.813
2010-05-31,0,17081.805
2010-06-30,0,7394.877
2010-07-31,0,13557.74
2010-08-31,0,14354.881
2010-09-30,0,14623.983
2010-10-31,0,19016.974
2010-11-30,0,5623.471
2010-12-31,0,13013.614
2011-01-31,0,13638.109
2011-02-28,0,6038.675
2011-03-31,1,7104.303
2011-04-30,4,20696.43
2011-05-31,4,20339.887
2011-06-30,3,8205.773
2011-07-31,2,5610.115
2011-08-31,2,7222.957
2011-09-30,2,5914.353
2011-10-31,2,5208.291
2011-11-30,2,3540.633
2011-12-31,1,5407.481
2012-01-31,1,12444.642
2012-02-29,0,1901.626
2012-03-31,0,5526.587
2012-04-30,0,14671.506
2012-05-31,0,10176.097
2012-06-30,0,8241.634
2012-07-31,0,4779.438
2012-08-31,0,4928.244
2012-09-30,1,3668.073
2012-10-31,1,3471.768
2012-11-30,1,2819.694
2012-12-31,1,3219.041
2013-01-31,1,7270.873
2013-02-28,1,3598.483
2013-03-31,1,8830.725
2013-04-30,1,11502.525
2013-05-31,1,2000.775
2013-06-30,1,3920.704
2013-07-31,1,3531.18
2013-08-31,1,3688.918
2013-09-30,0,727.993
2013-10-31,0,2230.928
2013-11-30,0,1326.121
2013-12-31,0,846.691
2014-01-31,0,119.948
2014-02-28,0,264.134
2014-03-31,0,506.255
2014-04-30,0,9567.167
2014-05-31,0,10614.318
2014-06-30,0,6153.484
2014-07-31,0,4447.093
2014-08-31,0,4754.564
2014-09-30,0,198.934
2014-10-31,0,845.897
2014-11-30,0,295.211
2014-12-31,0,0
2015-01-31,0,11.277
2015-02-28,0,150.434
2015-03-31,0,24.927
2015-04-30,0,151.347
2015-05-31,0,3156.229
2015-06-30,0,800.34
2015-07-31,0,1762.105
2015-08-31,0,119.994
2015-09-30,0,510.461
2015-10-31,0,0
2015-11-30,0,0
2015-12-31,0,0
