D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,10539.076
2006-02-28,0,10057.95
2006-03-31,0,8550.88
2006-04-30,0,5805.016
2006-05-31,0,5378.978
2006-06-30,0,6693.619
2006-07-31,0,13204.912
2006-08-31,1,17221.443
2006-09-30,0,17047.333
2006-10-31,0,16761.525
2006-11-30,0,16965.055
2006-12-31,0,17374.821
2007-01-31,0,16017.995
2007-02-28,0,15800.373
2007-03-31,0,10253.628
2007-04-30,0,5607.041
2007-05-31,0,3018.102
2007-06-30,1,5159.655
2007-07-31,1,6624.909
2007-08-31,0,8792.297
2007-09-30,0,12268.523
2007-10-31,0,14178.151
2007-11-30,0,16354.515
2007-12-31,0,0
2008-01-31,0,16167.482
2008-02-29,0,16142.332
2008-03-31,0,11093.578
2008-04-30,1,3334.006
2008-05-31,1,849.121
2008-06-30,1,6782.931
2008-07-31,0,8727.17
2008-08-31,1,7333.896
2008-09-30,0,11292.911
2008-10-31,0,17534.17
2008-11-30,0,17638.758
2008-12-31,0,13930.651
2009-01-31,0,9775.186
2009-02-28,0,8661.559
2009-03-31,0,8822.554
2009-04-30,0,1253.203
2009-05-31,0,2117.535
2009-06-30,0,1959.761
2009-07-31,0,3871.407
2009-08-31,1,3367.279
2009-09-30,0,10375.435
2009-10-31,0,17712.545
2009-11-30,0,17089.777
2009-12-31,0,18175.018
2010-01-31,0,15977.818
2010-02-28,0,9131.452
2010-03-31,1,6009.439
2010-04-30,1,4989.947
2010-05-31,1,2438.656
2010-06-30,1,2207.169
2010-07-31,0,5346.658
2010-08-31,0,17557.268
2010-09-30,0,17529.596
2010-10-31,0,18379.232
2010-11-30,0,17723.662
2010-12-31,0,12309.852
2011-01-31,0,10276.314
2011-02-28,0,9541.764
2011-03-31,0,6548.694
2011-04-30,2,4168.027
2011-05-31,2,2204.723
2011-06-30,3,2064.756
2011-07-31,2,2853.5
2011-08-31,1,13390.95
2011-09-30,0,15511.512
2011-10-31,0,17919.011
2011-11-30,0,15615.513
2011-12-31,0,17275.037
2012-01-31,0,17326.178
2012-02-29,0,13527.096
2012-03-31,0,6213.398
2012-04-30,0,4459.048
2012-05-31,0,6097.941
2012-06-30,0,7694.831
2012-07-31,0,5504.011
2012-08-31,0,10016.494
2012-09-30,0,10303.499
2012-10-31,0,18254.263
2012-11-30,0,10702.457
2012-12-31,0,6410.225
2013-01-31,0,11753.546
2013-02-28,0,8159.925
2013-03-31,0,6653.348
2013-04-30,0,3722.5
2013-05-31,0,3982.96
2013-06-30,0,6584.422
2013-07-31,0,5385.892
2013-08-31,0,3882.341
2013-09-30,0,15253.635
2013-10-31,0,15115.878
2013-11-30,0,16617.243
2013-12-31,0,18661.54
2014-01-31,0,15191.563
2014-02-28,0,11341.639
2014-03-31,0,8068.973
2014-04-30,0,4964.73
2014-05-31,0,4797.018
2014-06-30,0,8137.731
2014-07-31,0,11522.545
2014-08-31,0,8397.059
2014-09-30,0,11669.441
2014-10-31,0,13348.603
2014-11-30,0,15161.309
2014-12-31,0,6994.351
2015-01-31,0,13145.52
2015-02-28,0,9430.619
2015-03-31,0,6846.817
2015-04-30,0,3882.932
2015-05-31,0,1760.243
2015-06-30,0,1262.733
2015-07-31,0,3819.667
2015-08-31,1,2809.656
2015-09-30,1,5027.761
2015-10-31,0,8975.242
2015-11-30,0,17717.167
2015-12-31,0,17564.543
