D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,898.917
2006-02-28,0,786.289
2006-03-31,0,739.188
2006-04-30,0,419.955
2006-05-31,0,769.711
2006-06-30,0,855.973
2006-07-31,0,925.165
2006-08-31,1,1089.52
2006-09-30,0,828.541
2006-10-31,0,1075.971
2006-11-30,0,243.579
2006-12-31,0,0
2007-01-31,0,730.994
2007-02-28,0,829.611
2007-03-31,0,785.143
2007-04-30,0,822.645
2007-05-31,0,881.408
2007-06-30,1,953.063
2007-07-31,1,1058.558
2007-08-31,0,1011.691
2007-09-30,0,998.472
2007-10-31,0,1008.93
2007-11-30,0,0
2007-12-31,0,0
2008-01-31,0,937.731
2008-02-29,0,839.167
2008-03-31,0,834.629
2008-04-30,1,183.566
2008-05-31,1,820.189
2008-06-30,1,857.019
2008-07-31,0,1067.557
2008-08-31,1,1105.158
2008-09-30,0,1068.592
2008-10-31,0,614.508
2008-11-30,0,1071.304
2008-12-31,0,0
2009-01-31,0,1004.682
2009-02-28,0,884.569
2009-03-31,0,906.726
2009-04-30,0,885.734
2009-05-31,0,384.197
2009-06-30,0,457.348
2009-07-31,0,1021.389
2009-08-31,1,1063.91
2009-09-30,0,1078.065
2009-10-31,0,1120.785
2009-11-30,0,1084.47
2009-12-31,0,1082.397
2010-01-31,0,1092.354
2010-02-28,0,939.796
2010-03-31,1,1031.679
2010-04-30,1,975.559
2010-05-31,1,221.335
2010-06-30,1,902.258
2010-07-31,0,1127.091
2010-08-31,0,1145.428
2010-09-30,0,1119.827
2010-10-31,0,1176.174
2010-11-30,0,1129.341
2010-12-31,0,1157.789
2011-01-31,0,1113.846
2011-02-28,0,968.115
2011-03-31,0,1026.092
2011-04-30,2,957.594
2011-05-31,2,603.205
2011-06-30,3,842.858
2011-07-31,2,1053.152
2011-08-31,1,1170.693
2011-09-30,0,1149.31
2011-10-31,0,1188.071
2011-11-30,0,1135.404
2011-12-31,0,1164.993
2012-01-31,0,1091.511
2012-02-29,0,987.165
2012-03-31,0,1030.94
2012-04-30,0,985.843
2012-05-31,0,546.075
2012-06-30,0,976.566
2012-07-31,0,1130.034
2012-08-31,0,1188.15
2012-09-30,0,1147.473
2012-10-31,0,1178.501
2012-11-30,0,1132.307
2012-12-31,0,1182.338
2013-01-31,0,1124.275
2013-02-28,0,960.838
2013-03-31,0,1044.831
2013-04-30,0,483.452
2013-05-31,0,939.161
2013-06-30,0,981.36
2013-07-31,0,1174.72
2013-08-31,0,1181.001
2013-09-30,0,1034.089
2013-10-31,0,1192.781
2013-11-30,0,1159.281
2013-12-31,0,1178.999
2014-01-31,0,1153.234
2014-02-28,0,992.617
2014-03-31,0,1077.095
2014-04-30,0,1008.089
2014-05-31,0,1029.789
2014-06-30,0,452.706
2014-07-31,0,1137.391
2014-08-31,0,978.791
2014-09-30,0,1010.402
2014-10-31,0,1044.154
2014-11-30,0,1013.912
2014-12-31,0,1047.05
2015-01-31,0,1042.557
2015-02-28,0,937.539
2015-03-31,0,600.979
2015-04-30,0,992.723
2015-05-31,0,1029.977
2015-06-30,0,1019.52
2015-07-31,0,1170.399
2015-08-31,1,1171.201
2015-09-30,1,1157.39
2015-10-31,0,1195.747
2015-11-30,0,1155.077
2015-12-31,0,1181.777
