D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,7157.09
2006-02-28,0,6423.3
2006-03-31,0,6922.366
2006-04-30,0,6469.128
2006-05-31,0,6573.7
2006-06-30,0,6340.7
2006-07-31,0,6788.829
2006-08-31,1,6975.017
2006-09-30,0,6669.365
2006-10-31,0,7327.642
2006-11-30,0,6752.739
2006-12-31,0,7546.981
2007-01-31,0,7226.48
2007-02-28,0,6436.584
2007-03-31,0,6456.446
2007-04-30,0,6584.773
2007-05-31,0,6947.05
2007-06-30,1,6604.376
2007-07-31,1,6741.299
2007-08-31,0,6749.854
2007-09-30,0,7469.919
2007-10-31,0,8869.21
2007-11-30,0,7287.996
2007-12-31,0,8230.664
2008-01-31,0,7896.291
2008-02-29,0,7047.704
2008-03-31,0,7081.14
2008-04-30,1,5695.69
2008-05-31,1,5894.655
2008-06-30,1,6729.816
2008-07-31,0,6845.931
2008-08-31,1,6766.848
2008-09-30,0,7729.93
2008-10-31,0,8936.2
2008-11-30,0,7544.353
2008-12-31,0,7904.132
2009-01-31,0,7624.125
2009-02-28,0,6994.298
2009-03-31,0,7640.409
2009-04-30,0,6974.483
2009-05-31,0,7133.895
2009-06-30,0,6446.101
2009-07-31,0,6808.04
2009-08-31,1,6826.248
2009-09-30,0,7382.52
2009-10-31,0,8287.475
2009-11-30,0,7784.751
2009-12-31,0,7285.481
2010-01-31,0,7687.567
2010-02-28,0,6415.705
2010-03-31,1,7003.537
2010-04-30,1,6771.119
2010-05-31,1,6858.584
2010-06-30,1,6504.119
2010-07-31,0,7027.39
2010-08-31,0,7182.612
2010-09-30,0,8213.144
2010-10-31,0,7452.741
2010-11-30,0,7151.386
2010-12-31,0,5889.998
2011-01-31,0,6080.991
2011-02-28,0,5321.429
2011-03-31,0,5746.761
2011-04-30,2,4156.343
2011-05-31,2,4999.569
2011-06-30,3,5895.709
2011-07-31,2,6180.929
2011-08-31,1,6177.486
2011-09-30,0,7071.833
2011-10-31,0,6460.285
2011-11-30,0,5122.664
2011-12-31,0,7949.061
2012-01-31,0,8379.241
2012-02-29,0,7695.173
2012-03-31,0,7882.989
2012-04-30,0,7428.134
2012-05-31,0,4775.21
2012-06-30,0,6497.283
2012-07-31,0,7193.651
2012-08-31,0,7778.001
2012-09-30,0,7558.792
2012-10-31,0,7799.806
2012-11-30,0,6564.655
2012-12-31,0,7633.953
2013-01-31,0,7397.235
2013-02-28,0,6722.885
2013-03-31,0,7304.257
2013-04-30,0,6849.215
2013-05-31,0,7014.146
2013-06-30,0,7024.905
2013-07-31,0,7908.659
2013-08-31,0,7317.196
2013-09-30,0,6809.4
2013-10-31,0,8090.571
2013-11-30,0,7391.176
2013-12-31,0,9129.805
2014-01-31,0,8839.556
2014-02-28,0,7775.993
2014-03-31,0,8561.47
2014-04-30,0,6890.029
2014-05-31,0,6913.847
2014-06-30,0,8204.762
2014-07-31,0,8272.532
2014-08-31,0,8099.935
2014-09-30,0,7898.383
2014-10-31,0,8883.885
2014-11-30,0,7037.141
2014-12-31,0,8103.88
2015-01-31,0,8447.73
2015-02-28,0,7255.853
2015-03-31,0,8019.419
2015-04-30,0,2905.304
2015-05-31,0,7211.608
2015-06-30,0,6417.327
2015-07-31,0,6521.602
2015-08-31,1,7051.979
2015-09-30,1,6922.223
2015-10-31,0,7728.998
2015-11-30,0,8369.949
2015-12-31,0,8250.303
