D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,1041.324
2006-02-28,0,735.176
2006-03-31,0,615.608
2006-04-30,0,532.821
2006-05-31,0,573.03
2006-06-30,0,1065.866
2006-07-31,0,991.278
2006-08-31,1,886.467
2006-09-30,0,1093.087
2006-10-31,0,52.532
2006-11-30,0,9.81
2006-12-31,0,952.713
2007-01-31,0,955.046
2007-02-28,0,926.987
2007-03-31,0,760.337
2007-04-30,0,608.206
2007-05-31,0,248.562
2007-06-30,1,893.138
2007-07-31,1,1083.576
2007-08-31,0,1137.732
2007-09-30,0,1035.971
2007-10-31,0,1069.247
2007-11-30,0,0
2007-12-31,0,0
2008-01-31,0,1010.528
2008-02-29,0,827.193
2008-03-31,0,732.197
2008-04-30,1,282.292
2008-05-31,1,172.003
2008-06-30,1,989.147
2008-07-31,0,1115.874
2008-08-31,1,1130.713
2008-09-30,0,1041.871
2008-10-31,0,1118.92
2008-11-30,0,1108.522
2008-12-31,0,1133.225
2009-01-31,0,1019.237
2009-02-28,0,789.491
2009-03-31,0,687.518
2009-04-30,0,537.552
2009-05-31,0,529.311
2009-06-30,0,570.933
2009-07-31,0,1012.632
2009-08-31,1,1099.976
2009-09-30,0,1087.433
2009-10-31,0,1096.387
2009-11-30,0,1120.315
2009-12-31,0,1057.09
2010-01-31,0,1030.07
2010-02-28,0,935.472
2010-03-31,1,964.726
2010-04-30,1,992.24
2010-05-31,1,712.554
2010-06-30,1,666.243
2010-07-31,0,1139.139
2010-08-31,0,1166.821
2010-09-30,0,1121.795
2010-10-31,0,1153.678
2010-11-30,0,945.969
2010-12-31,0,1132.625
2011-01-31,0,990.281
2011-02-28,0,712.469
2011-03-31,0,597.576
2011-04-30,2,548.751
2011-05-31,2,411.978
2011-06-30,3,550.742
2011-07-31,2,971.639
2011-08-31,1,1153.038
2011-09-30,0,805.206
2011-10-31,0,1096.111
2011-11-30,0,1000.82
2011-12-31,0,712.931
2012-01-31,0,525.629
2012-02-29,0,536.07
2012-03-31,0,782.033
2012-04-30,0,809.801
2012-05-31,0,589.042
2012-06-30,0,804.015
2012-07-31,0,1164.505
2012-08-31,0,1162.363
2012-09-30,0,1129.763
2012-10-31,0,1113.58
2012-11-30,0,943.821
2012-12-31,0,1167.425
2013-01-31,0,1053.095
2013-02-28,0,773.548
2013-03-31,0,713.478
2013-04-30,0,555.161
2013-05-31,0,574.571
2013-06-30,0,639.241
2013-07-31,0,367.901
2013-08-31,0,1127.963
2013-09-30,0,1140.001
2013-10-31,0,1167.3
2013-11-30,0,1132.221
2013-12-31,0,1157.224
2014-01-31,0,1133.053
2014-02-28,0,809.028
2014-03-31,0,627.347
2014-04-30,0,280.143
2014-05-31,0,815.041
2014-06-30,0,1106.362
2014-07-31,0,1165.269
2014-08-31,0,1161.014
2014-09-30,0,1132.929
2014-10-31,0,1167.805
2014-11-30,0,1115.639
2014-12-31,0,1156.771
2015-01-31,0,1127.618
2015-02-28,0,930.505
2015-03-31,0,1063.197
2015-04-30,0,587.358
2015-05-31,0,921.918
2015-06-30,0,1132.239
2015-07-31,0,1172.14
2015-08-31,1,1076.068
2015-09-30,1,1109.407
2015-10-31,0,1080.069
2015-11-30,0,1008.022
2015-12-31,0,1061.489
