D a t e , P r o d u c t i o n
2006-01-31,234678.518
2006-02-28,162849.254
2006-03-31,368570.132
2006-04-30,279753.471
2006-05-31,346712.933
2006-06-30,303218.04
2006-07-31,251754.019
2006-08-31,295592.996
2006-09-30,320670.467
2006-10-31,235948.636
2006-11-30,269373.65
2006-12-31,184186.228
2007-01-31,133630.176
2007-02-28,99304.035
2007-03-31,231259.512
2007-04-30,186576.01
2007-05-31,103089.985
2007-06-30,74827.855
2007-07-31,92817.623
2007-08-31,59447.649
2007-09-30,172752.422
2007-10-31,193584.507
2007-11-30,33.339
2007-12-31,27996.18
2008-01-31,39539.757
2008-02-29,51962.093
2008-03-31,156050.667
2008-04-30,534672.435
2008-05-31,559981.895
2008-06-30,384419.82
2008-07-31,225932.518
2008-08-31,293094.67
2008-09-30,479266.868
2008-10-31,370703.321
2008-11-30,324999.976
2008-12-31,215784.78
2009-01-31,215977.92
2009-02-28,242436.599
2009-03-31,272343.64
2009-04-30,289317.486
2009-05-31,140736.353
2009-06-30,179686.498
2009-07-31,221320.442
2009-08-31,234175.698
2009-09-30,189593.524
2009-10-31,175598.55
2009-11-30,56776.384
2009-12-31,62662.234
2010-01-31,56851.733
2010-02-28,36899.323
2010-03-31,104587.583
2010-04-30,93993.828
2010-05-31,102663.006
2010-06-30,169513.142
2010-07-31,246871.877
2010-08-31,199330.675
2010-09-30,607112.2
2010-10-31,523316.976
2010-11-30,406751.269
2010-12-31,279943.328
2011-01-31,316236.561
2011-02-28,298963.781
2011-03-31,319092.991
2011-04-30,277589.782
2011-05-31,286189.088
2011-06-30,241720.489
2011-07-31,206460.333
2011-08-31,238526.087
2011-09-30,313886.812
2011-10-31,324907.584
2011-11-30,402873.143
2011-12-31,336190.794
2012-01-31,352519.157
2012-02-29,329477.986
2012-03-31,304879.936
2012-04-30,313149.963
2012-05-31,410142.347
2012-06-30,309403.658
2012-07-31,207107.801
2012-08-31,288062.742
2012-09-30,113964.571
2012-10-31,171754.078
2012-11-30,119068.907
2012-12-31,175321.865
2013-01-31,53343.659
2013-02-28,78178.581
2013-03-31,110466.157
2013-04-30,212226.043
2013-05-31,148400.01
2013-06-30,126834.485
2013-07-31,192544.284
2013-08-31,193506.454
2013-09-30,158540.418
2013-10-31,260854.32
2013-11-30,229056.904
2013-12-31,200627.906
2014-01-31,247669.49
2014-02-28,361826.02
2014-03-31,393498.809
2014-04-30,366224.057
2014-05-31,317886.624
2014-06-30,266793.817
2014-07-31,377472.233
2014-08-31,302470.594
2014-09-30,152490.143
2014-10-31,135817.63
2014-11-30,180271.922
2014-12-31,162861.037
2015-01-31,171911.131
2015-02-28,145908.365
2015-03-31,233278.706
2015-04-30,342415.714
2015-05-31,430898.881
2015-06-30,221442.014
2015-07-31,50400.406
2015-08-31,82376.677
2015-09-30,143825.501
2015-10-31,107115.795
2015-11-30,67378.527
2015-12-31,79514.929
