D a t e , P r o d u c t i o n
2006-01-31,130120.115
2006-02-28,148528.951
2006-03-31,184803.274
2006-04-30,175269.144
2006-05-31,195382.964
2006-06-30,210283.5
2006-07-31,213232.342
2006-08-31,221505.816
2006-09-30,164064.812
2006-10-31,99761.924
2006-11-30,97661.322
2006-12-31,101389.816
2007-01-31,125867.748
2007-02-28,130537.135
2007-03-31,125179.956
2007-04-30,121163.144
2007-05-31,134073.588
2007-06-30,124061.275
2007-07-31,114347.121
2007-08-31,101423.311
2007-09-30,90800.172
2007-10-31,113146.677
2007-11-30,30404.375
2007-12-31,8037.151
2008-01-31,27492.636
2008-02-29,179854.252
2008-03-31,268149.081
2008-04-30,275026.797
2008-05-31,199760.227
2008-06-30,255206.272
2008-07-31,283153.903
2008-08-31,205166.737
2008-09-30,165089.7
2008-10-31,131785.865
2008-11-30,128739.602
2008-12-31,0
2009-01-31,105867.441
2009-02-28,86931.949
2009-03-31,125456.925
2009-04-30,144002.718
2009-05-31,158213.372
2009-06-30,163538.796
2009-07-31,178716.661
2009-08-31,145453.292
2009-09-30,106779.619
2009-10-31,89071.412
2009-11-30,101267.128
2009-12-31,76088.56
2010-01-31,79488.717
2010-02-28,68385.325
2010-03-31,75239.343
2010-04-30,72338.333
2010-05-31,95592.723
2010-06-30,132146.822
2010-07-31,213257.869
2010-08-31,258330.969
2010-09-30,84467.218
2010-10-31,3869.114
2010-11-30,233912.111
2010-12-31,119067.359
2011-01-31,121358.474
2011-02-28,120085.668
2011-03-31,143900.528
2011-04-30,190564.269
2011-05-31,201664.81
2011-06-30,194353.127
2011-07-31,200401.898
2011-08-31,230973.939
2011-09-30,236357.292
2011-10-31,257092.253
2011-11-30,197041.987
2011-12-31,169939.639
2012-01-31,167015.165
2012-02-29,173091.265
2012-03-31,197594.102
2012-04-30,193038.982
2012-05-31,202664.308
2012-06-30,196242.373
2012-07-31,173330.569
2012-08-31,176000.819
2012-09-30,198524.629
2012-10-31,139399.111
2012-11-30,121890.212
2012-12-31,105947.401
2013-01-31,85150.371
2013-02-28,79058.421
2013-03-31,85301.737
2013-04-30,98003.517
2013-05-31,124906.617
2013-06-30,120121.044
2013-07-31,130004.228
2013-08-31,155651.373
2013-09-30,171022.321
2013-10-31,198267.818
2013-11-30,173578.255
2013-12-31,193096.021
2014-01-31,235623.627
2014-02-28,200073.442
2014-03-31,205291.532
2014-04-30,198019.919
2014-05-31,204282.875
2014-06-30,240073.72
2014-07-31,272271.125
2014-08-31,197551.691
2014-09-30,133056.002
2014-10-31,108357.896
2014-11-30,127451.437
2014-12-31,150011.583
2015-01-31,124275.65
2015-02-28,141463.444
2015-03-31,145279.281
2015-04-30,182451.082
2015-05-31,200568.765
2015-06-30,196802.631
2015-07-31,152685.176
2015-08-31,116712.561
2015-09-30,91840.287
2015-10-31,93803.483
2015-11-30,85338.75
2015-12-31,96645.102
