D a t e , P r o d u c t i o n
2006-01-31,382.666
2006-02-28,8241.274
2006-03-31,8038.08
2006-04-30,7858.841
2006-05-31,6892.276
2006-06-30,6805.464
2006-07-31,2066.044
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,4270.968
2007-02-28,12117.677
2007-03-31,12703.456
2007-04-30,13062.485
2007-05-31,11172.045
2007-06-30,10715.08
2007-07-31,8278.906
2007-08-31,11318.067
2007-09-30,1534.537
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,5765.077
2008-02-29,12073.406
2008-03-31,12684.23
2008-04-30,11433.248
2008-05-31,11172.367
2008-06-30,9495.885
2008-07-31,7065.502
2008-08-31,10991.294
2008-09-30,10654.817
2008-10-31,1975.669
2008-11-30,0
2008-12-31,0
2009-01-31,5054.744
2009-02-28,11518.295
2009-03-31,11580.057
2009-04-30,12741.243
2009-05-31,13420.862
2009-06-30,14199.448
2009-07-31,10786.664
2009-08-31,10006.68
2009-09-30,0
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,1818.814
2010-02-28,13871.603
2010-03-31,14246.468
2010-04-30,14543.978
2010-05-31,13632.247
2010-06-30,8347.484
2010-07-31,11749.504
2010-08-31,11453.155
2010-09-30,3184.523
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,3665.565
2011-02-28,9567.879
2011-03-31,14711.013
2011-04-30,14861.338
2011-05-31,14281.921
2011-06-30,14402.327
2011-07-31,14134.495
2011-08-31,9457.82
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,681.622
2012-02-29,10604.364
2012-03-31,12276.773
2012-04-30,11948.367
2012-05-31,10678.574
2012-06-30,10253.879
2012-07-31,9921.553
2012-08-31,10039.039
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,6402.808
2013-02-28,9636.511
2013-03-31,9003.658
2013-04-30,7409.173
2013-05-31,6161.449
2013-06-30,3530.451
2013-07-31,0
2013-08-31,0
2013-09-30,0
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,9589.936
2014-02-28,12678.355
2014-03-31,12641.763
2014-04-30,11681.461
2014-05-31,11835.088
2014-06-30,7529.245
2014-07-31,7330.46
2014-08-31,58.239
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,8376.835
2015-02-28,13697.962
2015-03-31,13681.434
2015-04-30,13431.9
2015-05-31,13855.067
2015-06-30,13854.39
2015-07-31,13062.926
2015-08-31,117.038
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
