D a t e , P r o d u c t i o n
2006-01-31,16088
2006-02-28,12178.9
2006-03-31,15799.3
2006-04-30,14422.7
2006-05-31,15313
2006-06-30,21267.1
2006-07-31,24099.8
2006-08-31,31243.6
2006-09-30,24252.2
2006-10-31,22066.1
2006-11-30,17202
2006-12-31,17183.3
2007-01-31,16201
2007-02-28,14227.4
2007-03-31,15039.2
2007-04-30,14661.3
2007-05-31,15101.8
2007-06-30,21238.8
2007-07-31,25661
2007-08-31,26133.9
2007-09-30,24235.2
2007-10-31,19675.6
2007-11-30,14678.8
2007-12-31,16984.7
2008-01-31,15852.2
2008-02-29,14811.3
2008-03-31,15025.3
2008-04-30,14305.4
2008-05-31,15460.6
2008-06-30,27830.958
2008-07-31,30048.8
2008-08-31,28307.7
2008-09-30,28316
2008-10-31,20392
2008-11-30,15116.9
2008-12-31,16812
2009-01-31,16369.5
2009-02-28,14702.1
2009-03-31,15844.945
2009-04-30,14168
2009-05-31,16450.2
2009-06-30,20304.9
2009-07-31,24031.1
2009-08-31,2709.3
2009-09-30,23147.866
2009-10-31,17836
2009-11-30,14786.7
2009-12-31,16190.2
2010-01-31,17288.4
2010-02-28,20232.2
2010-03-31,15063.6
2010-04-30,14771.5
2010-05-31,15136.5
2010-06-30,23435.9
2010-07-31,32903
2010-08-31,24979.1
2010-09-30,25619.5
2010-10-31,16639.4
2010-11-30,16974
2010-12-31,17251.5
2011-01-31,17266.3
2011-02-28,15833.5
2011-03-31,15937
2011-04-30,14370.2
2011-05-31,15107
2011-06-30,19771.9
2011-07-31,27576.2
2011-08-31,24811.954
2011-09-30,19018.094
2011-10-31,20519.401
2011-11-30,15716.47
2011-12-31,16018.253
2012-01-31,9234.764
2012-02-29,17834.892
2012-03-31,15471.267
2012-04-30,14629.794
2012-05-31,14567.146
2012-06-30,20459.197
2012-07-31,27100.033
2012-08-31,27308.583
2012-09-30,20050.223
2012-10-31,17416.772
2012-11-30,14557.152
2012-12-31,15027.882
2013-01-31,17728.253
2013-02-28,13705.599
2013-03-31,14550.587
2013-04-30,13139.997
2013-05-31,15991.609
2013-06-30,19142.823
2013-07-31,25861.904
2013-08-31,24061.994
2013-09-30,28466.562
2013-10-31,19918.311
2013-11-30,15669.143
2013-12-31,18807.545
2014-01-31,16639.391
2014-02-28,13759.992
2014-03-31,15967.081
2014-04-30,13456.733
2014-05-31,16448.393
2014-06-30,22862.95
2014-07-31,24710.485
2014-08-31,23157.537
2014-09-30,24070.205
2014-10-31,20482.381
2014-11-30,16198.578
2014-12-31,16423.341
2015-01-31,16015.269
2015-02-28,15681.208
2015-03-31,17896.248
2015-04-30,14788.512
2015-05-31,16442.643
2015-06-30,23794.498
2015-07-31,28316.525
2015-08-31,24913.067
2015-09-30,25786.996
2015-10-31,20826.7
2015-11-30,15914.702
2015-12-31,17664.5
