D a t e , P r o d u c t i o n
2006-01-31,369.589
2006-02-28,338.562
2006-03-31,355.485
2006-04-30,348.521
2006-05-31,371.34
2006-06-30,364.811
2006-07-31,370.607
2006-08-31,388.798
2006-09-30,397.103
2006-10-31,401.763
2006-11-30,344.553
2006-12-31,335.735
2007-01-31,356.592
2007-02-28,328.407
2007-03-31,347.353
2007-04-30,324.519
2007-05-31,332.447
2007-06-30,326.446
2007-07-31,340.532
2007-08-31,328.725
2007-09-30,179.51
2007-10-31,77.765
2007-11-30,0
2007-12-31,0
2008-01-31,333.757
2008-02-29,312.156
2008-03-31,332.905
2008-04-30,314.153
2008-05-31,319.209
2008-06-30,332.749
2008-07-31,364.461
2008-08-31,359.126
2008-09-30,357.75
2008-10-31,263.973
2008-11-30,362.137
2008-12-31,362.161
2009-01-31,366.011
2009-02-28,295.457
2009-03-31,343.745
2009-04-30,326.131
2009-05-31,337.75
2009-06-30,335.092
2009-07-31,356.598
2009-08-31,359.89
2009-09-30,348.028
2009-10-31,316.052
2009-11-30,345.969
2009-12-31,353.443
2010-01-31,342.498
2010-02-28,308.406
2010-03-31,336.26
2010-04-30,311.43
2010-05-31,337.733
2010-06-30,309.225
2010-07-31,381.658
2010-08-31,380.531
2010-09-30,314.161
2010-10-31,357.009
2010-11-30,394.683
2010-12-31,398.046
2011-01-31,390.125
2011-02-28,352.041
2011-03-31,210.963
2011-04-30,358.087
2011-05-31,362.565
2011-06-30,348.811
2011-07-31,364.318
2011-08-31,342.406
2011-09-30,345.012
2011-10-31,365.158
2011-11-30,354.448
2011-12-31,310.392
2012-01-31,348.552
2012-02-29,321.813
2012-03-31,260.242
2012-04-30,280.781
2012-05-31,238.959
2012-06-30,155.765
2012-07-31,160.07
2012-08-31,170.859
2012-09-30,179.669
2012-10-31,92.648
2012-11-30,124.849
2012-12-31,133.712
2013-01-31,142.737
2013-02-28,148.691
2013-03-31,253.831
2013-04-30,270.117
2013-05-31,280.062
2013-06-30,284.015
2013-07-31,308.544
2013-08-31,295.14
2013-09-30,295.061
2013-10-31,225.847
2013-11-30,155.302
2013-12-31,190.783
2014-01-31,166.893
2014-02-28,162.331
2014-03-31,183.188
2014-04-30,182.953
2014-05-31,174.398
2014-06-30,157.781
2014-07-31,141.423
2014-08-31,95.41
2014-09-30,120.789
2014-10-31,166.839
2014-11-30,115.668
2014-12-31,150.15
2015-01-31,180.691
2015-02-28,146.565
2015-03-31,172.47
2015-04-30,126.298
2015-05-31,157.409
2015-06-30,208.371
2015-07-31,254.184
2015-08-31,331.855
2015-09-30,331.638
2015-10-31,283.599
2015-11-30,213.632
2015-12-31,248.261
