D a t e , P r o d u c t i o n
2006-01-31,67964.001
2006-02-28,59314.1
2006-03-31,41651
2006-04-30,67732.4
2006-05-31,131546.79
2006-06-30,109622.7
2006-07-31,67754.7
2006-08-31,115598.9
2006-09-30,104669.7
2006-10-31,127234.301
2006-11-30,117836
2006-12-31,59575.5
2007-01-31,87670.9
2007-02-28,87623.6
2007-03-31,119127.628
2007-04-30,89549.381
2007-05-31,84847.498
2007-06-30,119206.949
2007-07-31,79181.739
2007-08-31,112180.5
2007-09-30,200390.864
2007-10-31,151690.841
2007-11-30,117383.289
2007-12-31,149446.7
2008-01-31,55379.763
2008-02-29,95408.95
2008-03-31,100071.685
2008-04-30,55469.844
2008-05-31,39885.632
2008-06-30,36963.286
2008-07-31,113227.77
2008-08-31,177020.346
2008-09-30,178747.507
2008-10-31,209698.315
2008-11-30,88641.327
2008-12-31,63908.53
2009-01-31,67901.027
2009-02-28,91826.529
2009-03-31,77954.823
2009-04-30,103797.361
2009-05-31,105527.246
2009-06-30,108759.568
2009-07-31,108618.242
2009-08-31,67467.765
2009-09-30,39520.974
2009-10-31,48471.713
2009-11-30,51483.958
2009-12-31,42789.192
2010-01-31,40288.842
2010-02-28,56258.724
2010-03-31,121844.689
2010-04-30,122046.193
2010-05-31,168440.767
2010-06-30,103182.27
2010-07-31,89343.977
2010-08-31,211322.223
2010-09-30,199954.001
2010-10-31,195905.071
2010-11-30,83989.937
2010-12-31,65841.625
2011-01-31,93855.366
2011-02-28,84553.501
2011-03-31,95511.773
2011-04-30,88506.917
2011-05-31,69342.34
2011-06-30,62693.144
2011-07-31,120181.885
2011-08-31,167163.723
2011-09-30,206839.144
2011-10-31,128677.211
2011-11-30,106166.84
2011-12-31,88144.922
2012-01-31,85189.935
2012-02-29,83891.916
2012-03-31,100758.556
2012-04-30,111942.796
2012-05-31,149128.428
2012-06-30,73789.399
2012-07-31,75800.146
2012-08-31,169066.188
2012-09-30,143567.785
2012-10-31,156321.8
2012-11-30,55951.776
2012-12-31,92158.863
2013-01-31,47446.889
2013-02-28,43406.04
2013-03-31,54830.708
2013-04-30,84513.963
2013-05-31,61265.061
2013-06-30,62820.492
2013-07-31,150310.817
2013-08-31,104519.837
2013-09-30,169642.241
2013-10-31,204022.631
2013-11-30,185546.058
2013-12-31,103471.283
2014-01-31,67959.665
2014-02-28,92879.919
2014-03-31,87973.439
2014-04-30,123692.972
2014-05-31,156223.58
2014-06-30,167978.481
2014-07-31,224952.705
2014-08-31,161137.596
2014-09-30,118641.767
2014-10-31,156681.381
2014-11-30,64086.007
2014-12-31,91121.303
2015-01-31,78308.942
2015-02-28,52743.625
2015-03-31,95993.63
2015-04-30,193130.885
2015-05-31,197257.207
2015-06-30,113175.475
2015-07-31,104674.704
2015-08-31,87550.13
2015-09-30,75378.9
2015-10-31,67033.228
2015-11-30,55535.546
2015-12-31,57083.047
