D a t e , P r o d u c t i o n
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,32003.181
2007-02-28,32883.451
2007-03-31,18116.329
2007-04-30,558.16
2007-05-31,191440.53
2007-06-30,352028.9
2007-07-31,112712.2
2007-08-31,55924.6
2007-09-30,42713.2
2007-10-31,13469.1
2007-11-30,0
2007-12-31,0
2008-01-31,74822.6
2008-02-29,110019.1
2008-03-31,96017.4
2008-04-30,52637.2
2008-05-31,61494
2008-06-30,38945.1
2008-07-31,290894.2
2008-08-31,397958.8
2008-09-30,520281.5
2008-10-31,118267.8
2008-11-30,44563
2008-12-31,21948
2009-01-31,35929
2009-02-28,85621
2009-03-31,83769
2009-04-30,85973
2009-05-31,87623
2009-06-30,37856
2009-07-31,129287
2009-08-31,19710.86
2009-09-30,1688.65
2009-10-31,1346
2009-11-30,0
2009-12-31,0
2010-01-31,6773.18
2010-02-28,183455.83
2010-03-31,105109.5
2010-04-30,53587.498
2010-05-31,173310.67
2010-06-30,96052.892
2010-07-31,152852.382
2010-08-31,278350.273
2010-09-30,110824.008
2010-10-31,59471.449
2010-11-30,9843.385
2010-12-31,641.3
2011-01-31,56620.6
2011-02-28,74904.8
2011-03-31,38794.9
2011-04-30,21168.2
2011-05-31,91886.1
2011-06-30,155829.1
2011-07-31,64823.8
2011-08-31,61029
2011-09-30,27435
2011-10-31,8048
2011-11-30,2330
2011-12-31,428
2012-01-31,170
2012-02-29,116
2012-03-31,3644
2012-04-30,34789
2012-05-31,105264
2012-06-30,124778
2012-07-31,5593
2012-08-31,48261
2012-09-30,7709
2012-10-31,2390
2012-11-30,19
2012-12-31,2389
2013-01-31,675.698
2013-02-28,31590.1
2013-03-31,83365.452
2013-04-30,117322.128
2013-05-31,25757.2
2013-06-30,55287.1
2013-07-31,2464.9
2013-08-31,3051.9
2013-09-30,3706.8
2013-10-31,1878.5
2013-11-30,0
2013-12-31,0
2014-01-31,74706
2014-02-28,14971.7
2014-03-31,9942.4
2014-04-30,115098.1
2014-05-31,144266.4
2014-06-30,237966.4
2014-07-31,275916.6
2014-08-31,81219.3
2014-09-30,41624.4
2014-10-31,27389.9
2014-11-30,0
2014-12-31,0
2015-01-31,58999
2015-02-28,141987.3
2015-03-31,188502.7
2015-04-30,140750.2
2015-05-31,109463.3
2015-06-30,168793.1
2015-07-31,278478.386
2015-08-31,183077.789
2015-09-30,25970.036
2015-10-31,2509.88
2015-11-30,0
2015-12-31,0
