D a t e , P r o d u c t i o n
2006-01-31,624.066
2006-02-28,377.481
2006-03-31,225.847
2006-04-30,159.159
2006-05-31,43.763
2006-06-30,325.747
2006-07-31,1089.629
2006-08-31,1097.272
2006-09-30,1063.38
2006-10-31,1321.577
2006-11-30,1143.049
2006-12-31,664.754
2007-01-31,769.222
2007-02-28,511.702
2007-03-31,306.905
2007-04-30,85.085
2007-05-31,5.874
2007-06-30,764.583
2007-07-31,1098.016
2007-08-31,1119.532
2007-09-30,1235.692
2007-10-31,1138.458
2007-11-30,1237.785
2007-12-31,0
2008-01-31,372.82
2008-02-29,413.002
2008-03-31,289.893
2008-04-30,225.752
2008-05-31,248.566
2008-06-30,394.479
2008-07-31,1032.468
2008-08-31,1174.89
2008-09-30,1201.105
2008-10-31,1164.303
2008-11-30,717.303
2008-12-31,921.438
2009-01-31,864.765
2009-02-28,557.874
2009-03-31,560.317
2009-04-30,216.905
2009-05-31,73.962
2009-06-30,879.538
2009-07-31,1170.917
2009-08-31,1080.917
2009-09-30,1221.815
2009-10-31,1113.901
2009-11-30,1219.765
2009-12-31,0
2010-01-31,1118.707
2010-02-28,1034.225
2010-03-31,681.333
2010-04-30,421.735
2010-05-31,251.345
2010-06-30,499.738
2010-07-31,959.166
2010-08-31,1042.792
2010-09-30,899.368
2010-10-31,1155.521
2010-11-30,1138.357
2010-12-31,1109.933
2011-01-31,965.905
2011-02-28,736.655
2011-03-31,498.323
2011-04-30,180.249
2011-05-31,128.649
2011-06-30,863.627
2011-07-31,1123.964
2011-08-31,1165.535
2011-09-30,1258.151
2011-10-31,866.703
2011-11-30,715.215
2011-12-31,0
2012-01-31,652.07
2012-02-29,734.145
2012-03-31,435.924
2012-04-30,183.667
2012-05-31,449.944
2012-06-30,1145.251
2012-07-31,1054.319
2012-08-31,1270.877
2012-09-30,813.693
2012-10-31,328.344
2012-11-30,0
2012-12-31,0
2013-01-31,363.955
2013-02-28,228.012
2013-03-31,225.279
2013-04-30,145.728
2013-05-31,44.897
2013-06-30,144.624
2013-07-31,1117.522
2013-08-31,1251.271
2013-09-30,1094.825
2013-10-31,1341.944
2013-11-30,1274.826
2013-12-31,1311.778
2014-01-31,1284.447
2014-02-28,603.2
2014-03-31,587.279
2014-04-30,258.811
2014-05-31,642.19
2014-06-30,1329.173
2014-07-31,1270.368
2014-08-31,753.29
2014-09-30,929.852
2014-10-31,1328.588
2014-11-30,1319.404
2014-12-31,0
2015-01-31,1034.259
2015-02-28,1162.482
2015-03-31,1171.675
2015-04-30,845.53
2015-05-31,44.497
2015-06-30,849.472
2015-07-31,1284.842
2015-08-31,1350.857
2015-09-30,1287.799
2015-10-31,1198.676
2015-11-30,1227.435
2015-12-31,1353.856
