D a t e , P r o d u c t i o n
2006-01-31,22521.59
2006-02-28,17112.113
2006-03-31,33859.202
2006-04-30,24307.477
2006-05-31,26638.476
2006-06-30,6312.095
2006-07-31,71896.596
2006-08-31,75761.823
2006-09-30,51656.659
2006-10-31,72075.664
2006-11-30,0
2006-12-31,0
2007-01-31,29568.91
2007-02-28,27043.246
2007-03-31,22438.246
2007-04-30,19060.488
2007-05-31,5684.951
2007-06-30,31575.054
2007-07-31,68330.815
2007-08-31,96047.159
2007-09-30,106723.953
2007-10-31,35985.5
2007-11-30,55456.885
2007-12-31,0
2008-01-31,57526.572
2008-02-29,25367.427
2008-03-31,28699.519
2008-04-30,32735.55
2008-05-31,28462.902
2008-06-30,50235.81
2008-07-31,72279.663
2008-08-31,57237.082
2008-09-30,109028.545
2008-10-31,106847.831
2008-11-30,57072.63
2008-12-31,28471.952
2009-01-31,28928.315
2009-02-28,35783.678
2009-03-31,36105.071
2009-04-30,22976.988
2009-05-31,26345.07
2009-06-30,27461.309
2009-07-31,44603.366
2009-08-31,38588.088
2009-09-30,100305.59
2009-10-31,95877.738
2009-11-30,41213.326
2009-12-31,45522.514
2010-01-31,39996.816
2010-02-28,31400.119
2010-03-31,25954.036
2010-04-30,10870.501
2010-05-31,17095.137
2010-06-30,103046.858
2010-07-31,96724.679
2010-08-31,143642.949
2010-09-30,90015.322
2010-10-31,81883.241
2010-11-30,34135.802
2010-12-31,0
2011-01-31,37552.864
2011-02-28,25057.367
2011-03-31,35773.933
2011-04-30,30984.839
2011-05-31,29364.239
2011-06-30,35147.088
2011-07-31,119564.842
2011-08-31,94700.058
2011-09-30,96416.523
2011-10-31,70159.142
2011-11-30,50628.924
2011-12-31,46663.992
2012-01-31,53935.245
2012-02-29,37997.598
2012-03-31,32151.384
2012-04-30,29164.525
2012-05-31,23476.69
2012-06-30,49027.098
2012-07-31,80126.691
2012-08-31,114648.867
2012-09-30,62882.618
2012-10-31,32443.797
2012-11-30,20681.668
2012-12-31,25147.338
2013-01-31,30950.911
2013-02-28,22241.208
2013-03-31,23857.217
2013-04-30,19598.026
2013-05-31,32473.055
2013-06-30,49875.263
2013-07-31,49266.097
2013-08-31,58864.838
2013-09-30,150834.802
2013-10-31,116524.317
2013-11-30,102872.171
2013-12-31,42260.753
2014-01-31,40025.071
2014-02-28,33541.566
2014-03-31,38265.833
2014-04-30,32796.621
2014-05-31,28197.262
2014-06-30,43328.292
2014-07-31,85917.152
2014-08-31,55924.595
2014-09-30,74144.023
2014-10-31,125524.11
2014-11-30,61977.945
2014-12-31,45191.361
2015-01-31,46804.082
2015-02-28,29385.041
2015-03-31,32901.423
2015-04-30,11138.6
2015-05-31,6112.896
2015-06-30,37440.58
2015-07-31,62014.371
2015-08-31,23381.742
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
