D a t e , P r o d u c t i o n
2006-01-31,34074.959
2006-02-28,25101.444
2006-03-31,30385.365
2006-04-30,11970.434
2006-05-31,1710.926
2006-06-30,1119.674
2006-07-31,26088.427
2006-08-31,52060.238
2006-09-30,54435.061
2006-10-31,33348.724
2006-11-30,14384.438
2006-12-31,39269.614
2007-01-31,49027.757
2007-02-28,43057.624
2007-03-31,67756.252
2007-04-30,2244.346
2007-05-31,1057.707
2007-06-30,24644.896
2007-07-31,35254.397
2007-08-31,55285.127
2007-09-30,75904.498
2007-10-31,40089.654
2007-11-30,25302.493
2007-12-31,36790.095
2008-01-31,38528.088
2008-02-29,33603.052
2008-03-31,32367.025
2008-04-30,10357.514
2008-05-31,7251.385
2008-06-30,21428.303
2008-07-31,37888.079
2008-08-31,99706.529
2008-09-30,96798.229
2008-10-31,41623.427
2008-11-30,15210.269
2008-12-31,8936.137
2009-01-31,33954.839
2009-02-28,39439.136
2009-03-31,14643.348
2009-04-30,29659.46
2009-05-31,37981.916
2009-06-30,33328.695
2009-07-31,59926.604
2009-08-31,56191.503
2009-09-30,52664.007
2009-10-31,40486.811
2009-11-30,17503.942
2009-12-31,14440.001
2010-01-31,32147.372
2010-02-28,90148.177
2010-03-31,25848.565
2010-04-30,29897.367
2010-05-31,61507.067
2010-06-30,64592.462
2010-07-31,89699.686
2010-08-31,82055.061
2010-09-30,87979.962
2010-10-31,47739.48
2010-11-30,19241.011
2010-12-31,10433.243
2011-01-31,36964.221
2011-02-28,43512.26
2011-03-31,17120.905
2011-04-30,17095.707
2011-05-31,23348.362
2011-06-30,50834.28
2011-07-31,61293.061
2011-08-31,78105.712
2011-09-30,52028.669
2011-10-31,15162.777
2011-11-30,6454.053
2011-12-31,27950.68
2012-01-31,6707.731
2012-02-29,7021.679
2012-03-31,14846.507
2012-04-30,20247.14
2012-05-31,35039.76
2012-06-30,52110.273
2012-07-31,47088.153
2012-08-31,71387.92
2012-09-30,85574.971
2012-10-31,21591.209
2012-11-30,4172.437
2012-12-31,191.569
2013-01-31,2401.105
2013-02-28,7709.517
2013-03-31,7518.258
2013-04-30,5345.425
2013-05-31,28926.185
2013-06-30,93408.423
2013-07-31,70864.769
2013-08-31,73960.303
2013-09-30,73186.364
2013-10-31,47319.347
2013-11-30,22337.975
2013-12-31,0
2014-01-31,36199.619
2014-02-28,39674.755
2014-03-31,11909.831
2014-04-30,31645.65
2014-05-31,19485.989
2014-06-30,21195.63
2014-07-31,32086.971
2014-08-31,80594.436
2014-09-30,91822.081
2014-10-31,93658.285
2014-11-30,30361.508
2014-12-31,18992.247
2015-01-31,10736.424
2015-02-28,12229.367
2015-03-31,10966.124
2015-04-30,31846.044
2015-05-31,68329.762
2015-06-30,82852.066
2015-07-31,81407.076
2015-08-31,55378.371
2015-09-30,92036.92
2015-10-31,29865.537
2015-11-30,33167.497
2015-12-31,34509.279
