D a t e , P r o d u c t i o n
2006-01-31,8232.693
2006-02-28,7246.642
2006-03-31,7411.609
2006-04-30,3379.27
2006-05-31,1722.702
2006-06-30,4044.839
2006-07-31,7817.293
2006-08-31,7429.318
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,5332.952
2007-02-28,7746.66
2007-03-31,7842.206
2007-04-30,2917.394
2007-05-31,6675.591
2007-06-30,6359.693
2007-07-31,8157.057
2007-08-31,4831.547
2007-09-30,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,7927.382
2008-02-29,7865.275
2008-03-31,8335.337
2008-04-30,6082.995
2008-05-31,102.661
2008-06-30,1.249
2008-07-31,1706.086
2008-08-31,8679.646
2008-09-30,8204.235
2008-10-31,6985.41
2008-11-30,0
2008-12-31,0
2009-01-31,7565.7
2009-02-28,6886.484
2009-03-31,7716.544
2009-04-30,4099.709
2009-05-31,25.499
2009-06-30,1949.917
2009-07-31,4695.942
2009-08-31,7328.012
2009-09-30,7314.676
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,8161.121
2010-02-28,6770.401
2010-03-31,8100.553
2010-04-30,4978.071
2010-05-31,425.394
2010-06-30,1834.865
2010-07-31,5328.043
2010-08-31,8194.431
2010-09-30,7397.243
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,8333.318
2011-02-28,7365.611
2011-03-31,7276.178
2011-04-30,1670.907
2011-05-31,872.204
2011-06-30,6400.709
2011-07-31,5971.985
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,7712.26
2012-02-29,6351.679
2012-03-31,4435.302
2012-04-30,0.216
2012-05-31,3250.412
2012-06-30,6861.002
2012-07-31,5496.26
2012-08-31,0
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,6844.008
2013-02-28,6901.063
2013-03-31,6340.118
2013-04-30,937.58
2013-05-31,270.372
2013-06-30,6595.919
2013-07-31,5809.656
2013-08-31,0
2013-09-30,0
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,6262.145
2014-02-28,6373.736
2014-03-31,6844.657
2014-04-30,1252.228
2014-05-31,156.05
2014-06-30,7264.973
2014-07-31,4591.967
2014-08-31,7705.151
2014-09-30,6682.983
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,7967.606
2015-02-28,7635.137
2015-03-31,8317.611
2015-04-30,1448.231
2015-05-31,3.691
2015-06-30,4407.832
2015-07-31,4189.828
2015-08-31,7645.531
2015-09-30,6536.804
2015-10-31,0
2015-11-30,0
2015-12-31,0
