D a t e , P r o d u c t i o n
2006-01-31,7157.09
2006-02-28,6423.3
2006-03-31,6922.366
2006-04-30,6469.128
2006-05-31,6573.7
2006-06-30,6340.7
2006-07-31,6788.829
2006-08-31,6975.017
2006-09-30,6669.365
2006-10-31,7327.642
2006-11-30,6752.739
2006-12-31,7546.981
2007-01-31,7226.48
2007-02-28,6436.584
2007-03-31,6456.446
2007-04-30,6584.773
2007-05-31,6947.05
2007-06-30,6604.376
2007-07-31,6741.299
2007-08-31,6749.854
2007-09-30,7469.919
2007-10-31,8869.21
2007-11-30,7287.996
2007-12-31,8230.664
2008-01-31,7896.291
2008-02-29,7047.704
2008-03-31,7081.14
2008-04-30,5695.69
2008-05-31,5894.655
2008-06-30,6729.816
2008-07-31,6845.931
2008-08-31,6766.848
2008-09-30,7729.93
2008-10-31,8936.2
2008-11-30,7544.353
2008-12-31,7904.132
2009-01-31,7624.125
2009-02-28,6994.298
2009-03-31,7640.409
2009-04-30,6974.483
2009-05-31,7133.895
2009-06-30,6446.101
2009-07-31,6808.04
2009-08-31,6826.248
2009-09-30,7382.52
2009-10-31,8287.475
2009-11-30,7784.751
2009-12-31,7285.481
2010-01-31,7687.567
2010-02-28,6415.705
2010-03-31,7003.537
2010-04-30,6771.119
2010-05-31,6858.584
2010-06-30,6504.119
2010-07-31,7027.39
2010-08-31,7182.612
2010-09-30,8213.144
2010-10-31,7452.741
2010-11-30,7151.386
2010-12-31,5889.998
2011-01-31,6080.991
2011-02-28,5321.429
2011-03-31,5746.761
2011-04-30,4156.343
2011-05-31,4999.569
2011-06-30,5895.709
2011-07-31,6180.929
2011-08-31,6177.486
2011-09-30,7071.833
2011-10-31,6460.285
2011-11-30,5122.664
2011-12-31,7949.061
2012-01-31,8379.241
2012-02-29,7695.173
2012-03-31,7882.989
2012-04-30,7428.134
2012-05-31,4775.21
2012-06-30,6497.283
2012-07-31,7193.651
2012-08-31,7778.001
2012-09-30,7558.792
2012-10-31,7799.806
2012-11-30,6564.655
2012-12-31,7633.953
2013-01-31,7397.235
2013-02-28,6722.885
2013-03-31,7304.257
2013-04-30,6849.215
2013-05-31,7014.146
2013-06-30,7024.905
2013-07-31,7908.659
2013-08-31,7317.196
2013-09-30,6809.4
2013-10-31,8090.571
2013-11-30,7391.176
2013-12-31,9129.805
2014-01-31,8839.556
2014-02-28,7775.993
2014-03-31,8561.47
2014-04-30,6890.029
2014-05-31,6913.847
2014-06-30,8204.762
2014-07-31,8272.532
2014-08-31,8099.935
2014-09-30,7898.383
2014-10-31,8883.885
2014-11-30,7037.141
2014-12-31,8103.88
2015-01-31,8447.73
2015-02-28,7255.853
2015-03-31,8019.419
2015-04-30,2905.304
2015-05-31,7211.608
2015-06-30,6417.327
2015-07-31,6521.602
2015-08-31,7051.979
2015-09-30,6922.223
2015-10-31,7728.998
2015-11-30,8369.949
2015-12-31,8250.303
