name_switch	name_prodesen	load_zone	load_area	date	timestamp	capacity_factor
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-01-31	20090131	9.167507
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-02-29	20090229	8.801545
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-03-31	20090331	8.873737
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-04-30	20090430	8.199074
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-05-31	20090531	9.212702
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-06-30	20090630	11.750521
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-07-31	20090731	13.458277
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-08-31	20090831	1.517305
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-09-30	20090930	13.395756
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-10-31	20091031	9.988799
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-11-30	20091130	8.557118
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-12-31	20091231	9.067092
angostura	angostura	02-oriental	39-grijalva	2007-01-31	20070131	19.956717
angostura	angostura	02-oriental	39-grijalva	2007-02-29	20070229	15.853135
angostura	angostura	02-oriental	39-grijalva	2007-03-31	20070331	34.536964
angostura	angostura	02-oriental	39-grijalva	2007-04-30	20070430	28.792594
angostura	angostura	02-oriental	39-grijalva	2007-05-31	20070531	15.395756
angostura	angostura	02-oriental	39-grijalva	2007-06-30	20070630	11.547508
angostura	angostura	02-oriental	39-grijalva	2007-07-31	20070731	13.861652
angostura	angostura	02-oriental	39-grijalva	2007-08-31	20070831	8.878084
angostura	angostura	02-oriental	39-grijalva	2007-09-30	20070930	26.659324
angostura	angostura	02-oriental	39-grijalva	2007-10-31	20071031	28.91047
angostura	angostura	02-oriental	39-grijalva	2007-11-30	20071130	0.005145
angostura	angostura	02-oriental	39-grijalva	2007-12-31	20071231	4.18103
bacurato	bacurato	04-noroeste	04-los_mochis	2007-01-31	20070131	41.232343
bacurato	bacurato	04-noroeste	04-los_mochis	2007-02-29	20070229	62.935114
bacurato	bacurato	04-noroeste	04-los_mochis	2007-03-31	20070331	88.047629
bacurato	bacurato	04-noroeste	04-los_mochis	2007-04-30	20070430	55.798149
bacurato	bacurato	04-noroeste	04-los_mochis	2007-05-31	20070531	25.548562
bacurato	bacurato	04-noroeste	04-los_mochis	2007-06-30	20070630	11.863916
bacurato	bacurato	04-noroeste	04-los_mochis	2007-07-31	20070731	1.238315
bacurato	bacurato	04-noroeste	04-los_mochis	2007-08-31	20070831	0.138748
bacurato	bacurato	04-noroeste	04-los_mochis	2007-09-30	20070930	2.762948
