name_switch	name_prodesen	load_zone	load_area	date	timestamp	capacity_factor
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-01-31	20060131	9.009857
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-02-29	20060229	7.291008
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-03-31	20060331	8.848174
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-04-30	20060430	8.34647
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-05-31	20060531	8.575829
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-06-30	20060630	12.30735
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-07-31	20060731	13.496752
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-08-31	20060831	17.497536
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-09-30	20060930	14.034838
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-10-31	20061031	12.357807
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-11-30	20061130	9.954861
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2006-12-31	20061231	9.623264
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-01-31	20120131	5.171799
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-02-29	20120229	10.677019
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-03-31	20120331	8.664464
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-04-30	20120430	8.466316
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-05-31	20120531	8.158124
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-06-30	20120630	11.839813
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-07-31	20120731	15.17699
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-08-31	20120831	15.293785
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-09-30	20120930	11.603138
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-10-31	20121031	9.754017
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-11-30	20121130	8.424278
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2012-12-31	20121231	8.416153
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2015-01-31	20150131	8.969125
