AGUASCALIENTES,0.5,0,0,0.4,0.5,48.1,32.4,58.6,90.6,25.6,1.1,0,257.8
BAJA CALIFORNIA,5,75.2,29.9,10.5,7.1,0,9.7,2.7,3.5,4.2,39.2,19.8,206.8
BAJA CALIFORNIA SUR,0.1,0.4,0.6,0.4,0.5,0,6.8,16.5,21.2,1.6,18.8,2.5,69.4
CAMPECHE,65.8,10,16.4,17.1,35.1,201.9,187.9,194.8,191.2,177.2,56.2,27.3,1180.9
COAHUILA,7.6,0.5,2.5,4.7,9.3,19,32.7,25.2,19.5,25.6,12.7,16.7,176
COLIMA,0,0,0,0.1,3.7,174.8,392.8,215,197.7,382,0,0,1366.1
CHIAPAS,46,37.1,84.3,74.2,149.5,300.6,458.5,433.7,422.3,273.7,58.8,42.9,2381.6
CHIHUAHUA,2.9,0.3,0,0,1.1,11.6,101,76.4,23.9,9.2,22,12.1,260.5
DISTRITO FEDERAL,0.1,0.7,8.1,39.8,28,129.8,230.5,158.9,101.9,62,21.9,0.9,782.6
DURANGO,0.9,0,0,0.2,0.7,3.1,106.8,66.5,57.5,4.9,4.6,0.4,245.6
GUANAJUATO,1.9,0,0.1,7.4,4.6,72,89.3,78.9,87.3,36.7,0.3,0.2,378.7
GUERRERO,0,0,0.7,9.6,33.9,278.7,312.2,298.5,158,100,2.5,0.3,1194.4
HIDALGO,13.5,4.5,6.4,36.6,11.1,245.7,199.8,58.7,72.9,19.6,32.2,4.1,705.1
JALISCO,0.6,0,0.2,2.7,5,97.8,203.8,137.4,76.4,78.2,0.2,0,602.3
ESTADODEMEXICO,0.7,0.3,2.2,20.8,24.7,131.9,221,116.9,63.5,59.1,16.2,0.3,657.6
MICHOACAN,0.6,0,1.1,5.9,13.6,125.4,270.6,145.1,76.9,43.9,6.2,0.5,689.8
MORELOS,0,0,1.8,8.1,50,190.2,222.5,265.2,136.1,80.1,13.1,0.5,967.6
NAYARIT,0.7,0,0,0,0,91.2,390.7,436.4,181.3,28.4,0.5,0,1129.2
NUEVO LEÓN,23.8,0,12.1,4.3,13.2,85.1,79.1,29.9,36.8,55.9,6.5,24.1,370.8
OAXACA,35.6,6.3,3.8,16.6,30.9,248.3,453.1,292.5,186.5,64.6,29.8,20.6,1388.6
PUEBLA,15.8,7.4,26.6,39.1,71.3,225.8,290.5,261.1,167.9,85.9,59.8,28.8,1280
QUERETARO,0.1,0.1,8.4,3.7,7.5,131.8,62.3,74.5,56.7,24.4,2.8,0,372.3
QUINTANA ROO,40.1,91.2,100.9,3.2,14.9,277.4,180.1,112.9,125.5,382.5,93.8,53.8,1476.3
SANLUISPOTOSI,16,2.8,14.3,5,34.6,276.7,372,64.7,61.7,39.8,24.4,10.3,922.3
SINALOA,0.1,0,0,0.1,0,3.8,250.9,222.6,64.5,6.8,40.8,5.7,595.3
SONORA,0.7,1.7,0.1,1.6,0.1,7,117,103.6,38.5,3.5,61.7,24.6,360.1
TABASCO,159.1,120.9,106.9,25.9,93.9,155,478.5,242.5,445.5,401.5,162.4,104.4,2496.5
TAMAULIPAS,33.7,0.3,7.7,0.3,20.1,234.6,119.2,49.4,65.9,33.1,17.8,21.2,603.3
TLAXCALA,0,0,7,32,61.2,134.1,172.6,152,86.2,60.9,15,2.3,723.3
VERACRUZ,76.4,18.5,21.8,14.6,35,206.7,374.2,247,264.4,149,102.4,43.5,1553.5
YUCATÁN,48,34.4,24.6,4.8,10.1,223.7,163.8,119.7,189.8,100.7,36.4,16.8,972.8
ZACATECAS,0.1,0.4,0.1,0.1,10.8,28.6,73.4,79.4,95.4,25,1,0.2,314.5
NACIONAL,16.5,10.1,11.8,8.5,18.8,105.1,180.4,133.8,99.7,65.3,30.7,16.5,697.2
