AGUASCALIENTES,11.1,51.9,1.1,0,5.4,60,144.5,89.4,64.6,6.4,4.2,9.1,447.7
BAJACALIFORNIA,4,27.5,37.6,17.6,0,0.1,4.3,7.8,11.1,1.9,5.6,32.8,150.3
BAJACALIFORNIASUR,0,9.4,1.4,0.2,0,0,2.3,104.5,107.5,65.8,1.7,13.1,305.9
CAMPECHE,24,22.7,29.8,28.2,106.4,268.8,176.2,199.7,174.6,81,4.4,25.4,1141.2
COAHUILA,7.2,19.3,24.3,19.2,23.8,13.5,47.7,39.1,82.8,20.3,22.9,3.5,323.6
COLIMA,0,76.1,0,0.1,39.3,255.2,118.7,204.9,169.3,66.7,36.1,24.2,990.6
CHIAPAS,53.3,38.6,58.2,57.8,181.1,264,211.8,418.1,321.3,194.4,29,57.7,1885.3
CHIHUAHUA,2.5,7.4,3.6,6.5,5.4,12.2,133.7,120.7,104.1,33.4,20.6,21.4,471.5
DISTRITOFEDERAL,6.9,28.2,26.5,15.1,16.3,96,160.5,108.4,83.4,14.9,12.7,0,568.9
DURANGO,2.4,9.6,0.4,4.3,7.8,17.1,134.5,97,87,26,9.4,10.7,406.3
GUANAJUATO,6.4,59.5,7.1,1.7,12.4,85.8,190.5,99.7,86.2,5.7,14.9,3.4,573.3
GUERRERO,2.3,6.1,2.5,4.9,38.4,217.1,150.9,243.9,185.4,98.8,10.7,0.5,961.5
HIDALGO,12.1,49.6,22.9,23.2,28.6,87.7,116.3,195.4,74,12.8,26.1,3.7,652.4
JALISCO,0.6,63.7,1.4,0.1,9.2,123.8,202.2,158.7,69.1,22,6.1,12.2,669.1
ESTADODEMEXICO,3.6,33.6,14.4,9,20.1,130.1,180.7,130.9,78.2,14.8,12.5,0.6,628.5
MICHOACAN,1.9,59.5,10.6,0.9,20.3,142.6,186,192.4,81,25.4,28.4,5.8,754.8
MORELOS,3.1,20.1,3.4,6.4,50.6,159.3,225.4,207.5,128.9,31.1,4.4,0.2,840.4
NAYARIT,0.5,30.3,0,0.2,3,208.1,253.8,325.5,194,37.7,2.3,4.7,1060.1
NUEVOLEÓN,4.9,71,24,23.4,48.5,59.4,25.2,83.3,105.4,41.6,73.6,2.1,562.4
OAXACA,52.4,21.8,22.8,44,56.7,349.2,140,315.4,219.5,93.8,30.3,14.1,1360
PUEBLA,44.7,57.5,29.3,42.1,60.5,231.1,273.7,333.3,201.7,63.2,42.2,11.2,1390.5
QUERETARO,6.7,53.8,10,4.9,20.4,110.5,138,113.8,94.4,7,27.9,2.5,589.9
QUINTANAROO,54.8,58.1,25,97.1,202.6,215.8,108.1,202.8,105.2,179.1,43.9,45.6,1338.1
SANLUISPOTOSI,20.1,48.3,17.3,63.2,59.7,143.1,157.2,195,176.5,37.2,53.9,2.9,974.5
SINALOA,0.6,5.7,0.1,0.2,0.3,57.5,181.4,239.1,122.7,44.4,5.2,40,697.2
SONORA,2.9,8.5,2.7,0.5,1.2,20.2,122.7,117.9,72.2,4.2,1.7,27.4,382.1
TABASCO,215.9,149,35.2,52.2,152.9,270,171.8,385.1,293.2,203.1,18.6,122.8,2069.7
TAMAULIPAS,22.9,79.9,18.9,51.4,46.4,123.6,73.1,86,142.8,34,45.2,3.1,727.3
TLAXCALA,4.2,30.5,27.7,22.4,32.5,202.3,197.1,174.6,111.7,36.2,6.6,3.3,849.1
VERACRUZ,87.4,47.3,25.9,59.8,91.8,228,205.6,406.8,258.1,164.7,89.2,31.3,1695.9
YUCATÁN,65.8,15.6,6.7,112.4,71,168.8,110.7,122.3,141.4,100.6,17.5,15.4,948.2
ZACATECAS,6.2,36.2,1.1,1.8,9.1,38.1,126.7,111.2,79.5,9.9,5.4,5.6,430.8
NACIONAL,18.6,30.8,14,22.1,39.4,104.3,129.6,164.8,126.1,52,22.4,18.2,742.3
