Año,Mes,Día,HR,CEL
2030,1,1,1,6495.272819
2030,1,1,2,6091.098485
2030,1,1,3,5658.300214
2030,1,1,4,5283.434677
2030,1,1,5,4984.68428
2030,1,1,6,4800.09988
2030,1,1,7,4741.298759
2030,1,1,8,4618.790581
2030,1,1,9,4594.151797
2030,1,1,10,4822.582442
2030,1,1,11,5019.855435
2030,1,1,12,5221.092866
2030,1,1,13,5340.440833
2030,1,1,14,5340.230451
2030,1,1,15,5334.703811
2030,1,1,16,5361.083669
2030,1,1,17,5458.153488
2030,1,1,18,5750.865463
2030,1,1,19,6973.577837
2030,1,1,20,7719.183328
2030,1,1,21,7805.766855
2030,1,1,22,7509.159076
2030,1,1,23,6920.049704
2030,1,1,24,6106.930875
2030,1,2,1,5384.765858
2030,1,2,2,4921.793387
2030,1,2,3,4724.495029
2030,1,2,4,4641.937116
2030,1,2,5,4682.672211
2030,1,2,6,5024.892674
2030,1,2,7,5757.281379
2030,1,2,8,6201.308994
2030,1,2,9,6726.456164
2030,1,2,10,7370.839395
2030,1,2,11,7813.476398
2030,1,2,12,8120.434691
2030,1,2,13,8261.493818
2030,1,2,14,8321.854155
2030,1,2,15,8318.380608
2030,1,2,16,8421.466467
2030,1,2,17,8509.160097
2030,1,2,18,8783.513602
2030,1,2,19,9533.759441
2030,1,2,20,10092.60061
2030,1,2,21,9987.946584
2030,1,2,22,9483.877935
2030,1,2,23,8675.199517
2030,1,2,24,7656.431197
2030,1,3,1,6728.298875
2030,1,3,2,6215.802995
2030,1,3,3,5895.007214
2030,1,3,4,5766.104009
2030,1,3,5,5806.37507
2030,1,3,6,6081.773026
2030,1,3,7,6626.828931
2030,1,3,8,7008.129781
2030,1,3,9,7449.743221
2030,1,3,10,7901.578856
2030,1,3,11,8220.246941
2030,1,3,12,8470.821271
2030,1,3,13,8509.861372
2030,1,3,14,8507.268148
2030,1,3,15,8455.272374
2030,1,3,16,8488.288975
2030,1,3,17,8506.857828
2030,1,3,18,8597.268524
2030,1,3,19,9490.863823
2030,1,3,20,10180.09878
2030,1,3,21,10094.09716
2030,1,3,22,9622.181203
2030,1,3,23,8896.773909
2030,1,3,24,7961.588556
2030,1,4,1,6965.5848
2030,1,4,2,6365.933929
2030,1,4,3,6048.936967
2030,1,4,4,5908.301588
2030,1,4,5,5881.217472
2030,1,4,6,6007.537898
2030,1,4,7,6453.197842
2030,1,4,8,6571.922122
2030,1,4,9,6979.025397
2030,1,4,10,7377.013595
2030,1,4,11,7731.728681
2030,1,4,12,7946.17693
2030,1,4,13,7967.456881
2030,1,4,14,7883.857501
2030,1,4,15,7732.101699
2030,1,4,16,7625.573627
2030,1,4,17,7601.291624
2030,1,4,18,7787.023429
2030,1,4,19,8803.89234
2030,1,4,20,9517.489872
2030,1,4,21,9334.020051
2030,1,4,22,8984.865923
2030,1,4,23,8403.17514
2030,1,4,24,7558.015527
2030,1,5,1,6687.102728
2030,1,5,2,6047.279273
2030,1,5,3,5738.503635
2030,1,5,4,5564.721846
2030,1,5,5,5484.164804
2030,1,5,6,5532.555728
2030,1,5,7,5664.096919
2030,1,5,8,5724.809386
2030,1,5,9,6000.708678
2030,1,5,10,6341.693704
2030,1,5,11,6643.219357
2030,1,5,12,6797.161046
2030,1,5,13,6828.597541
2030,1,5,14,6808.251628
2030,1,5,15,6711.011712
2030,1,5,16,6691.504345
2030,1,5,17,6717.336611
2030,1,5,18,6945.27022
2030,1,5,19,8114.609636
2030,1,5,20,8943.020724
2030,1,5,21,8966.641738
2030,1,5,22,8714.394793
2030,1,5,23,8135.743364
2030,1,5,24,7240.089003
2030,1,6,1,6403.883324
2030,1,6,2,5801.564626
2030,1,6,3,5513.655634
2030,1,6,4,5390.134338
2030,1,6,5,5448.954855
2030,1,6,6,5840.266025
2030,1,6,7,6678.390512
2030,1,6,8,7184.072092
2030,1,6,9,7800.058182
2030,1,6,10,8255.252475
2030,1,6,11,8548.92833
2030,1,6,12,8633.557241
2030,1,6,13,8737.951648
2030,1,6,14,8781.365016
2030,1,6,15,8784.878849
2030,1,6,16,8753.709435
2030,1,6,17,8903.876179
2030,1,6,18,9015.86524
2030,1,6,19,9839.213723
2030,1,6,20,10507.21648
2030,1,6,21,10369.37277
2030,1,6,22,9896.80328
2030,1,6,23,8951.715036
2030,1,6,24,7782.256254
