Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2016,Bioenerga,YUC,07-Peninsular,42-Merida,En construccion,0.75,11.2596
2016,Eolica,YUC,07-Peninsular,42-Merida,Por iniciar obras,30,1023.6
2016,Eolica,ZAC,03-Occidental,25-San Luis Potos,Por iniciar obras,30,1023.6
2016,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,50,1706
2016,Eolica,TAMS,06-Noreste,21-Guemez,Por iniciar obras,50,1706
2016,Eolica,JAL,03-Occidental,24-Aguascalientes,Por iniciar obras,129,6824
2016,Eolica,COAH,06-Noreste,17-Saltillo,Por iniciar obras,200.6,6844.472
2016,Eolica,CHIS,02-Oriental,39-Grijalva,En construccion,19.965,681.2058
2016,Eolica,ZAC,03-Occidental,24-Aguascalientes,En construccion,180,6141.6
2016,Eolica,ZAC,06-Noreste,17-Saltillo,Por iniciar obras,70,2388.4
2016,Geotermica,PUE,02-Oriental,34-Puebla,En construccion,26.62,1013.7321
2016,Hidroelectrica,VER,02-Oriental,33-Veracruz,Por iniciar obras,29.59,757.2081
2016,Hidroelectrica,NAY,03-Occidental,22-Tepic,En construccion,24,736.992
2016,Hidroelectrica,JAL,03-Occidental,23-Guadalajara,En construccion,6,153.54
2016,Hidroelectrica,JAL,03-Occidental,23-Guadalajara,En construccion,8,204.72
2016,Nucleoelectrica,VER,02-Oriental,33-Veracruz,Proyecto de rehabilitacion y modernizacion,110,5092.346
2016,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,En construccion,20,1194.2
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,29.136,1739.71056
2016,Solar fotovoltaica,CHIH,05-Norte,09-Chihuahua,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,QR,07-Peninsular,44-Chetumal,Permiso de generacion en tramite ante la CRE,30,1204.2654
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,En construccion,30,1791.3
2016,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,En construccion,30,1791.3
2016,Solar fotovoltaica,SON,04-Noroeste,03-Obregon,En construccion,30,1791.3
2016,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,25,1492.75
2016,Solar fotovoltaica,JAL,03-Occidental,23-Guadalajara,En construccion,14.385,858.92835
2016,Solar fotovoltaica,JAL,03-Occidental,23-Guadalajara,En construccion,14.385,858.92835
2016,Solar fotovoltaica,BCS,09-Baja California Sur,51-La Paz,En construccion,5,298.55
2016,Solar fotovoltaica,MEX,01-Central,31-Central,En construccion,20,1092.693
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Permiso de generacion en tramite ante la CRE,50,2007.109
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,26.66,1591.8686
2016,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,20,1194.2
2016,Solar fotovoltaica,ZAC,06-Noreste,17-Saltillo,Permiso de generacion en tramite ante la CRE,100,4014.218
2016,Solar fotovoltaica,GTO,03-Occidental,30-Queretaro,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,CHIH,05-Norte,09-Chihuahua,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,QR,07-Peninsular,44-Chetumal,Permiso de generacion en tramite ante la CRE,30,1204.2654
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2016,Solar fotovoltaica,COAH,06-Noreste,12-Ro Escondido,Por iniciar obras,29.36,1753.0856
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2016,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2016,Solar fotovoltaica,SLP,03-Occidental,25-San Luis Potos,En construccion,30,1791.3
2016,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,10,597.1
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,15,895.65
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,En construccion,30,1791.3
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,6.25,373.1875
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,6.25,373.1875
2016,Solar fotovoltaica,DGO,05-Norte,10-Durango,Por iniciar obras,3.5,208.985
2016,Solar fotovoltaica,CHIH,05-Norte,09-Chihuahua,Por iniciar obras,30,1791.3
2016,Solar fotovoltaica,TAMS,06-Noreste,21-Guemez,Proyecto Nuevo,10,401.4218
2016,Termosolar,SON,04-Noroeste,02-Cananea,En construccion,14,600.085
2017,Eolica,SLP,03-Occidental,25-San Luis Potos,Proyecto con avance en el proceso de interconexion ante CENACE,100,3439.296
2017,Eolica,JAL,03-Occidental,24-Aguascalientes,Por iniciar obras,71,2422.52
2017,Eolica,TAMS,06-Noreste,18-Valles,Proyecto con avance en el proceso de interconexion ante CENACE,300,10317.888
2017,Eolica,ZAC,03-Occidental,24-Aguascalientes,Por iniciar obras,70,2407.5072
